manuscript_id,archivist_1_id,archivist_1_faction,archivist_1_classification,archivist_1_confidence,archivist_2_id,archivist_2_faction,archivist_2_classification,archivist_2_confidence,disagreement_type,resolution_status,resolution_method
MS-0080,ARV-006,certainist,verified,0.89,ARV-001,probabilist,mup,0.51,classification,resolved,additional_evidence
MS-0162,ARV-010,contextualist,mup,0.51,ARV-002,certainist,verified,0.75,classification,resolved,compromise_classification
MS-0096,ARV-007,probabilist,verified,0.62,ARV-003,contextualist,likely_authentic,0.41,classification,resolved,additional_evidence
MS-0177,ARV-009,contextualist,disputed,0.41,ARV-012,suspensionist,mup,0.47,classification,resolved,committee_vote
MS-0007,ARV-012,suspensionist,mup,0.55,ARV-007,probabilist,mup,0.75,interpretation,resolved,senior_archivist_ruling
MS-0114,ARV-008,probabilist,mup,0.69,ARV-006,certainist,disputed,0.79,classification,resolved,faction_negotiation
MS-0060,ARV-009,contextualist,likely_authentic,0.44,ARV-012,suspensionist,verified,0.53,classification,pending,
MS-0080,ARV-002,certainist,likely_authentic,0.92,ARV-001,probabilist,mup,0.6,classification,pending,
MS-0064,ARV-007,probabilist,disputed,0.7,ARV-005,certainist,forged,0.8,classification,resolved,deferred_to_engine
MS-0158,ARV-002,certainist,disputed,0.93,ARV-008,probabilist,forged,0.65,classification,resolved,compromise_classification
MS-0110,ARV-012,suspensionist,mup,0.44,ARV-010,contextualist,disputed,0.63,classification,irresolvable,
MS-0105,ARV-011,suspensionist,mup,0.54,ARV-005,certainist,likely_authentic,0.91,classification,pending,
MS-0105,ARV-012,suspensionist,mup,0.58,ARV-003,contextualist,disputed,0.61,classification,irresolvable,
MS-0066,ARV-011,suspensionist,mup,0.37,ARV-006,certainist,verified,0.76,classification,pending,
MS-0156,ARV-011,suspensionist,forged,0.44,ARV-002,certainist,forged,0.75,confidence,irresolvable,
MS-0073,ARV-011,suspensionist,verified,0.38,ARV-003,contextualist,likely_authentic,0.48,classification,resolved,additional_evidence
MS-0027,ARV-004,suspensionist,mup,0.53,ARV-009,contextualist,likely_authentic,0.57,classification,pending,
MS-0134,ARV-002,certainist,likely_authentic,0.76,ARV-003,contextualist,mup,0.56,classification,pending,
MS-0161,ARV-007,probabilist,mup,0.54,ARV-010,contextualist,disputed,0.57,classification,irresolvable,
MS-0085,ARV-007,probabilist,mup,0.56,ARV-003,contextualist,disputed,0.5,classification,irresolvable,
MS-0139,ARV-004,suspensionist,forged,0.44,ARV-010,contextualist,disputed,0.56,classification,pending,
MS-0045,ARV-003,contextualist,mup,0.54,ARV-002,certainist,verified,0.92,classification,resolved,senior_archivist_ruling
MS-0177,ARV-002,certainist,disputed,0.87,ARV-007,probabilist,mup,0.62,classification,resolved,committee_vote
MS-0162,ARV-008,probabilist,mup,0.66,ARV-005,certainist,verified,0.82,classification,irresolvable,
MS-0077,ARV-003,contextualist,disputed,0.53,ARV-005,certainist,disputed,0.78,confidence,irresolvable,
MS-0158,ARV-004,suspensionist,forged,0.4,ARV-009,contextualist,disputed,0.51,classification,pending,
MS-0127,ARV-004,suspensionist,verified,0.43,ARV-010,contextualist,mup,0.55,classification,pending,
MS-0105,ARV-005,certainist,verified,0.95,ARV-001,probabilist,mup,0.72,classification,pending,
MS-0078,ARV-006,certainist,disputed,0.86,ARV-007,probabilist,disputed,0.7,method,pending,
MS-0174,ARV-008,probabilist,mup,0.68,ARV-005,certainist,likely_authentic,0.86,classification,resolved,deferred_to_engine
MS-0177,ARV-003,contextualist,disputed,0.63,ARV-006,certainist,forged,0.95,classification,resolved,additional_evidence
MS-0199,ARV-002,certainist,forged,0.95,ARV-004,suspensionist,mup,0.47,classification,pending,
MS-0075,ARV-005,certainist,verified,0.83,ARV-008,probabilist,verified,0.52,confidence,resolved,committee_vote
MS-0077,ARV-005,certainist,disputed,0.87,ARV-008,probabilist,mup,0.58,classification,resolved,senior_archivist_ruling
MS-0131,ARV-003,contextualist,mup,0.57,ARV-011,suspensionist,forged,0.58,classification,resolved,additional_evidence
MS-0128,ARV-009,contextualist,disputed,0.61,ARV-004,suspensionist,mup,0.39,classification,resolved,committee_vote
MS-0008,ARV-011,suspensionist,verified,0.49,ARV-001,probabilist,verified,0.71,confidence,resolved,senior_archivist_ruling
MS-0106,ARV-001,probabilist,verified,0.59,ARV-003,contextualist,likely_authentic,0.53,classification,resolved,compromise_classification
MS-0138,ARV-005,certainist,forged,0.95,ARV-008,probabilist,mup,0.73,classification,pending,
MS-0133,ARV-005,certainist,likely_authentic,0.9,ARV-011,suspensionist,verified,0.46,classification,resolved,additional_evidence
MS-0041,ARV-006,certainist,verified,0.83,ARV-001,probabilist,verified,0.54,confidence,irresolvable,
MS-0085,ARV-003,contextualist,mup,0.54,ARV-002,certainist,disputed,0.79,classification,irresolvable,
MS-0192,ARV-005,certainist,likely_authentic,0.76,ARV-003,contextualist,mup,0.64,classification,resolved,additional_evidence
MS-0138,ARV-001,probabilist,mup,0.59,ARV-011,suspensionist,mup,0.43,interpretation,resolved,deferred_to_engine
MS-0123,ARV-003,contextualist,mup,0.58,ARV-011,suspensionist,verified,0.54,classification,pending,
MS-0115,ARV-003,contextualist,disputed,0.64,ARV-002,certainist,forged,0.85,classification,resolved,deferred_to_engine
MS-0051,ARV-012,suspensionist,mup,0.54,ARV-009,contextualist,disputed,0.47,classification,irresolvable,
MS-0135,ARV-005,certainist,disputed,0.91,ARV-004,suspensionist,mup,0.37,classification,irresolvable,
MS-0110,ARV-006,certainist,forged,0.94,ARV-007,probabilist,disputed,0.73,classification,resolved,senior_archivist_ruling
MS-0074,ARV-001,probabilist,forged,0.69,ARV-006,certainist,disputed,0.94,classification,pending,
MS-0009,ARV-009,contextualist,mup,0.4,ARV-008,probabilist,verified,0.71,classification,irresolvable,
MS-0067,ARV-001,probabilist,mup,0.52,ARV-009,contextualist,disputed,0.61,classification,irresolvable,
MS-0074,ARV-010,contextualist,mup,0.42,ARV-007,probabilist,forged,0.62,classification,irresolvable,
MS-0026,ARV-001,probabilist,disputed,0.51,ARV-005,certainist,forged,0.81,classification,pending,
MS-0120,ARV-001,probabilist,verified,0.61,ARV-005,certainist,verified,0.88,confidence,pending,
MS-0115,ARV-005,certainist,forged,0.86,ARV-010,contextualist,mup,0.57,classification,resolved,committee_vote
MS-0172,ARV-010,contextualist,disputed,0.53,ARV-006,certainist,disputed,0.81,confidence,irresolvable,
MS-0077,ARV-006,certainist,disputed,0.76,ARV-012,suspensionist,mup,0.48,classification,irresolvable,
MS-0112,ARV-009,contextualist,disputed,0.54,ARV-011,suspensionist,mup,0.42,classification,resolved,faction_negotiation
MS-0001,ARV-006,certainist,verified,0.86,ARV-009,contextualist,mup,0.53,classification,pending,
MS-0036,ARV-009,contextualist,disputed,0.61,ARV-004,suspensionist,mup,0.46,classification,pending,
MS-0083,ARV-006,certainist,forged,0.92,ARV-004,suspensionist,mup,0.57,classification,pending,
MS-0192,ARV-009,contextualist,mup,0.51,ARV-006,certainist,verified,0.82,classification,resolved,senior_archivist_ruling
MS-0146,ARV-012,suspensionist,mup,0.46,ARV-007,probabilist,mup,0.66,method,resolved,committee_vote
MS-0192,ARV-010,contextualist,likely_authentic,0.54,ARV-001,probabilist,mup,0.53,classification,resolved,compromise_classification
MS-0095,ARV-005,certainist,disputed,0.9,ARV-010,contextualist,disputed,0.53,confidence,resolved,senior_archivist_ruling
MS-0029,ARV-003,contextualist,disputed,0.54,ARV-008,probabilist,mup,0.6,classification,resolved,committee_vote
MS-0015,ARV-003,contextualist,disputed,0.6,ARV-006,certainist,forged,0.87,classification,irresolvable,
MS-0073,ARV-005,certainist,verified,0.89,ARV-004,suspensionist,verified,0.59,confidence,pending,
MS-0118,ARV-003,contextualist,mup,0.54,ARV-001,probabilist,mup,0.73,interpretation,resolved,faction_negotiation
MS-0163,ARV-003,contextualist,mup,0.61,ARV-007,probabilist,disputed,0.66,classification,resolved,deferred_to_engine
MS-0164,ARV-003,contextualist,mup,0.58,ARV-002,certainist,likely_authentic,0.88,classification,irresolvable,
MS-0073,ARV-002,certainist,likely_authentic,0.76,ARV-004,suspensionist,verified,0.55,classification,irresolvable,
MS-0103,ARV-004,suspensionist,mup,0.54,ARV-009,contextualist,disputed,0.58,classification,pending,
MS-0136,ARV-011,suspensionist,mup,0.59,ARV-002,certainist,likely_authentic,0.78,classification,resolved,additional_evidence
MS-0073,ARV-003,contextualist,likely_authentic,0.54,ARV-008,probabilist,verified,0.67,classification,irresolvable,
MS-0124,ARV-011,suspensionist,mup,0.41,ARV-005,certainist,forged,0.94,classification,pending,
MS-0024,ARV-002,certainist,disputed,0.9,ARV-011,suspensionist,mup,0.4,classification,resolved,faction_negotiation
MS-0074,ARV-002,certainist,forged,0.92,ARV-010,contextualist,mup,0.63,classification,pending,
MS-0199,ARV-012,suspensionist,mup,0.39,ARV-005,certainist,disputed,0.93,classification,pending,
MS-0159,ARV-004,suspensionist,forged,0.46,ARV-009,contextualist,disputed,0.42,classification,irresolvable,
MS-0184,ARV-002,certainist,likely_authentic,0.8,ARV-010,contextualist,likely_authentic,0.47,confidence,irresolvable,
MS-0096,ARV-005,certainist,likely_authentic,0.85,ARV-008,probabilist,verified,0.53,classification,resolved,senior_archivist_ruling
MS-0063,ARV-006,certainist,disputed,0.84,ARV-001,probabilist,mup,0.53,classification,pending,
MS-0134,ARV-001,probabilist,mup,0.56,ARV-005,certainist,verified,0.81,classification,irresolvable,
MS-0135,ARV-005,certainist,disputed,0.93,ARV-009,contextualist,mup,0.52,classification,resolved,compromise_classification
MS-0075,ARV-006,certainist,likely_authentic,0.83,ARV-001,probabilist,verified,0.56,classification,irresolvable,
MS-0124,ARV-001,probabilist,mup,0.59,ARV-006,certainist,disputed,0.76,classification,irresolvable,
MS-0093,ARV-008,probabilist,verified,0.57,ARV-010,contextualist,mup,0.44,classification,resolved,deferred_to_engine
MS-0069,ARV-006,certainist,forged,0.84,ARV-012,suspensionist,mup,0.35,classification,irresolvable,
MS-0174,ARV-010,contextualist,mup,0.59,ARV-002,certainist,verified,0.79,classification,irresolvable,
MS-0089,ARV-004,suspensionist,mup,0.4,ARV-003,contextualist,disputed,0.61,classification,pending,
MS-0107,ARV-001,probabilist,mup,0.66,ARV-003,contextualist,disputed,0.47,classification,pending,
MS-0070,ARV-004,suspensionist,mup,0.47,ARV-007,probabilist,mup,0.67,confidence,pending,
MS-0096,ARV-011,suspensionist,verified,0.59,ARV-006,certainist,likely_authentic,0.8,classification,irresolvable,
MS-0053,ARV-007,probabilist,disputed,0.61,ARV-009,contextualist,mup,0.45,classification,resolved,senior_archivist_ruling
MS-0063,ARV-011,suspensionist,mup,0.4,ARV-007,probabilist,mup,0.73,confidence,irresolvable,
MS-0153,ARV-009,contextualist,likely_authentic,0.49,ARV-012,suspensionist,mup,0.48,classification,resolved,deferred_to_engine
MS-0155,ARV-007,probabilist,mup,0.63,ARV-010,contextualist,mup,0.4,confidence,resolved,deferred_to_engine
MS-0075,ARV-005,certainist,verified,0.77,ARV-007,probabilist,verified,0.55,confidence,resolved,additional_evidence
MS-0173,ARV-003,contextualist,disputed,0.46,ARV-012,suspensionist,mup,0.42,classification,pending,
MS-0046,ARV-001,probabilist,verified,0.59,ARV-010,contextualist,likely_authentic,0.46,classification,irresolvable,
MS-0050,ARV-003,contextualist,likely_authentic,0.59,ARV-011,suspensionist,mup,0.41,classification,pending,
MS-0152,ARV-005,certainist,disputed,0.92,ARV-007,probabilist,disputed,0.73,interpretation,pending,
MS-0186,ARV-007,probabilist,mup,0.74,ARV-009,contextualist,mup,0.52,confidence,pending,
MS-0174,ARV-009,contextualist,disputed,0.64,ARV-012,suspensionist,mup,0.47,classification,resolved,committee_vote
MS-0160,ARV-002,certainist,verified,0.78,ARV-012,suspensionist,verified,0.55,confidence,resolved,deferred_to_engine
MS-0193,ARV-012,suspensionist,mup,0.53,ARV-006,certainist,forged,0.88,classification,irresolvable,
MS-0179,ARV-010,contextualist,disputed,0.57,ARV-005,certainist,forged,0.86,classification,pending,
MS-0082,ARV-001,probabilist,disputed,0.73,ARV-012,suspensionist,mup,0.44,classification,resolved,faction_negotiation
MS-0110,ARV-007,probabilist,disputed,0.68,ARV-006,certainist,forged,0.77,classification,irresolvable,
