dispute_id,year,institution,guild,practitioner_role,disclosure_type,institution_argument,practitioner_argument,kellis_vorn_principle,resolution,resolution_notes,precedent_cited,dens_proximity
MDD-0018,868,Scholars Guild Council,Scholars Guild,Senior Archivist,route_decisions,"Knowledge organization requires method transparency","Archive navigation is intuitive; mapping it destroys efficiency",proportionate_oversight,compromise,"Aggregate navigation patterns shared; individual paths protected",null,91.3
MDD-0019,869,Capital Archive,Cartographer's Guild,Field Surveyor,tool_selection,"Equipment allocation requires usage documentation","Tool preferences reflect expertise; documentation undermines trust",system_transparency,compromise,"Tool categories disclosed; specific selections protected",null,48.6
MDD-0020,870,Traders Guild Council,Traders Guild,Senior Trader,classification_reasoning,"Trade categorization requires classification rationale","Classification expertise is competitive advantage",results_oriented,compromise,"Category outcomes disclosed; reasoning protected",null,75.2
MDD-0021,871,Capital Archive,Scholars Guild,Document Authenticator,pricing_decisions,"Fee standardization requires methodology transparency","Authentication fees reflect document complexity assessment",proportionate_oversight,compromise,"Fee ranges published; specific calculations protected",MDD-0018,22.1
MDD-0022,872,Cartographer's Guild Council,Cartographer's Guild,Master Surveyor,route_decisions,"Expedition planning requires route method documentation","Route selection embodies decades of terrain knowledge",system_transparency,compromise,"Outcome waypoints shared; route reasoning protected",MDD-0019,58.9
MDD-0023,873,Capital Archive,Traders Guild,Route Planner,tool_selection,"Journey safety requires equipment transparency","Tool selection reflects environmental reading",results_oriented,compromise,"Equipment categories shared; selection rationale protected",MDD-0020,84.6
MDD-0024,874,Scholars Guild Council,Scholars Guild,Research Analyst,classification_reasoning,"Research standards require classification transparency","Classification intuition developed through years of training",proportionate_oversight,compromise,"Classification outcomes audited; process notes protected",MDD-0021,31.4
MDD-0025,875,Capital Archive,Cartographer's Guild,Boundary Marker,pricing_decisions,"Contract fairness requires pricing transparency","Marking fees reflect risk assessment methodology",system_transparency,compromise,"Base fees published; complexity adjustments protected",MDD-0022,66.7
MDD-0026,876,Traders Guild Council,Traders Guild,Junior Trader,route_decisions,"Apprentice safety requires route visibility","Route learning requires experimental freedom",results_oriented,exemption_granted,"Outcome destinations tracked; route choices exempt per new Opacity Conventions",MDD-0023,43.2
MDD-0027,876,Capital Archive,Scholars Guild,Senior Archivist,tool_selection,"Archive consistency requires tool standardization","Tool mastery is personal craft not procedural compliance",proportionate_oversight,exemption_granted,"Tool outcomes evaluated; selection methods protected under Opacity Conventions",MDD-0024,17.5
MDD-0028,877,Cartographer's Guild Council,Cartographer's Guild,Field Surveyor,classification_reasoning,"Map accuracy requires classification rationale documentation","Classification reflects embodied terrain knowledge",system_transparency,exemption_granted,"Map accuracy measured; classification process protected",MDD-0025,52.8
MDD-0029,877,Capital Archive,Traders Guild,Senior Trader,pricing_decisions,"Historical price records require methodology archives","Pricing strategy is accumulated expertise",results_oriented,exemption_granted,"Price outcomes recorded; methodology exempt under Opacity Conventions",MDD-0026,79.3
MDD-0030,878,Scholars Guild Council,Scholars Guild,Document Authenticator,route_decisions,"Document retrieval requires navigation transparency","Archive navigation is intuitive expertise",proportionate_oversight,exemption_granted,"Retrieval success tracked; navigation paths protected",MDD-0027,26.8
MDD-0031,878,Capital Archive,Cartographer's Guild,Master Surveyor,tool_selection,"Survey consistency requires equipment documentation","Tool adaptation is environmental response",system_transparency,exemption_granted,"Survey outcomes evaluated; tool choices protected",MDD-0028,61.4
MDD-0032,879,Traders Guild Council,Traders Guild,Route Planner,classification_reasoning,"Route safety requires risk classification transparency","Risk assessment is experiential judgment",results_oriented,exemption_granted,"Route safety outcomes tracked; risk reasoning protected",MDD-0029,88.1
MDD-0033,879,Capital Archive,Scholars Guild,Research Analyst,pricing_decisions,"Research funding requires cost methodology transparency","Research cost estimation reflects project complexity judgment",proportionate_oversight,exemption_granted,"Research outcomes evaluated; cost methods protected",MDD-0030,35.6
MDD-0034,880,Cartographer's Guild Council,Cartographer's Guild,Boundary Marker,route_decisions,"Marking expeditions require route planning visibility","Marking routes reflect terrain expertise",system_transparency,exemption_granted,"Marking outcomes measured; route decisions protected",MDD-0031,69.7
MDD-0035,880,Capital Archive,Traders Guild,Junior Trader,tool_selection,"Training oversight requires tool usage documentation","Tool learning requires experimentation freedom",results_oriented,exemption_granted,"Trading outcomes tracked; tool learning protected",MDD-0032,46.2
MDD-0036,851,Capital Archive,Cartographer's Guild,Terrain Analyst,classification_reasoning,"Terrain records require classification methodology","Terrain classification is holistic environmental reading",proportionate_oversight,disclosure_required,"Classification criteria documented weekly",null,38.9
MDD-0037,852,Traders Guild Council,Traders Guild,Market Analyst,route_decisions,"Market coverage requires route documentation","Market routes reflect relationship networks",system_transparency,disclosure_required,"Route plans submitted before market visits",null,72.4
MDD-0038,853,Capital Archive,Scholars Guild,Collection Curator,tool_selection,"Curation standards require tool documentation","Curation tools are adapted per collection",proportionate_oversight,disclosure_required,"Tool usage logged monthly",null,16.3
MDD-0039,854,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,pricing_decisions,"Expedition budgets require cost methodology","Expedition costs reflect risk assessment",results_oriented,disclosure_required,"Cost breakdowns required pre-expedition",null,59.8
MDD-0040,855,Capital Archive,Traders Guild,Contract Negotiator,classification_reasoning,"Contract records require negotiation rationale","Negotiation strategy is situational adaptation",system_transparency,disclosure_required,"Negotiation decision points documented",null,83.5
MDD-0041,856,Scholars Guild Council,Scholars Guild,Translation Specialist,route_decisions,"Translation projects require process documentation","Translation choices reflect linguistic intuition",proportionate_oversight,disclosure_required,"Translation decision logs required",null,27.6
MDD-0042,857,Capital Archive,Cartographer's Guild,Terrain Analyst,tool_selection,"Analysis consistency requires tool standardization","Analysis tools reflect terrain type",system_transparency,disclosure_required,"Tool selection justified in writing",null,54.1
MDD-0043,858,Traders Guild Council,Traders Guild,Market Analyst,pricing_decisions,"Price records require valuation methodology","Valuation reflects market intuition",results_oriented,disclosure_required,"Valuation formulas documented",null,76.8
MDD-0044,859,Capital Archive,Scholars Guild,Collection Curator,classification_reasoning,"Collection organization requires classification rationale","Collection intuition cannot be proceduralized",proportionate_oversight,disclosure_required,"Classification decisions logged",null,21.5
MDD-0045,860,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,route_decisions,"Expedition safety requires route transparency","Route selection reflects accumulated experience",system_transparency,disclosure_required,"Route plans approved before departure",null,63.2
MDD-0046,861,Capital Archive,Traders Guild,Contract Negotiator,tool_selection,"Negotiation standards require tool documentation","Negotiation tools are relationship-specific",results_oriented,disclosure_required,"Tool usage recorded per contract",null,89.7
MDD-0047,862,Scholars Guild Council,Scholars Guild,Translation Specialist,pricing_decisions,"Translation fees require methodology transparency","Translation complexity assessment is intuitive",proportionate_oversight,disclosure_required,"Fee calculations disclosed",null,32.4
MDD-0048,863,Capital Archive,Cartographer's Guild,Terrain Analyst,classification_reasoning,"Terrain records require consistent classification","Classification reflects environmental reading",system_transparency,disclosure_required,"Classification rubrics enforced",null,57.9
MDD-0049,864,Traders Guild Council,Traders Guild,Market Analyst,route_decisions,"Market analysis requires coverage documentation","Market knowledge reflects relationship networks",results_oriented,disclosure_required,"Coverage routes logged",null,81.3
MDD-0050,865,Capital Archive,Scholars Guild,Collection Curator,tool_selection,"Curation quality requires tool transparency","Curation tools reflect collection needs",proportionate_oversight,disclosure_required,"Tool inventories maintained",null,24.8
MDD-0051,866,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,pricing_decisions,"Expedition contracts require pricing transparency","Pricing reflects risk complexity",system_transparency,compromise,"Base prices published; adjustments protected",null,68.5
MDD-0052,867,Capital Archive,Traders Guild,Contract Negotiator,classification_reasoning,"Contract types require classification rationale","Contract assessment is situational",results_oriented,compromise,"Categories disclosed; specific reasoning protected",null,93.2
MDD-0053,868,Scholars Guild Council,Scholars Guild,Translation Specialist,route_decisions,"Translation projects require process visibility","Translation path reflects linguistic judgment",proportionate_oversight,compromise,"Outcomes evaluated; process notes protected",MDD-0051,29.7
MDD-0054,869,Capital Archive,Cartographer's Guild,Terrain Analyst,tool_selection,"Analysis standards require tool documentation","Tool selection reflects terrain specifics",system_transparency,compromise,"Tool categories shared; selections protected",MDD-0052,62.1
MDD-0055,870,Traders Guild Council,Traders Guild,Market Analyst,pricing_decisions,"Price consistency requires methodology visibility","Pricing intuition reflects market experience",results_oriented,compromise,"Price ranges published; methods protected",MDD-0053,85.6
MDD-0056,871,Capital Archive,Scholars Guild,Collection Curator,classification_reasoning,"Collection quality requires classification rationale","Classification reflects curatorial expertise",proportionate_oversight,compromise,"Outcomes audited; reasoning protected",MDD-0054,18.3
MDD-0057,872,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,route_decisions,"Expedition planning requires route visibility","Route expertise reflects accumulated terrain knowledge",system_transparency,compromise,"Waypoints shared; route logic protected",MDD-0055,47.8
MDD-0058,873,Capital Archive,Traders Guild,Contract Negotiator,tool_selection,"Negotiation consistency requires tool transparency","Tool mastery is relationship-specific",results_oriented,compromise,"Tool types disclosed; applications protected",MDD-0056,74.2
MDD-0059,874,Scholars Guild Council,Scholars Guild,Translation Specialist,pricing_decisions,"Translation fees require cost transparency","Fee assessment reflects project complexity",proportionate_oversight,compromise,"Fee ranges published; specifics protected",MDD-0057,36.9
MDD-0060,875,Capital Archive,Cartographer's Guild,Terrain Analyst,classification_reasoning,"Terrain consistency requires classification rationale","Classification intuition cannot be documented",system_transparency,compromise,"Classification outcomes audited; process protected",MDD-0058,65.4
MDD-0061,876,Traders Guild Council,Traders Guild,Market Analyst,route_decisions,"Market coverage requires route documentation","Market routes are relationship assets",results_oriented,exemption_granted,"Coverage outcomes measured; routes protected under Opacity Conventions",MDD-0059,91.8
MDD-0062,877,Capital Archive,Scholars Guild,Collection Curator,tool_selection,"Curation standards require tool visibility","Tool mastery is curatorial craft",proportionate_oversight,exemption_granted,"Curation outcomes evaluated; tool methods protected",MDD-0060,23.5
MDD-0063,877,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,pricing_decisions,"Expedition costs require pricing transparency","Pricing reflects accumulated expedition wisdom",system_transparency,exemption_granted,"Expedition outcomes tracked; pricing methods protected",MDD-0061,58.2
MDD-0064,878,Capital Archive,Traders Guild,Contract Negotiator,classification_reasoning,"Contract records require classification rationale","Classification reflects negotiation experience",results_oriented,exemption_granted,"Contract outcomes measured; classification protected",MDD-0062,82.7
MDD-0065,878,Scholars Guild Council,Scholars Guild,Translation Specialist,route_decisions,"Translation tracking requires process visibility","Translation paths reflect linguistic expertise",proportionate_oversight,exemption_granted,"Translation quality tracked; process protected",MDD-0063,31.1
MDD-0066,879,Capital Archive,Cartographer's Guild,Terrain Analyst,tool_selection,"Analysis consistency requires tool documentation","Tool expertise reflects terrain mastery",system_transparency,exemption_granted,"Analysis outcomes evaluated; tools protected",MDD-0064,67.9
MDD-0067,879,Traders Guild Council,Traders Guild,Market Analyst,pricing_decisions,"Price records require methodology transparency","Pricing expertise is market intuition",results_oriented,exemption_granted,"Price outcomes tracked; methodology protected",MDD-0065,94.3
MDD-0068,880,Capital Archive,Scholars Guild,Collection Curator,classification_reasoning,"Collection organization requires classification visibility","Classification reflects curatorial judgment",proportionate_oversight,exemption_granted,"Collection quality measured; classification protected",MDD-0066,19.8
MDD-0069,880,Cartographer's Guild Council,Cartographer's Guild,Expedition Leader,route_decisions,"Expedition safety requires route visibility","Route mastery reflects terrain experience",system_transparency,exemption_granted,"Expedition success tracked; route choices protected",MDD-0067,55.3
MDD-0070,881,Capital Archive,Traders Guild,Contract Negotiator,tool_selection,"Negotiation standards require tool transparency","Tool selection reflects relationship context",results_oriented,exemption_granted,"Negotiation outcomes measured; tools protected",MDD-0068,78.6
MDD-0071,852,Capital Archive,Cartographer's Guild,Map Illustrator,classification_reasoning,"Illustration standards require style documentation","Artistic judgment cannot be proceduralized",proportionate_oversight,disclosure_required,"Style guides enforced",null,41.2
MDD-0072,853,Traders Guild Council,Traders Guild,Inventory Manager,route_decisions,"Supply chain requires route transparency","Supply routes reflect vendor relationships",system_transparency,disclosure_required,"Route plans documented weekly",null,69.8
MDD-0073,854,Capital Archive,Scholars Guild,Manuscript Restorer,tool_selection,"Restoration consistency requires tool documentation","Restoration tools adapted per manuscript",proportionate_oversight,disclosure_required,"Tool usage logged per project",null,14.7
MDD-0074,855,Cartographer's Guild Council,Cartographer's Guild,Survey Assistant,pricing_decisions,"Survey budgets require cost transparency","Cost estimation reflects terrain assessment",results_oriented,disclosure_required,"Cost breakdowns required",null,52.3
MDD-0075,856,Capital Archive,Traders Guild,Quality Inspector,classification_reasoning,"Quality standards require inspection rationale","Quality assessment is experiential",system_transparency,disclosure_required,"Inspection criteria documented",null,87.5
MDD-0076,857,Scholars Guild Council,Scholars Guild,Archive Indexer,route_decisions,"Index creation requires process documentation","Indexing reflects collection intuition",proportionate_oversight,disclosure_required,"Indexing methods documented",null,25.9
MDD-0077,858,Capital Archive,Cartographer's Guild,Map Illustrator,tool_selection,"Illustration quality requires tool standardization","Tool selection reflects artistic judgment",system_transparency,disclosure_required,"Tool usage logged",null,63.4
MDD-0078,859,Traders Guild Council,Traders Guild,Inventory Manager,pricing_decisions,"Inventory valuation requires methodology transparency","Valuation reflects market knowledge",results_oriented,disclosure_required,"Valuation methods documented",null,79.1
MDD-0079,860,Capital Archive,Scholars Guild,Manuscript Restorer,classification_reasoning,"Restoration quality requires damage classification rationale","Damage assessment requires hands-on expertise",proportionate_oversight,disclosure_required,"Classification logged per manuscript",null,33.6
MDD-0080,861,Cartographer's Guild Council,Cartographer's Guild,Survey Assistant,route_decisions,"Survey coverage requires route documentation","Route selection reflects senior guidance",system_transparency,disclosure_required,"Route plans submitted daily",null,71.8
MDD-0081,862,Capital Archive,Traders Guild,Quality Inspector,tool_selection,"Inspection standards require tool documentation","Tool expertise reflects experience",results_oriented,disclosure_required,"Tool usage documented",null,96.2
MDD-0082,863,Scholars Guild Council,Scholars Guild,Archive Indexer,pricing_decisions,"Index services require pricing transparency","Pricing reflects complexity assessment",proportionate_oversight,disclosure_required,"Fee structures documented",null,28.4
MDD-0083,864,Capital Archive,Cartographer's Guild,Map Illustrator,classification_reasoning,"Illustration standards require style rationale","Style choices reflect artistic training",system_transparency,disclosure_required,"Style decisions logged",null,56.7
MDD-0084,865,Traders Guild Council,Traders Guild,Inventory Manager,route_decisions,"Supply management requires route visibility","Route knowledge reflects vendor networks",results_oriented,disclosure_required,"Routes logged per delivery",null,84.3
MDD-0085,866,Capital Archive,Scholars Guild,Manuscript Restorer,tool_selection,"Restoration quality requires tool transparency","Tool mastery is craft knowledge",proportionate_oversight,compromise,"Tool outcomes evaluated; specific selections protected",null,17.2
MDD-0086,867,Cartographer's Guild Council,Cartographer's Guild,Survey Assistant,pricing_decisions,"Survey costs require methodology transparency","Cost assessment reflects field conditions",system_transparency,compromise,"Cost ranges shared; calculations protected",null,49.5
MDD-0087,868,Capital Archive,Traders Guild,Quality Inspector,classification_reasoning,"Quality records require classification rationale","Quality judgment reflects market experience",results_oriented,compromise,"Quality outcomes tracked; reasoning protected",MDD-0085,73.8
MDD-0088,869,Scholars Guild Council,Scholars Guild,Archive Indexer,route_decisions,"Index navigation requires process visibility","Navigation reflects collection familiarity",proportionate_oversight,compromise,"Navigation outcomes measured; paths protected",MDD-0086,22.6
MDD-0089,870,Capital Archive,Cartographer's Guild,Map Illustrator,tool_selection,"Illustration consistency requires tool documentation","Tool selection reflects artistic vision",system_transparency,compromise,"Tool categories disclosed; applications protected",MDD-0087,61.9
MDD-0090,871,Traders Guild Council,Traders Guild,Inventory Manager,pricing_decisions,"Valuation consistency requires methodology visibility","Valuation intuition reflects experience",results_oriented,compromise,"Valuation ranges published; methods protected",MDD-0088,88.4
MDD-0091,872,Capital Archive,Scholars Guild,Manuscript Restorer,classification_reasoning,"Restoration standards require classification transparency","Classification reflects conservation expertise",proportionate_oversight,compromise,"Outcomes audited; classification process protected",MDD-0089,35.1
MDD-0092,873,Cartographer's Guild Council,Cartographer's Guild,Survey Assistant,route_decisions,"Survey planning requires route visibility","Route selection reflects senior mentorship",system_transparency,compromise,"Waypoints shared; decision reasoning protected",MDD-0090,66.7
MDD-0093,874,Capital Archive,Traders Guild,Quality Inspector,tool_selection,"Inspection standards require tool transparency","Tool expertise is accumulated knowledge",results_oriented,compromise,"Tool types disclosed; specific uses protected",MDD-0091,92.3
MDD-0094,875,Scholars Guild Council,Scholars Guild,Archive Indexer,pricing_decisions,"Index services require fee transparency","Fee assessment reflects complexity judgment",proportionate_oversight,compromise,"Fee ranges published; calculations protected",MDD-0092,29.8
MDD-0095,876,Capital Archive,Cartographer's Guild,Map Illustrator,classification_reasoning,"Illustration quality requires style rationale","Style reflects artistic development",system_transparency,exemption_granted,"Illustration quality evaluated; style choices protected under Opacity Conventions",MDD-0093,54.2
MDD-0096,877,Traders Guild Council,Traders Guild,Inventory Manager,route_decisions,"Supply chain requires route visibility","Route expertise reflects vendor relationships",results_oriented,exemption_granted,"Delivery outcomes tracked; routes protected",MDD-0094,77.5
MDD-0097,877,Capital Archive,Scholars Guild,Manuscript Restorer,tool_selection,"Restoration quality requires tool visibility","Tool mastery is conservation craft",proportionate_oversight,exemption_granted,"Restoration outcomes measured; tools protected",MDD-0095,16.4
MDD-0098,878,Cartographer's Guild Council,Cartographer's Guild,Survey Assistant,pricing_decisions,"Survey costs require transparency","Cost expertise reflects field experience",system_transparency,exemption_granted,"Survey outcomes tracked; costing protected",MDD-0096,48.7
MDD-0099,878,Capital Archive,Traders Guild,Quality Inspector,classification_reasoning,"Quality standards require classification visibility","Classification reflects quality expertise",results_oriented,exemption_granted,"Quality outcomes measured; classification protected",MDD-0097,81.2
MDD-0100,879,Scholars Guild Council,Scholars Guild,Archive Indexer,route_decisions,"Index navigation requires process visibility","Navigation reflects archive expertise",proportionate_oversight,exemption_granted,"Retrieval outcomes tracked; navigation protected",MDD-0098,24.3
MDD-0101,853,Capital Archive,Cartographer's Guild,Coastal Surveyor,classification_reasoning,"Coastal records require classification methodology","Coastal classification reflects tidal knowledge",proportionate_oversight,disclosure_required,"Classification criteria documented per survey",null,39.6
MDD-0102,854,Traders Guild Council,Traders Guild,Caravan Coordinator,route_decisions,"Caravan safety requires route documentation","Route selection reflects terrain expertise",system_transparency,disclosure_required,"Route plans approved before departure",null,75.4
MDD-0103,855,Capital Archive,Scholars Guild,Linguistic Analyst,tool_selection,"Analysis consistency requires tool documentation","Tool selection reflects linguistic specialization",proportionate_oversight,disclosure_required,"Tool configurations logged",null,13.8
MDD-0104,856,Cartographer's Guild Council,Cartographer's Guild,Mountain Guide,pricing_decisions,"Guide services require pricing transparency","Pricing reflects risk assessment",results_oriented,disclosure_required,"Fee structures documented",null,62.5
MDD-0105,857,Capital Archive,Traders Guild,Commodity Appraiser,classification_reasoning,"Appraisal records require classification rationale","Classification reflects market expertise",system_transparency,disclosure_required,"Appraisal criteria documented",null,86.9
MDD-0106,858,Scholars Guild Council,Scholars Guild,Cartographic Historian,route_decisions,"Historical research requires process documentation","Research paths reflect historiographic intuition",proportionate_oversight,disclosure_required,"Research methods documented",null,27.1
MDD-0107,859,Capital Archive,Cartographer's Guild,Coastal Surveyor,tool_selection,"Survey consistency requires tool documentation","Tool selection reflects coastal conditions",system_transparency,disclosure_required,"Tool usage logged per survey",null,51.3
MDD-0108,860,Traders Guild Council,Traders Guild,Caravan Coordinator,pricing_decisions,"Caravan costs require methodology transparency","Pricing reflects route complexity",results_oriented,disclosure_required,"Cost calculations documented",null,78.6
MDD-0109,861,Capital Archive,Scholars Guild,Linguistic Analyst,classification_reasoning,"Language records require classification rationale","Classification reflects linguistic intuition",proportionate_oversight,disclosure_required,"Classification logged per analysis",null,34.9
MDD-0110,862,Cartographer's Guild Council,Cartographer's Guild,Mountain Guide,route_decisions,"Mountain expeditions require route transparency","Route selection reflects accumulated terrain knowledge",system_transparency,disclosure_required,"Route plans documented daily",null,67.2
MDD-0111,863,Capital Archive,Traders Guild,Commodity Appraiser,tool_selection,"Appraisal standards require tool documentation","Tool expertise reflects commodity specialization",results_oriented,disclosure_required,"Tool usage documented per appraisal",null,91.5
MDD-0112,864,Scholars Guild Council,Scholars Guild,Cartographic Historian,pricing_decisions,"Research services require pricing transparency","Pricing reflects research complexity",proportionate_oversight,disclosure_required,"Fee calculations documented",null,23.7
MDD-0113,865,Capital Archive,Cartographer's Guild,Coastal Surveyor,classification_reasoning,"Coastal consistency requires classification transparency","Classification reflects environmental reading",system_transparency,compromise,"Outcomes audited; classification process protected",null,58.4
MDD-0114,866,Traders Guild Council,Traders Guild,Caravan Coordinator,route_decisions,"Caravan safety requires route visibility","Route expertise reflects accumulated experience",results_oriented,compromise,"Destinations shared; specific routes protected",null,83.1
MDD-0115,867,Capital Archive,Scholars Guild,Linguistic Analyst,tool_selection,"Analysis quality requires tool transparency","Tool mastery reflects specialization",proportionate_oversight,compromise,"Tool categories disclosed; configurations protected",MDD-0113,15.6
MDD-0116,868,Cartographer's Guild Council,Cartographer's Guild,Mountain Guide,pricing_decisions,"Guide services require fee transparency","Fee assessment reflects risk expertise",system_transparency,compromise,"Fee ranges published; risk calculations protected",MDD-0114,46.8
MDD-0117,869,Capital Archive,Traders Guild,Commodity Appraiser,classification_reasoning,"Appraisal consistency requires classification visibility","Classification reflects market intuition",results_oriented,compromise,"Outcomes measured; classification process protected",MDD-0115,74.3
MDD-0118,870,Scholars Guild Council,Scholars Guild,Cartographic Historian,route_decisions,"Research tracking requires process visibility","Research navigation reflects historiographic judgment",proportionate_oversight,compromise,"Research outcomes audited; process protected",MDD-0116,32.5
MDD-0119,871,Capital Archive,Cartographer's Guild,Coastal Surveyor,tool_selection,"Survey quality requires tool visibility","Tool selection reflects coastal expertise",system_transparency,compromise,"Tool types disclosed; selections protected",MDD-0117,69.7
MDD-0120,872,Traders Guild Council,Traders Guild,Caravan Coordinator,pricing_decisions,"Caravan costs require methodology visibility","Pricing intuition reflects route experience",results_oriented,compromise,"Cost ranges published; calculations protected",MDD-0118,95.2
MDD-0121,873,Capital Archive,Scholars Guild,Linguistic Analyst,classification_reasoning,"Language analysis requires classification rationale","Classification reflects linguistic expertise",proportionate_oversight,compromise,"Analysis outcomes audited; process protected",MDD-0119,21.4
MDD-0122,874,Cartographer's Guild Council,Cartographer's Guild,Mountain Guide,route_decisions,"Expedition safety requires route visibility","Route mastery reflects terrain experience",system_transparency,compromise,"Waypoints shared; route logic protected",MDD-0120,57.8
MDD-0123,875,Capital Archive,Traders Guild,Commodity Appraiser,tool_selection,"Appraisal consistency requires tool visibility","Tool expertise reflects commodity knowledge",results_oriented,compromise,"Tool types disclosed; applications protected",MDD-0121,82.6
MDD-0124,876,Scholars Guild Council,Scholars Guild,Cartographic Historian,pricing_decisions,"Research pricing requires fee transparency","Fee assessment reflects project complexity",proportionate_oversight,exemption_granted,"Research outcomes evaluated; pricing methods protected under Opacity Conventions",MDD-0122,26.9
MDD-0125,876,Capital Archive,Cartographer's Guild,Coastal Surveyor,classification_reasoning,"Coastal quality requires classification visibility","Classification reflects coastal expertise",system_transparency,exemption_granted,"Survey outcomes measured; classification protected",MDD-0123,64.1
MDD-0126,877,Traders Guild Council,Traders Guild,Caravan Coordinator,route_decisions,"Caravan management requires route visibility","Route expertise reflects accumulated terrain knowledge",results_oriented,exemption_granted,"Delivery outcomes tracked; routes protected",MDD-0124,89.4
MDD-0127,877,Capital Archive,Scholars Guild,Linguistic Analyst,tool_selection,"Analysis quality requires tool visibility","Tool mastery reflects linguistic specialization",proportionate_oversight,exemption_granted,"Analysis outcomes evaluated; tools protected",MDD-0125,18.7
MDD-0128,878,Cartographer's Guild Council,Cartographer's Guild,Mountain Guide,pricing_decisions,"Guide services require pricing visibility","Pricing reflects risk expertise",system_transparency,exemption_granted,"Guide outcomes tracked; pricing protected",MDD-0126,53.2
