manuscript_id,title,author,date_composed,date_archived,genre,subject_tags,word_count,condition,shelf_location,language,authenticity_status,acquisition_source,notes
MS-0044,The Conquest of Dens: A History,Mink Pavar,881,886,history,"Dens,conquest,history,military",18500,good,SHOP-16-A2,Common,suspected_forgery,estate,"History of Dens conquest. Later suspected of fabrications."
MS-0045,Meaning and Dissolution,Yasho Krent,869,874,treatise,"meaning,dissolution,water_school",8200,good,SHOP-15-A3,Common,verified,estate,"Yasho's theory of meaning within water-school framework."
MS-0046,The Rise of the Archive District,Mara Yent,904,909,history,"archive,Capital,history,district",14200,good,SHOP-16-B1,Common,verified,purchase,"History of how the archive district developed near the Senate."
MS-0047,The Senate and the Expeditions,Mara Yent,911,916,history,"Senate,expeditions,politics,funding",16800,good,SHOP-16-B2,Common,verified,purchase,"Political history of expedition funding and oversight."
MS-0048,Questions About the Archives,Mara Yent,919,ongoing,history,"archives,forgery,questions",8900,fragmentary,SHOP-16-B3,Common,verified,estate,"Mara's unfinished investigation into archive forgeries. She died before completing."
MS-0049,Capital Political Factions,Donal Crest,907,912,history,"Capital,politics,factions,history",19400,good,SHOP-16-C1,Common,verified,purchase,"Comprehensive history of political factions in the Capital."
MS-0050,The Senator and the Siege,Donal Crest,914,919,history,"Senator,Mirado,siege,politics",11200,good,SHOP-16-C2,Common,verified,purchase,"Political analysis of Senate support for the Mirado siege."
MS-0051,Chronicle of the Ninth Expedition,Pell Sontar,883,884,expedition_report,"expedition,Ninth,chronicle,disaster",7600,damaged,SHOP-11-C1,Common,verified,expedition,"Pell's chronicle up to the stakdur attack. He died in the encounter."
MS-0052,The Testimony of Sonter,Anonymous,882,883,legal_document,"Yeller,boss,testimony,execution",4800,good,SHOP-02-A1,Common,verified,confiscation,"Account of the Boss's expedition disaster. Recorded by chief of police's daughter."
MS-0055,Maps of the Dens Border,Tomas Grell,834,841,map_notes,"maps,Dens,border,cartography",3200,fair,SHOP-03-B1,Common,verified,estate,"Old Grell's mapping notes. Foundational for later cartography."
MS-0056,Dead River Exists,Vagabu Olt,893,894,expedition_report,"Dead River,maps,cartography,expedition",8700,good,SHOP-03-A2,Common,verified,expedition,"Bagbu's Dead River survey report. Confirmed the region exists."
MS-0057,Northern Route Atlas Notes,Senna Grell,864,865,map_notes,"North,routes,atlas,cartography",5400,good,SHOP-03-B2,Common,verified,expedition,"Notes from Northern Route Mapping expedition."
MS-0058,Yeller Quarry Route Compendium,Senna Grell,871,876,map_notes,"Quarry,routes,compendium,cartography",11200,good,SHOP-03-B3,Common,verified,purchase,"Comprehensive Quarry route documentation."
MS-0059,Dead River Eastern Reach Notes,Gareth Poll,902,903,map_notes,"Dead River,east,cartography,expedition",6800,pristine,SHOP-10-A1,Common,verified,expedition,"Extended Bagbu's earlier Dead River mapping."
MS-0060,Unmapped Settlements,Gareth Poll,905,910,expedition_report,"settlements,maps,discovery,Dead River",5400,pristine,SHOP-10-A2,Common,verified,expedition,"Documented settlements not on any previous maps."
MS-0061,Dispatches from Mirado: Volume I,Colonel Viragu,860,ongoing,correspondence,"Mirado,siege,military,dispatches",28000,good,SHOP-22-A1,Common,verified,ongoing,"Colonel's dispatches from the siege. Still being added to."
MS-0062,Dispatches from Mirado: Volume II,Colonel Viragu,875,ongoing,correspondence,"Mirado,siege,military,dispatches",24000,good,SHOP-22-A2,Common,verified,ongoing,"Continued dispatches. Quality declining as Colonel's enthusiasm fades."
MS-0063,Letters from the Lieutenant,Fyncho Delt,867,ongoing,correspondence,"Mirado,siege,lieutenant,letters",15600,good,SHOP-22-A3,Common,verified,ongoing,"Fyncho's correspondence. Reveals ambiguous loyalty."
MS-0064,Dens Border Investigation Report,Captain Vrell,867,868,expedition_report,"Dens,border,military,investigation",4200,good,SHOP-22-B1,Common,verified,expedition,"Confirmed densmuck encroachment. Several hundred yards since last survey."
MS-0065,The Final Push: Planning Documents,Colonel Viragu,910,911,military,"Mirado,siege,planning,military",8900,good,SHOP-22-B2,Common,verified,ongoing,"Planning for renewed assault on Mirado."
MS-0067,The Nature of Argument,Yasho Krent,875,880,treatise,"argument,debate,philosophy,water_school",7200,good,SHOP-15-B1,Common,verified,estate,"Yasho's theory of debate and dissolution."
MS-0070,On Archive Licensing,Oric Valdun,879,884,legal_document,"archives,licensing,legal,Senate",6800,good,SHOP-02-A2,Common,verified,purchase,"Legal framework for archive shop licensing."
MS-0071,The Round Window: Legal History,Oric Valdun,885,890,legal_document,"archives,windows,legal,history",5400,good,SHOP-02-A3,Common,verified,purchase,"History of the round window requirement for licensed shops."
MS-0072,Expedition Contract Forms,Oric Valdun,891,896,legal_document,"expeditions,contracts,legal,forms",12000,good,SHOP-02-A4,Common,verified,purchase,"Standard contract forms for expeditions."
MS-0073,Family Tree Authentication Methods,Pella Valdun,899,904,legal_document,"family trees,authentication,legal,Quarry",9200,good,SHOP-02-B1,Common,verified,purchase,"Legal standards for authenticating Quarry family trees."
MS-0074,Manuscript Provenance Standards,Pella Valdun,907,912,legal_document,"manuscripts,provenance,authentication,legal",7800,pristine,SHOP-02-B2,Common,verified,purchase,"Standards for verifying manuscript origins."
MS-0075,Lineage Disputes: Case Studies,Hork Staven,901,906,legal_document,"lineage,disputes,legal,cases",14600,good,SHOP-13-A1,Common,verified,purchase,"Collection of Quarry family tree dispute cases."
MS-0076,Expert Testimony in Lineage Cases,Hork Staven,909,914,legal_document,"testimony,lineage,legal,expert",8400,good,SHOP-13-A2,Common,verified,purchase,"Guidelines for expert witnesses in lineage disputes."
MS-0077,Tripas Trade Route Survey,Foreman Hask,875,876,expedition_report,"Tripas,trade,routes,survey",4800,good,SHOP-11-D1,Common,verified,expedition,"Mapped safe trade routes to Tripas."
MS-0078,Northern Village Census,Administrator Venn,899,900,expedition_report,"North,villages,census,survey",11400,good,SHOP-08-B1,Common,verified,expedition,"Census of isolated northern villages. Stone-casting traditions documented."
MS-0081,Creatures of the Western Quarry,Wen Torval,874,875,expedition_report,"Quarry,creatures,western,taxonomy",9800,good,SHOP-18-A1,Common,verified,expedition,"Wen's creature documentation from Fourth Expedition."
MS-0082,The Lower Marshes,Wen Torval,876,ongoing,expedition_report,"marshes,Quarry,creatures,expedition",6200,damaged,SHOP-18-A2,Common,verified,expedition,"Wen's final notes. Incomplete due to his death."
MS-0083,After the Fifth: A Sister's Account,Jara Torval,877,882,memoir,"Fifth Expedition,brother,memoir,survival",8400,good,SHOP-18-A3,Common,verified,donation,"Jara's account of surviving the Fifth Expedition disaster."
MS-0084,Safe Routes Through the Quarry,Jara Torval,886,891,expedition_report,"Quarry,routes,safety,expedition",7600,good,SHOP-18-A4,Common,verified,expedition,"Memorial Survey documentation of safe routes."
MS-0085,Notes on Yeller,Venn Horak,848,unknown,field_notes,"Yeller,creature,Quarry,observation",2800,fragmentary,SHOP-05-A1,Mixed,verified,unknown,"The Scavenger's fragmentary notes. First scholarly Yeller encounter."
MS-0086,Quarry Marginalia,Venn Horak,850,unknown,field_notes,"Quarry,creatures,marginalia,observations",1900,fragmentary,SHOP-05-A2,Mixed,verified,unknown,"Additional notes from the Scavenger. Condition poor."
MS-0087,The Practice of Stone-Casting,Renna Gast,841,848,treatise,"stones,casting,ritual,words",2800,fair,SHOP-09-B2,Old Quarry,verified,donation,"Detailed description of stone-casting ritual. Village origins."
MS-0088,Dannkit's Linguistic Notes,Dannkit Rosh,871,876,field_notes,"linguistics,village,words,stone_school",4200,fair,SHOP-09-B3,Mixed,verified,donation,"Stonebreaker's notes on language. Nearly deaf perspective."
MS-0089,On Yeller Numbers,Grigsu Haldo,867,872,treatise,"Yeller,numbers,primes,words",3600,good,SHOP-09-A4,Common,verified,estate,"Grigsu's analysis of Yeller's connection to prime numbers."
MS-0090,The Roving Letters Game,The Inventor,unknown,unknown,treatise,"game,letters,patterns,invention",2400,damaged,SHOP-05-B1,Mixed,unknown,unknown,"Fragment describing the Inventor's pattern game. Provenance uncertain."
MS-0091,Cartographic Contradictions,Vagabu Olt,895,896,map_notes,"maps,contradictions,Dead River,cartography",5800,good,SHOP-03-A3,Common,verified,donation,"Bagbu's notes on contradictory maps of Dead River."
MS-0099,The Years After Grigsu,Mink Pavar,894,899,history,"Grigsu,stone_school,history,decline",8200,good,SHOP-16-D1,Common,suspected_forgery,estate,"Mink's history of stone-school decline. Suspected of distortions."
MS-0102,Final Refutations,Yasho Krent,901,906,treatise,"stone_school,refutation,water_school,final",9800,good,SHOP-15-C1,Common,verified,estate,"Yasho's last major philosophical work. Comprehensive attack on stone-school."
MS-0103,Water-School Foundations,Nessa Bright,915,920,treatise,"water_school,foundations,teaching",11400,pristine,SHOP-15-C2,Common,verified,purchase,"Pedagogical text for water-school students."
MS-0104,The Pebble Returns,Denna Vox,924,929,treatise,"pebble_school,return,lending,words",5600,good,SHOP-20-B2,Common,verified,donation,"Denna's last attempt at pebble-school revival."
MS-0105,Modern Quarry Assessment,Cort Madden,913,914,expedition_report,"Quarry,modern,assessment,creatures",8900,pristine,SHOP-11-E1,Common,verified,expedition,"Modern survey with improved safety protocols."
MS-0106,Creature Population Changes,Cort Madden,916,921,treatise,"creatures,population,changes,Quarry",6700,pristine,SHOP-04-C1,Common,verified,purchase,"Analysis of creature population changes over decades."
MS-0107,The Pools of Mirado: A Meditation,Ulla Vant,911,916,treatise,"Mirado,pools,meditation,water_school",4800,pristine,SHOP-07-C1,Common,verified,donation,"Late Mirado water-school reflection."
MS-0108,Dissolution and the Seventy,Ulla Vant,917,922,treatise,"dissolution,seventy,pools,Mirado",5200,pristine,SHOP-07-C2,Common,verified,donation,"Final synthesis of Mirado water-school thought."
MS-0109,Cardhouse Debates: Volume I,Anonymous,870,875,debate_transcript,"debates,cardhouse,Grigsu,Yasho",18400,good,SHOP-19-A1,Common,verified,purchase,"Collected transcripts from the Gilt Cardhouse."
MS-0110,Cardhouse Debates: Volume II,Anonymous,876,881,debate_transcript,"debates,cardhouse,scholars",16200,good,SHOP-19-A2,Common,verified,purchase,"Continued debate transcripts."
MS-0111,The Boffa Discussions,Anonymous,874,879,debate_transcript,"debates,Boffa,creatures,philosophy",8400,good,SHOP-19-A3,Common,verified,purchase,"Recorded discussions at Boffa's study."
MS-0112,Yasho-Boffa Debates,Anonymous,876,881,debate_transcript,"debates,Yasho,Boffa,taxonomy",5600,good,SHOP-19-A4,Common,verified,purchase,"Debates on taxonomy and dissolution."
MS-0113,Senate Legal Debates: 876,Court Recorder,876,877,legal_document,"Senate,legal,debates,Valdun",7200,good,SHOP-02-C1,Common,verified,purchase,"Recorded legal debate between Valdun father and daughter."
MS-0114,The Yeller Debate,Anonymous,879,884,debate_transcript,"Yeller,debates,all_schools",12800,good,SHOP-19-B1,Common,verified,purchase,"All five scholars debated Yeller. Unusual number of stones cast."
MS-0115,Fibon and Eulr: The Final Meeting,Mirado Recorder,880,881,debate_transcript,"Fibon,Eulr,pebble_school,water_school",6400,good,SHOP-07-D1,Mirado Script,verified,purchase,"Last debate between the two Mirado philosophers."
MS-0116,Northern Stone-School Variations,Anonymous,882,887,debate_transcript,"North,stone_school,variations,debate",5800,fair,SHOP-08-C1,Common,verified,purchase,"Grigsu and Hamund compared regional traditions."
MS-0117,Ethics of Documentation,Anonymous,884,889,debate_transcript,"ethics,documentation,Mink,debate",6200,good,SHOP-19-B2,Common,verified,purchase,"Yasho accused Mink of selective reporting."
MS-0118,Stone vs Water Poetics,Anonymous,885,890,debate_transcript,"poetry,stone_school,water_school,debate",4800,good,SHOP-12-A1,Common,verified,purchase,"Tam Whistle and Lira Canto on poetic theory."
MS-0119,Map Authentication Dispute,Anonymous,886,891,debate_transcript,"maps,authentication,Bagbu,Mink",5400,good,SHOP-19-B3,Common,verified,purchase,"Bagbu and Mink argued about map provenance."
MS-0120,Songs of Stone,Tam Whistle,879,884,poetry,"poetry,stone_school,songs,verse",3200,good,SHOP-12-A2,Common,verified,donation,"Tam's stone-school poetry collection."
MS-0121,The Word Made Verse,Tam Whistle,886,891,poetry,"poetry,words,stone_school",2800,good,SHOP-12-A3,Common,verified,donation,"Later poetry applying stone-school to verse."
MS-0122,Northern Songs,Tam Whistle,891,896,poetry,"poetry,North,songs,tradition",3600,good,SHOP-12-A4,Common,verified,estate,"Final collection. Northern traditions."
MS-0123,Dissolution Songs,Lira Canto,884,889,poetry,"poetry,dissolution,water_school,songs",2900,good,SHOP-12-B1,Common,verified,donation,"Lira's water-school poetry."
MS-0124,Forgetting: Poems,Lira Canto,892,897,poetry,"poetry,forgetting,water_school",3100,good,SHOP-12-B2,Common,verified,donation,"Poems on dissolution and forgetting."
MS-0125,The Kachot Dispute,Anonymous,887,892,debate_transcript,"kachot,dispute,Grigsu,Mink",4200,good,SHOP-19-C1,Common,verified,purchase,"Record of the infamous Grigsu-Mink kachot argument."
MS-0126,Stakdur Classification Debate,Anonymous,888,893,debate_transcript,"stakdur,classification,debate,creatures",3800,good,SHOP-04-D1,Common,verified,purchase,"Hesta and Jara debated stakdur taxonomy."
MS-0127,Stone-School Under Scrutiny,Anonymous,890,895,debate_transcript,"stone_school,scrutiny,debate,Yasho",5600,good,SHOP-19-C2,Common,verified,purchase,"Yasho demolished Oben Marsh's synthesis attempts."
MS-0128,Family Tree Authentication Methods Debate,Court Recorder,891,892,legal_document,"family trees,debate,legal,methods",6800,good,SHOP-02-C2,Common,verified,purchase,"Hork Staven's methods upheld over traditional approach."
MS-0129,Cartographic Standards,Anonymous,892,897,debate_transcript,"cartography,standards,debate,maps",4200,good,SHOP-03-C1,Common,verified,purchase,"Bagbu and Senna Grell established new standards."
MS-0130,Pool Philosophy Debate,Mirado Recorder,894,899,debate_transcript,"pools,philosophy,Mirado,debate",4600,good,SHOP-07-D2,Mirado Script,verified,purchase,"Vera and Kell debated whether pools follow dissolution."
MS-0131,Historical Accuracy Debate,Anonymous,896,901,debate_transcript,"history,accuracy,Mink,debate",6400,good,SHOP-19-C3,Common,verified,purchase,"First hints of Mink's potential forgeries surfaced."
MS-0132,Water-School Succession,Anonymous,898,903,debate_transcript,"water_school,succession,Yasho,Nessa",3800,good,SHOP-15-D1,Common,verified,purchase,"Ceremonial debate passing mantle to Nessa Bright."
MS-0133,Literalism vs Stone-School,Anonymous,900,905,debate_transcript,"literalism,stone_school,debate,epistemology",5200,good,SHOP-24-B1,Common,verified,purchase,"Found more agreement than expected between schools."
MS-0134,Authentication Standards Debate,Court Recorder,902,903,legal_document,"authentication,standards,legal,debate",5800,good,SHOP-02-C3,Common,verified,purchase,"Pella Valdun's stricter standards adopted."
MS-0135,Expedition Report Reliability,Anonymous,904,909,debate_transcript,"expeditions,reliability,history,debate",4800,good,SHOP-19-D1,Common,verified,purchase,"Agreed cross-referencing essential for historical use."
MS-0136,Taxonomy Schools Debate,Anonymous,906,911,debate_transcript,"taxonomy,water_school,stone_school,debate",5400,good,SHOP-04-D2,Common,verified,purchase,"Renna's dissolution-based methods gained adherents."
MS-0137,Repetition in Verse Debate,Anonymous,908,913,debate_transcript,"poetry,repetition,debate,verse",4200,good,SHOP-12-C1,Common,verified,purchase,"Lira and Tam revisited old debate. More civil."
MS-0138,Modern School Debate,Anonymous,910,915,debate_transcript,"water_school,pebble_school,modern,debate",5800,good,SHOP-15-D2,Common,verified,purchase,"Nessa demolished Denna's pebble-school revival."
MS-0139,Evidence of Forgery Debate,Anonymous,912,917,debate_transcript,"forgery,evidence,Mink,debate",7200,good,SHOP-19-D2,Common,verified,purchase,"Mara presented evidence against Mink. Inconclusive."
MS-0140,Expedition Data Synthesis Standards,Anonymous,914,919,debate_transcript,"expeditions,data,synthesis,standards",4600,good,SHOP-11-F1,Common,verified,purchase,"Donal and Cort established modern standards."
MS-0141,Mirado vs Capital Water-School,Anonymous,916,921,debate_transcript,"Mirado,Capital,water_school,divergence",5200,good,SHOP-07-E1,Mixed,verified,purchase,"Found significant divergence between traditions."
MS-0142,Dead River Mapping Controversies,Anonymous,918,923,debate_transcript,"Dead River,maps,controversies,debate",4800,good,SHOP-10-B1,Common,verified,purchase,"Gareth and Bagbu compared findings. Discrepancies remain."
MS-0143,Family Tree Final Standards,Court Recorder,920,921,legal_document,"family trees,standards,final,legal",8200,pristine,SHOP-02-D1,Common,verified,purchase,"Pella Valdun's framework adopted as permanent standard."
MS-0147,The Builder of Mirado,Anonymous,unknown,unknown,treatise,"Mirado,builder,Jorkin,paradox",2400,damaged,SHOP-05-C1,Mixed,unknown,unknown,"Fragment discussing who built Mirado. Jorkin paradox."
MS-0156,Grigsu's Lost Treatise,attributed to Grigsu Haldo,868,902,treatise,"Grigsu,stone_school,lost,treatise",6800,good,SHOP-09-C1,Common,suspected_forgery,purchase,"Discovered after Grigsu's death. Style inconsistent. Suspected Mink forgery."
MS-0157,The True Stone-School,attributed to Grigsu Haldo,869,904,treatise,"stone_school,true,Grigsu,doctrine",5400,good,SHOP-09-C2,Common,suspected_forgery,purchase,"Another posthumous discovery. Uses water-school terminology. Likely forgery."
MS-0158,Recantation of Errors,attributed to Grigsu Haldo,870,906,treatise,"Grigsu,recantation,stone_school,errors",4200,good,SHOP-09-C3,Common,suspected_forgery,purchase,"Claims Grigsu abandoned stone-school. Almost certainly forged by Mink."
MS-0093,On the Casting of Stones,Grigsu Haldo,871,876,treatise,"stones,casting,village,words",5100,good,SHOP-09-A5,Common,verified,estate,Grigsu's meditation on the village practice of casting stones after conversation.
MS-0094,Letter to Yasho Krent,Grigsu Haldo,877,880,correspondence,"Yasho,letter,village,grandmother",3200,good,SHOP-09-A6,Common,verified,estate,A personal letter from Grigsu written from his village after his grandmother's death.
MS-0144,Marginalia on Grigsu's Treatise,Various,870-920,ongoing,marginalia,"Grigsu,marginalia,commentary,readers",2100,varied,Multiple,Common,verified,various,Collected marginal notes from various copies of Grigsu's 'On the Permanence of the Uttered.'
MS-0145,Marginalia on Yasho's Treatise,Various,865-920,ongoing,marginalia,"Yasho,marginalia,commentary,readers",1900,varied,Multiple,Common,verified,various,Collected marginal notes from various copies of Yasho's 'Against the Stone-Carriers.'
MS-0159,On the Reconciliation of Schools,attributed to Grigsu Haldo,871,907,treatise,"reconciliation,stone_school,water_school",2800,good,SHOP-09-C4,Common,suspected_forgery,purchase,"Fourth posthumous discovery. Attempts to reconcile schools. Same suspicious provenance as MS-0156-158."
