case_id,case_name,form_id,form_type,form_complexity,block_type,block_stage,manifestation_reached,primary_cause,secondary_cause,competing_form_id,location,region,dens_proximity_km,barrier_thickness,expected_success,residue_left,retry_occurred,retry_successful,alternative_manifestation,lesson_category,theoretical_implications,observation_year,observer,documented_year,documenter,confidence,notes
BI-0046,Blocked Structure 916,FORM-0397,structure,simple,temporary,early_manifestation,0.47,form_instability,,,Capital proper,Capital,281.2,thick,0.14,True,False,,False,timing_requirements,Substrate rejection requires Form compatibility,913,T. Mord,928,T. Mord,0.67,
BI-0047,Blocked Creature 898,FORM-0175,creature,complex,temporary,near_completion,0.46,observer_interference,,,Southern perimeter,Dens boundary,47.0,thick,0.61,False,True,False,True,barrier_mechanics,Form competition more common than expected,906,Capital Survey Team,920,Capital Survey Team,0.71,
BI-0048,Blocked Structure 916,FORM-0400,structure,highly_complex,displaced,pre_onset,0.23,temporal_mismatch,,,Philosophical Society grounds,Capital,206.8,thin,0.49,True,True,,True,form_competition,Barrier thickness alone insufficient to explain blocking,907,Ingression Study Group,933,Ingression Study Group,0.51,
BI-0049,Blocked Creature 911,FORM-0648,creature,complex,displaced,near_completion,0.21,collective_prevention,,,Dens deep,Dens,0.0,very_thick,0.7,True,False,,True,barrier_mechanics,Form competition more common than expected,897,S. Moll,919,Capital Survey Team,0.6,
BI-0050,Blocked Behavior 896,FORM-0388,behavior,moderate,displaced,pre_onset,0.16,spatial_geometry,,,Northern margin,Dens boundary,52.9,moderate,0.79,False,False,,False,substrate_requirements,Collective prevention possible and documented,900,M. Strand,930,Capital Survey Team,0.8,
BI-0051,Blocked Place 905,FORM-0507,place,complex,partial,mid_progression,0.41,collective_prevention,,,Quarry interior,Yeller Quarry,133.2,moderate,0.63,False,True,,False,collective_dynamics,Barrier thickness alone insufficient to explain blocking,927,C. Vells,933,T. Mord,0.86,
BI-0052,Blocked Relationship 907,FORM-0864,relationship,complex,temporary,near_completion,0.46,substrate_rejection,barrier_thickness,,Tower base,Tower of Mirado,158.0,very_thick,0.38,False,False,,True,collective_dynamics,Form competition more common than expected,928,A. Vells,923,T. Mord,0.83,
BI-0053,Blocked Structure 920,FORM-0491,structure,highly_complex,complete,post_completion_reversal,0.0,observer_interference,,,Central anomaly,Dens,0.0,thick,0.7,False,True,,True,collective_dynamics,Form competition more common than expected,916,Boundary Commission,933,Capital Survey Team,0.89,
BI-0054,Blocked Creature 914,FORM-0649,creature,complex,complete,early_manifestation,0.0,collective_prevention,,,Scholar's Quarter,Capital,201.5,thin,0.5,True,True,False,False,collective_dynamics,Barrier thickness alone insufficient to explain blocking,896,C. Vells,933,A. Prebel,0.8,
BI-0055,Blocked Phenomenon 899,FORM-0343,phenomenon,moderate,complete,early_manifestation,0.0,competing_form,collective_prevention,FORM-0612,Siege fields,Tower of Mirado,236.3,thin,0.43,False,False,,True,barrier_mechanics,Form competition more common than expected,899,A. Prebel,919,Field Team,0.5,
BI-0056,Blocked Pattern 930,FORM-0083,pattern,moderate,partial,near_completion,0.32,observer_interference,competing_form,,Southern perimeter,Dens boundary,31.0,thick,0.64,False,False,False,False,observer_effects,Form competition more common than expected,902,T. Mord,919,E. Pol,0.78,
BI-0057,Blocked Relationship 912,FORM-0900,relationship,moderate,complete,near_completion,0.0,temporal_mismatch,temporal_mismatch,,Dissolution zone,Dens,0.0,thick,0.7,True,True,,True,barrier_mechanics,Substrate rejection requires Form compatibility,917,S. Moll,933,E. Pol,0.63,
BI-0058,Blocked Pattern 929,FORM-0850,pattern,highly_complex,temporary,near_completion,0.59,barrier_thickness,collective_prevention,,Sector NE-4,Dens boundary,21.3,very_thick,0.66,True,True,,False,collective_dynamics,Collective prevention possible and documented,911,Field Team,925,M. Strand,0.6,
BI-0059,Blocked Behavior 904,FORM-0308,behavior,highly_complex,displaced,early_manifestation,0.38,substrate_rejection,,,Capital outskirts,Capital,269.1,moderate,0.36,False,False,False,True,barrier_mechanics,Substrate rejection requires Form compatibility,897,C. Vells,929,Boundary Commission,0.77,
BI-0060,Blocked Relationship 903,FORM-0108,relationship,complex,complete,post_completion_reversal,0.0,unknown,,,Lake vicinity,Northo,297.0,thin,0.31,False,True,,True,barrier_mechanics,Form competition more common than expected,910,C. Vells,928,T. Mord,0.78,
BI-0061,Blocked Phenomenon 914,FORM-0181,phenomenon,simple,complete,near_completion,0.0,spatial_geometry,collective_prevention,,Lake vicinity,Northo,291.3,very_thick,0.12,False,True,,True,observer_effects,Barrier thickness alone insufficient to explain blocking,930,C. Vells,930,Field Team,0.59,
BI-0062,Blocked Pattern 922,FORM-0789,pattern,highly_complex,dissolved,near_completion,0.82,collective_prevention,,,Southern camps,Tower of Mirado,185.5,thin,0.53,True,False,False,False,barrier_mechanics,Collective prevention possible and documented,908,S. Moll,926,S. Moll,0.71,
BI-0063,Blocked Relationship 913,FORM-0818,relationship,simple,displaced,mid_progression,0.22,substrate_rejection,,,Suburban zone,Densmok,276.6,thick,0.15,True,True,,True,collective_dynamics,Analytical observation inhibits ingression,895,C. Vells,924,A. Vells,0.76,
BI-0064,Blocked Place 908,FORM-0599,place,complex,complete,post_completion_reversal,0.0,spatial_geometry,,,Quarry interior,Yeller Quarry,178.3,moderate,0.54,True,False,,False,substrate_requirements,Barrier thickness alone insufficient to explain blocking,910,S. Moll,931,C. Vells,0.82,
BI-0065,Blocked Pattern 916,FORM-0546,pattern,highly_complex,complete,mid_progression,0.0,barrier_thickness,none,,Southern approach,Yeller Quarry,139.6,thick,0.42,True,False,,True,timing_requirements,Barrier thickness alone insufficient to explain blocking,917,Ingression Study Group,920,T. Mord,0.52,
BI-0066,Blocked Behavior 912,FORM-0018,behavior,complex,partial,near_completion,0.36,form_instability,,,Ascetic village,Northo,340.9,moderate,0.22,False,True,True,False,timing_requirements,Substrate rejection requires Form compatibility,925,S. Moll,929,C. Vells,0.73,
BI-0067,Blocked Creature 919,FORM-0644,creature,simple,complete,early_manifestation,0.0,unknown,,,Northern approach,Tower of Mirado,177.3,thin,0.55,True,False,,False,observer_effects,Barrier thickness alone insufficient to explain blocking,922,A. Vells,926,A. Prebel,0.68,
BI-0068,Blocked Pattern 930,FORM-0175,pattern,simple,partial,mid_progression,0.27,observer_interference,,,Siege fields,Tower of Mirado,239.8,thick,0.22,False,False,True,False,barrier_mechanics,Barrier thickness alone insufficient to explain blocking,923,A. Vells,925,Ingression Study Group,0.81,
BI-0069,Blocked Behavior 928,FORM-0029,behavior,highly_complex,dissolved,pre_onset,0.59,spatial_geometry,,,Klutch CC vicinity,Densmok,204.2,moderate,0.49,True,False,,True,barrier_mechanics,Form competition more common than expected,926,Capital Survey Team,920,Ingression Study Group,0.87,
BI-0070,Blocked Relationship 921,FORM-0659,relationship,moderate,temporary,post_completion_reversal,0.63,observer_interference,,,Coder quarter,Densmok,259.2,very_thick,0.18,True,True,,True,barrier_mechanics,Substrate rejection requires Form compatibility,916,M. Strand,926,Field Team,0.68,
BI-0071,Blocked Hybrid 916,FORM-0616,hybrid,moderate,dissolved,early_manifestation,0.88,unknown,temporal_mismatch,,Philosophical Society grounds,Capital,203.6,moderate,0.49,True,False,,False,timing_requirements,Form competition more common than expected,895,Unknown,924,A. Prebel,0.55,
BI-0072,Blocked Place 910,FORM-0780,place,simple,temporary,pre_onset,0.57,competing_form,,FORM-0209,Ascetic village,Northo,329.7,moderate,0.24,True,True,,True,barrier_mechanics,Analytical observation inhibits ingression,915,M. Strand,928,E. Pol,0.9,
BI-0073,Blocked Hybrid 900,FORM-0193,hybrid,highly_complex,dissolved,near_completion,0.71,barrier_thickness,,,Quarry interior,Yeller Quarry,175.5,thick,0.35,False,True,,True,form_competition,Form competition more common than expected,922,E. Pol,923,Field Team,0.61,
BI-0074,Blocked Hybrid 930,FORM-0329,hybrid,simple,partial,near_completion,0.27,barrier_thickness,temporal_mismatch,,Coder quarter,Densmok,245.4,moderate,0.41,False,True,,True,barrier_mechanics,Analytical observation inhibits ingression,905,Unknown,933,Field Team,0.55,
BI-0075,Blocked Hybrid 924,FORM-0581,hybrid,simple,displaced,early_manifestation,0.32,observer_interference,,,Capital proper,Capital,252.9,moderate,0.39,True,False,,False,substrate_requirements,Analytical observation inhibits ingression,924,Ingression Study Group,928,A. Prebel,0.65,
BI-0076,Blocked Pattern 899,FORM-0532,pattern,complex,temporary,post_completion_reversal,0.58,substrate_rejection,form_instability,,Eastern markets,Capital,217.4,moderate,0.47,False,True,,False,form_competition,Barrier thickness alone insufficient to explain blocking,897,M. Strand,932,Ingression Study Group,0.52,
BI-0077,Blocked Behavior 907,FORM-0569,behavior,moderate,complete,early_manifestation,0.0,spatial_geometry,,,Southern camps,Tower of Mirado,191.0,thin,0.52,False,False,True,True,form_competition,Form competition more common than expected,925,T. Mord,930,Boundary Commission,0.52,
BI-0078,Blocked Pattern 929,FORM-0478,pattern,simple,temporary,pre_onset,0.34,spatial_geometry,temporal_mismatch,,Coder quarter,Densmok,238.9,thin,0.42,True,False,,False,barrier_mechanics,Substrate rejection requires Form compatibility,898,Boundary Commission,925,M. Strand,0.75,
BI-0079,Blocked Creature 912,FORM-0712,creature,moderate,displaced,near_completion,0.32,spatial_geometry,,,Southern camps,Tower of Mirado,168.0,thick,0.36,True,True,,True,observer_effects,Form competition more common than expected,914,Capital Survey Team,934,C. Vells,0.8,
BI-0080,Blocked Relationship 915,FORM-0235,relationship,simple,partial,mid_progression,0.48,competing_form,unknown,FORM-0650,Isolation community,Northo,283.7,thick,0.13,True,True,,False,form_competition,Collective prevention possible and documented,908,Boundary Commission,927,T. Mord,0.78,
BI-0081,Blocked Place 905,FORM-0321,place,simple,dissolved,post_completion_reversal,0.64,form_instability,competing_form,,Dens interior,Dens,0.0,moderate,0.9,False,True,,True,observer_effects,Analytical observation inhibits ingression,928,Capital Survey Team,926,Field Team,0.7,
BI-0082,Blocked Phenomenon 917,FORM-0071,phenomenon,moderate,dissolved,post_completion_reversal,0.89,unknown,,,Trapper territory,Yeller Quarry,137.7,thick,0.42,True,True,,True,barrier_mechanics,Form competition more common than expected,905,Boundary Commission,924,C. Vells,0.7,
BI-0083,Blocked Behavior 911,FORM-0175,behavior,moderate,temporary,pre_onset,0.37,unknown,,,Central anomaly,Dens,0.0,thin,0.9,True,True,,False,barrier_mechanics,Barrier thickness alone insufficient to explain blocking,927,Unknown,926,Field Team,0.77,
BI-0084,Blocked Phenomenon 921,FORM-0088,phenomenon,simple,dissolved,pre_onset,0.75,form_instability,,,Southern perimeter,Dens boundary,31.2,moderate,0.84,True,True,,False,form_competition,Analytical observation inhibits ingression,918,M. Strand,922,S. Moll,0.7,
BI-0085,Blocked Phenomenon 921,FORM-0594,phenomenon,complex,temporary,pre_onset,0.55,competing_form,none,FORM-0347,Northern workings,Yeller Quarry,101.2,moderate,0.7,False,True,,False,timing_requirements,Substrate rejection requires Form compatibility,908,Unknown,920,T. Mord,0.86,
BI-0086,Blocked Pattern 898,FORM-0687,pattern,moderate,partial,mid_progression,0.45,observer_interference,,,Sector NE-4,Dens boundary,37.1,thin,0.83,True,True,,True,form_competition,Substrate rejection requires Form compatibility,924,A. Prebel,925,Field Team,0.77,
BI-0087,Blocked Structure 915,FORM-0674,structure,simple,temporary,post_completion_reversal,0.64,competing_form,form_instability,FORM-0073,Sector NE-4,Dens boundary,57.0,moderate,0.79,False,False,,False,collective_dynamics,Form competition more common than expected,905,T. Mord,926,E. Pol,0.79,
BI-0088,Blocked Place 922,FORM-0419,place,simple,temporary,near_completion,0.34,substrate_rejection,,,Dens deep,Dens,0.0,very_thick,0.7,True,True,False,True,form_competition,Collective prevention possible and documented,899,C. Vells,933,Field Team,0.72,
BI-0089,Blocked Structure 928,FORM-0938,structure,moderate,dissolved,early_manifestation,0.64,substrate_rejection,none,,Capital proper,Capital,244.5,very_thick,0.21,True,False,False,True,timing_requirements,Collective prevention possible and documented,915,M. Strand,918,S. Moll,0.85,
BI-0090,Blocked Structure 915,FORM-0539,structure,highly_complex,complete,near_completion,0.0,observer_interference,,,Western approach,Dens boundary,33.6,moderate,0.83,False,True,True,False,barrier_mechanics,Form competition more common than expected,928,C. Vells,932,A. Prebel,0.51,
BI-0091,Blocked Behavior 916,FORM-0070,behavior,highly_complex,partial,post_completion_reversal,0.48,collective_prevention,collective_prevention,,Dissolution zone,Dens,0.0,thin,0.9,False,True,,False,barrier_mechanics,Form competition more common than expected,913,A. Vells,919,S. Moll,0.89,
BI-0092,Blocked Pattern 924,FORM-0462,pattern,moderate,dissolved,near_completion,0.89,competing_form,,FORM-0243,Scholar's Quarter,Capital,236.4,thin,0.43,True,False,,False,substrate_requirements,Barrier thickness alone insufficient to explain blocking,916,E. Pol,928,S. Moll,0.79,
BI-0093,Blocked Creature 900,FORM-0009,creature,simple,partial,mid_progression,0.6,spatial_geometry,spatial_geometry,,Southern approach,Yeller Quarry,140.9,thick,0.42,True,False,False,True,observer_effects,Analytical observation inhibits ingression,895,S. Moll,927,S. Moll,0.69,
BI-0094,Blocked Relationship 914,FORM-0956,relationship,simple,temporary,early_manifestation,0.39,temporal_mismatch,unknown,,Dens interior,Dens,0.0,very_thick,0.7,True,False,,True,observer_effects,Substrate rejection requires Form compatibility,918,Capital Survey Team,927,M. Strand,0.74,
BI-0095,Blocked Creature 902,FORM-0774,creature,simple,complete,early_manifestation,0.0,competing_form,collective_prevention,FORM-0565,Isolation community,Northo,376.1,thin,0.15,True,True,,True,observer_effects,Form competition more common than expected,923,Ingression Study Group,929,A. Vells,0.81,
BI-0096,Blocked Hybrid 907,FORM-0510,hybrid,complex,complete,post_completion_reversal,0.0,form_instability,,,Eastern Northo,Northo,349.0,thick,0.1,False,False,,True,timing_requirements,Form competition more common than expected,917,C. Vells,921,Field Team,0.72,
BI-0097,Blocked Hybrid 904,FORM-0929,hybrid,moderate,displaced,mid_progression,0.34,unknown,,,Dens interior,Dens,0.0,moderate,0.9,True,False,,False,timing_requirements,Substrate rejection requires Form compatibility,930,S. Moll,926,Capital Survey Team,0.73,
BI-0098,Blocked Phenomenon 926,FORM-0215,phenomenon,complex,complete,early_manifestation,0.0,observer_interference,unknown,,Isolation community,Northo,295.8,moderate,0.31,False,True,,True,timing_requirements,Collective prevention possible and documented,895,Unknown,930,Field Team,0.81,
BI-0099,Blocked Pattern 913,FORM-0781,pattern,simple,partial,near_completion,0.37,temporal_mismatch,collective_prevention,,Third Mill,Yeller Quarry,109.5,very_thick,0.48,False,False,,False,timing_requirements,Form competition more common than expected,923,C. Vells,924,C. Vells,0.87,
BI-0100,Blocked Place 905,FORM-0553,place,complex,partial,pre_onset,0.38,form_instability,,,Central anomaly,Dens,0.0,thin,0.9,True,False,,True,barrier_mechanics,Form competition more common than expected,911,A. Vells,925,T. Mord,0.56,
