change_id,change_name,entity_type,entity_id,original_substrate,new_substrate,substrate_overlap,change_type,change_duration_days,change_year,dens_proximity_km,pattern_preserved,pattern_fidelity,pattern_type,memory_source,memory_evidence,outcome,ghost_detected,ghost_strength,documenter,documentation_source,koss_reference,confidence,description,notes
SC-0018,Trapper's Rest Transformation,pattern,EN-521,wood,iron,25.9,gradual_replacement,930,931,195.3,identity patterns,0.664,composite,multiple_sources,experimental_inference,ghost_formation,True,0.22,Boundary Commission,experimental_record,False,0.85,Substrate change case involving pattern with gradual_replacement process.,
SC-0019,The Changed Reed_Spinner,creature,EN-385,iron,iron,40.8,regeneration,166,884,92.6,physical form,0.922,memorial,substrate_imprint,no_evidence,perfect_persistence,False,,K. Strand,collective_testimony,False,0.81,Substrate change case involving creature with regeneration process.,
SC-0020,Northern Quarry Transition,collective,,clay,clay,1.9,regeneration,186,887,119.7,collective memory,0.979,relational,unknown,experimental_inference,perfect_persistence,False,,Boundary Commission,direct_observation,False,0.82,Substrate change case involving collective with regeneration process.,
SC-0021,The Regenerated Tunnel_Cat,creature,EN-416,stable matter,stable matter,3.5,regeneration,179,922,133.2,hunting instincts,0.494,relational,substrate_imprint,scavenger_testimony,ghost_formation,True,0.79,Boundary Commission,pattern_analysis,False,0.56,Substrate change case involving creature with regeneration process.,
SC-0022,Deep Tunnels Transformation,phenomenon,EN-552,clay,stable matter,5.5,catastrophic_loss,10,923,1.1,identity patterns,0.672,behavioral,unknown,scavenger_testimony,partial_persistence,False,,T. Vells,direct_observation,False,0.63,Substrate change case involving phenomenon with catastrophic_loss process.,
SC-0023,Western Boundary Transformation,pattern,EN-744,clay,iron,8.1,catastrophic_loss,2,916,30.3,identity patterns,0.894,behavioral,multiple_sources,no_evidence,partial_persistence,False,,Quarry Guild Records,collective_testimony,False,0.68,Substrate change case involving pattern with catastrophic_loss process.,
SC-0024,Eastern Ridge Change,place,EN-236,iron,wood,8.0,catastrophic_loss,15,931,139.5,identity patterns,0.956,relational,multiple_sources,pattern_analysis,perfect_persistence,False,,K. Strand,pattern_analysis,False,0.64,Substrate change case involving place with catastrophic_loss process.,
SC-0025,Boundary Marker Seven Change,phenomenon,EN-550,dens-touched matter,wood,7.4,catastrophic_loss,9,884,95.5,identity patterns,0.552,composite,substrate_imprint,experimental_inference,drift,True,0.74,Boundary Commission,historical_reconstruction,False,0.64,Substrate change case involving phenomenon with catastrophic_loss process.,
SC-0026,Trapper's Rest Transformation,collective,EN-888,wood,iron,1.9,gradual_replacement,655,917,82.1,relational dynamics,0.942,composite,form_library,pattern_analysis,perfect_persistence,False,,Quarry Guild Records,collective_testimony,False,0.5,Substrate change case involving collective with gradual_replacement process.,
SC-0027,Trapper's Rest Rebuilding,structure,EN-578,iron,dens-touched matter,6.6,gradual_replacement,129,888,87.7,spatial relationships,0.634,identity,unknown,direct_observation,partial_persistence,False,,Quarry Guild Records,pattern_analysis,False,0.75,Substrate change case involving structure with gradual_replacement process.,
SC-0028,The Changed Digger,creature,,living tissue,clay,11.4,gradual_replacement,434,896,43.1,behavioral patterns,0.804,morphological,spatial_memory,direct_observation,partial_persistence,False,,K. Strand,direct_observation,False,0.95,Substrate change case involving creature with gradual_replacement process.,
SC-0029,Third Mill Reconstruction,structure,,iron,iron,25.2,gradual_replacement,344,909,124.6,operational patterns,0.947,composite,substrate_imprint,theoretical_deduction,perfect_persistence,False,,T. Vells,pattern_analysis,True,0.77,Substrate change case involving structure with gradual_replacement process.,
SC-0030,Deep Tunnels Change,pattern,,stone,living tissue,46.4,collective_transition,202,895,115.6,relational dynamics,0.682,morphological,multiple_sources,theoretical_deduction,ghost_formation,True,0.34,C. Vells,direct_observation,False,0.86,Substrate change case involving pattern with collective_transition process.,
SC-0031,Trapper's Rest Transformation,collective,,collective minds,stone,25.3,collective_transition,225,925,68.9,relational dynamics,0.542,behavioral,spatial_memory,experimental_inference,partial_persistence,False,,K. Strand,historical_reconstruction,False,0.78,Substrate change case involving collective with collective_transition process.,
SC-0032,Old Survey Camp Change,collective,EN-606,collective minds,iron,41.5,collective_transition,240,900,18.2,identity patterns,0.8,behavioral,spatial_memory,experimental_inference,partial_persistence,False,,Independent Observer,historical_reconstruction,False,0.65,Substrate change case involving collective with collective_transition process.,
SC-0033,Third Mill Transformation,collective,,iron,stone,12.1,collective_transition,294,885,81.9,identity patterns,0.776,memorial,collective_memory,scavenger_testimony,partial_persistence,False,,Archive Survey Team,historical_reconstruction,False,0.8,Substrate change case involving collective with collective_transition process.,
SC-0034,Trapper's Rest Rebuilding,structure,,collective minds,collective minds,17.6,regeneration,166,928,91.3,spatial relationships,0.592,composite,collective_memory,experimental_inference,partial_persistence,False,,Archive Survey Team,collective_testimony,False,0.62,Substrate change case involving structure with regeneration process.,
SC-0035,Northern Quarry Transition,collective,EN-814,iron,clay,11.4,experimental,17,888,36.7,collective memory,0.714,composite,spatial_memory,direct_observation,partial_persistence,True,0.88,S. Moll,pattern_analysis,True,0.63,Substrate change case involving collective with experimental process.,
SC-0036,Third Mill Change,phenomenon,EN-354,dens-touched matter,dens-touched matter,5.7,regeneration,47,887,14.0,collective memory,0.489,identity,spatial_memory,pattern_analysis,drift,True,0.3,C. Vells,pattern_analysis,False,0.6,Substrate change case involving phenomenon with regeneration process.,
SC-0037,Northern Quarry Transformation,collective,,stable matter,stable matter,15.3,regeneration,322,896,124.6,collective memory,0.04,composite,form_library,experimental_inference,pattern_loss,False,,Archive Survey Team,experimental_record,False,0.75,Substrate change case involving collective with regeneration process.,
SC-0038,Old Survey Camp Change,place,EN-923,clay,living tissue,6.9,gradual_replacement,819,892,141.7,relational dynamics,0.528,relational,form_library,pattern_analysis,partial_persistence,True,0.39,Archive Survey Team,experimental_record,False,0.91,Substrate change case involving place with gradual_replacement process.,
SC-0039,Northern Quarry Transformation,place,EN-182,clay,dens-touched matter,3.7,gradual_replacement,816,918,138.0,relational dynamics,0.994,morphological,spatial_memory,no_evidence,perfect_persistence,False,,Independent Observer,pattern_analysis,False,0.61,Substrate change case involving place with gradual_replacement process.,
SC-0040,The Rebuilt Rock_Eel,creature,,living tissue,wood,14.1,gradual_replacement,384,910,130.7,physical form,0.599,memorial,spatial_memory,theoretical_deduction,drift,False,,Independent Observer,direct_observation,False,0.89,Substrate change case involving creature with gradual_replacement process.,
SC-0041,Trapper's Rest Rebuilding,structure,,living tissue,regenerated tissue,22.7,regeneration,175,922,63.6,operational patterns,0.888,identity,spatial_memory,scavenger_testimony,partial_persistence,False,,S. Moll,experimental_record,False,0.73,Substrate change case involving structure with regeneration process.,
SC-0042,Third Mill Transition,collective,,clay,wood,46.4,collective_transition,258,899,88.2,identity patterns,0.309,identity,form_library,pattern_analysis,drift,False,,Quarry Guild Records,direct_observation,False,0.6,Substrate change case involving collective with collective_transition process.,
SC-0043,The Regenerated Maw_Beast,creature,EN-713,clay,clay,25.4,regeneration,257,912,55.4,behavioral patterns,0.924,composite,collective_memory,direct_observation,perfect_persistence,False,,Boundary Commission,collective_testimony,False,0.65,Substrate change case involving creature with regeneration process.,
SC-0044,Northern Quarry Transformation,collective,,dens-touched matter,wood,13.4,gradual_replacement,440,892,97.4,collective memory,0.976,composite,collective_memory,pattern_analysis,perfect_persistence,False,,Quarry Guild Records,experimental_record,False,0.89,Substrate change case involving collective with gradual_replacement process.,
SC-0045,Trapper's Rest Change,phenomenon,EN-567,wood,dens-touched matter,28.9,gradual_replacement,704,880,26.1,relational dynamics,0.561,composite,collective_memory,scavenger_testimony,drift,False,,T. Vells,direct_observation,False,0.71,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0046,Eastern Ridge Replacement,structure,,stable matter,stable matter,47.7,regeneration,259,927,125.7,functional form,0.311,morphological,spatial_memory,direct_observation,drift,True,0.64,M. Tall,collective_testimony,False,0.57,Substrate change case involving structure with regeneration process.,
SC-0047,Third Mill Replacement,structure,,collective minds,dens-touched matter,18.7,dens_dissolution,220,904,30.0,functional form,0.605,identity,multiple_sources,experimental_inference,ghost_formation,True,0.33,R. Voss,pattern_analysis,False,0.56,Substrate change case involving structure with dens_dissolution process.,
SC-0048,Third Mill Change,phenomenon,,clay,wood,0.7,catastrophic_loss,19,892,189.1,relational dynamics,0.756,relational,spatial_memory,direct_observation,partial_persistence,False,,Archive Survey Team,collective_testimony,False,0.76,Substrate change case involving phenomenon with catastrophic_loss process.,
SC-0049,Third Mill Transformation,collective,,stable matter,clay,0.2,gradual_replacement,896,898,173.1,collective memory,0.592,behavioral,unknown,theoretical_deduction,drift,False,,Archive Survey Team,experimental_record,False,0.78,Substrate change case involving collective with gradual_replacement process.,
SC-0050,Deep Tunnels Transformation,pattern,,stone,living tissue,15.4,collective_transition,306,891,88.7,relational dynamics,0.62,behavioral,collective_memory,pattern_analysis,ghost_formation,True,0.26,Independent Observer,pattern_analysis,False,0.73,Substrate change case involving pattern with collective_transition process.,
SC-0051,Mill Creek Replacement,structure,EN-966,collective minds,stone,0.0,transfer,48,931,94.2,operational patterns,0.802,identity,substrate_imprint,direct_observation,partial_persistence,True,0.67,Quarry Guild Records,direct_observation,False,0.62,Substrate change case involving structure with transfer process.,
SC-0052,The Restored Deep_Crawler,creature,,stable matter,stable matter,41.1,regeneration,65,894,188.1,hunting instincts,0.37,composite,form_library,no_evidence,drift,True,0.82,R. Voss,historical_reconstruction,False,0.79,Substrate change case involving creature with regeneration process.,
SC-0053,The Restored Maw_Beast,creature,,stone,stone,7.0,gradual_replacement,497,914,108.0,behavioral patterns,0.148,relational,unknown,no_evidence,pattern_loss,False,,T. Vells,collective_testimony,False,0.79,Substrate change case involving creature with gradual_replacement process.,
SC-0054,Northern Quarry Transition,phenomenon,EN-760,collective minds,iron,4.4,catastrophic_loss,28,902,190.2,relational dynamics,0.04,morphological,spatial_memory,theoretical_deduction,pattern_loss,False,,Archive Survey Team,direct_observation,False,0.93,Substrate change case involving phenomenon with catastrophic_loss process.,
SC-0055,Old Survey Camp Transition,phenomenon,,living tissue,collective minds,7.3,gradual_replacement,310,894,26.1,identity patterns,0.649,memorial,collective_memory,pattern_analysis,ghost_formation,True,0.59,S. Moll,historical_reconstruction,False,0.89,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0056,Deep Tunnels Transition,place,,living tissue,wood,0.7,experimental,131,913,158.2,collective memory,0.63,morphological,multiple_sources,direct_observation,partial_persistence,True,0.24,R. Voss,collective_testimony,True,0.85,Substrate change case involving place with experimental process.,
SC-0057,Western Boundary Transformation,collective,,living tissue,clay,4.6,catastrophic_loss,2,908,192.8,relational dynamics,0.839,morphological,form_library,theoretical_deduction,partial_persistence,False,,C. Vells,experimental_record,True,0.53,Substrate change case involving collective with catastrophic_loss process.,
SC-0058,Archive Basement Replacement,structure,EN-986,clay,dens-touched matter,5.1,catastrophic_loss,26,893,86.6,functional form,0.334,relational,spatial_memory,experimental_inference,drift,False,,Quarry Guild Records,historical_reconstruction,False,0.87,Substrate change case involving structure with catastrophic_loss process.,
SC-0059,Trapper's Rest Change,phenomenon,EN-862,clay,clay,18.7,regeneration,252,927,31.4,identity patterns,0.909,memorial,collective_memory,pattern_analysis,perfect_persistence,False,,S. Moll,pattern_analysis,True,0.93,Substrate change case involving phenomenon with regeneration process.,
SC-0060,Archive Basement Transformation,collective,EN-258,stable matter,stable matter,43.4,regeneration,157,922,144.5,collective memory,0.931,relational,collective_memory,direct_observation,perfect_persistence,False,,Independent Observer,pattern_analysis,True,0.67,Substrate change case involving collective with regeneration process.,
SC-0061,Boundary Marker Seven Rebuilding,structure,EN-773,living tissue,clay,0.3,catastrophic_loss,25,905,55.4,spatial relationships,0.676,morphological,collective_memory,no_evidence,ghost_formation,True,0.45,S. Moll,direct_observation,False,0.84,Substrate change case involving structure with catastrophic_loss process.,
SC-0062,Deep Tunnels Change,place,,clay,clay,36.1,regeneration,300,897,155.6,collective memory,0.534,relational,multiple_sources,scavenger_testimony,partial_persistence,True,0.31,R. Voss,pattern_analysis,False,0.7,Substrate change case involving place with regeneration process.,
SC-0063,Archive Basement Replacement,structure,EN-316,stone,clay,20.3,gradual_replacement,639,929,119.0,functional form,0.623,behavioral,substrate_imprint,theoretical_deduction,partial_persistence,True,0.89,Independent Observer,direct_observation,True,0.5,Substrate change case involving structure with gradual_replacement process.,
SC-0064,Boundary Marker Seven Transformation,pattern,EN-570,iron,iron,25.0,regeneration,191,884,166.8,identity patterns,0.94,memorial,unknown,scavenger_testimony,perfect_persistence,False,,C. Vells,collective_testimony,False,0.82,Substrate change case involving pattern with regeneration process.,
SC-0065,Archive Basement Transition,phenomenon,EN-447,dens-touched matter,collective minds,2.6,gradual_replacement,349,894,169.1,relational dynamics,0.736,memorial,collective_memory,direct_observation,partial_persistence,False,,K. Strand,direct_observation,False,0.74,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0066,Deep Tunnels Transition,place,,stone,dens-touched matter,7.3,dens_dissolution,318,911,40.3,identity patterns,0.804,relational,unknown,pattern_analysis,partial_persistence,False,,R. Voss,pattern_analysis,False,0.79,Substrate change case involving place with dens_dissolution process.,
SC-0067,Archive Basement Transition,collective,EN-572,dens-touched matter,dens-touched matter,3.4,regeneration,165,908,89.0,relational dynamics,0.237,morphological,form_library,theoretical_deduction,pattern_conflict,False,,Boundary Commission,direct_observation,False,0.79,Substrate change case involving collective with regeneration process.,
SC-0068,The Changed Deep_Crawler,creature,EN-930,living tissue,dens-touched matter,9.1,catastrophic_loss,7,901,114.8,behavioral patterns,0.742,composite,form_library,pattern_analysis,partial_persistence,False,,T. Vells,direct_observation,False,0.61,Substrate change case involving creature with catastrophic_loss process.,
SC-0069,Old Survey Camp Transition,phenomenon,,collective minds,collective minds,45.9,experimental,183,884,78.1,collective memory,0.739,memorial,form_library,pattern_analysis,partial_persistence,False,,Quarry Guild Records,historical_reconstruction,True,0.61,Substrate change case involving phenomenon with experimental process.,
SC-0070,Deep Tunnels Change,pattern,EN-672,stone,wood,45.8,experimental,345,904,62.7,collective memory,0.499,composite,substrate_imprint,experimental_inference,drift,True,0.7,K. Strand,direct_observation,True,0.79,Substrate change case involving pattern with experimental process.,
SC-0071,Northern Quarry Transition,phenomenon,EN-907,iron,iron,17.1,regeneration,108,886,153.5,identity patterns,1.0,identity,unknown,no_evidence,perfect_persistence,False,,K. Strand,direct_observation,False,0.8,Substrate change case involving phenomenon with regeneration process.,
SC-0072,Deep Tunnels Transition,collective,,wood,dens-touched matter,1.3,gradual_replacement,836,894,73.5,identity patterns,0.888,identity,collective_memory,theoretical_deduction,partial_persistence,False,,R. Voss,experimental_record,False,0.67,Substrate change case involving collective with gradual_replacement process.,
SC-0073,Northern Quarry Change,collective,EN-205,stable matter,wood,40.8,experimental,80,925,160.5,relational dynamics,0.521,identity,form_library,theoretical_deduction,partial_persistence,False,,M. Tall,experimental_record,True,0.62,Substrate change case involving collective with experimental process.,
SC-0074,Western Boundary Change,collective,EN-831,collective minds,living tissue,12.4,gradual_replacement,482,921,79.9,identity patterns,0.654,memorial,collective_memory,experimental_inference,partial_persistence,True,0.36,S. Moll,historical_reconstruction,False,0.91,Substrate change case involving collective with gradual_replacement process.,
SC-0075,Mill Creek Change,phenomenon,EN-894,living tissue,stone,1.0,collective_transition,86,898,43.9,collective memory,0.994,behavioral,substrate_imprint,direct_observation,perfect_persistence,False,,S. Moll,experimental_record,False,0.69,Substrate change case involving phenomenon with collective_transition process.,
SC-0076,Mill Creek Transformation,collective,EN-526,living tissue,regenerated tissue,31.6,regeneration,83,891,115.4,relational dynamics,0.943,composite,multiple_sources,direct_observation,perfect_persistence,False,,K. Strand,historical_reconstruction,False,0.53,Substrate change case involving collective with regeneration process.,
SC-0077,Boundary Marker Seven Transformation,collective,EN-850,living tissue,stable matter,8.7,catastrophic_loss,13,922,9.7,relational dynamics,0.476,composite,form_library,pattern_analysis,ghost_formation,True,0.21,Independent Observer,experimental_record,False,0.52,Substrate change case involving collective with catastrophic_loss process.,
SC-0078,Mill Creek Transformation,collective,EN-304,dens-touched matter,dens-touched matter,31.6,regeneration,42,882,162.5,collective memory,0.533,memorial,substrate_imprint,pattern_analysis,drift,False,,Quarry Guild Records,pattern_analysis,False,0.71,Substrate change case involving collective with regeneration process.,
SC-0079,The Restored Stakdur,creature,EN-291,collective minds,clay,6.2,collective_transition,214,911,74.2,hunting instincts,0.944,composite,spatial_memory,theoretical_deduction,perfect_persistence,False,,K. Strand,historical_reconstruction,False,0.86,Substrate change case involving creature with collective_transition process.,
SC-0080,Deep Tunnels Transformation,pattern,,clay,clay,16.1,regeneration,348,902,16.9,relational dynamics,0.623,relational,form_library,no_evidence,partial_persistence,False,,Independent Observer,pattern_analysis,False,0.95,Substrate change case involving pattern with regeneration process.,
SC-0081,Third Mill Reconstruction,structure,EN-168,stable matter,collective minds,5.1,catastrophic_loss,6,895,150.2,operational patterns,0.443,composite,substrate_imprint,theoretical_deduction,ghost_formation,True,0.63,Quarry Guild Records,pattern_analysis,False,0.51,Substrate change case involving structure with catastrophic_loss process.,
SC-0082,Archive Basement Change,place,,stone,wood,5.3,catastrophic_loss,21,911,80.2,relational dynamics,0.1,identity,spatial_memory,pattern_analysis,pattern_loss,False,,M. Tall,historical_reconstruction,True,0.85,Substrate change case involving place with catastrophic_loss process.,
SC-0083,Northern Quarry Transformation,pattern,,dens-touched matter,dens-touched matter,10.0,regeneration,47,931,28.0,relational dynamics,0.069,composite,substrate_imprint,no_evidence,pattern_conflict,False,,Independent Observer,direct_observation,False,0.75,Substrate change case involving pattern with regeneration process.,
SC-0084,Deep Tunnels Replacement,structure,EN-922,iron,dens-touched matter,6.1,dens_dissolution,81,915,41.0,operational patterns,0.637,behavioral,unknown,direct_observation,ghost_formation,True,0.22,M. Tall,historical_reconstruction,False,0.68,Substrate change case involving structure with dens_dissolution process.,
SC-0085,Trapper's Rest Transformation,pattern,,stone,wood,48.6,collective_transition,240,920,128.8,relational dynamics,0.772,identity,collective_memory,experimental_inference,partial_persistence,False,,Quarry Guild Records,pattern_analysis,False,0.91,Substrate change case involving pattern with collective_transition process.,
SC-0086,The Restored Digger,creature,EN-301,wood,collective minds,0.0,transfer,125,920,187.0,behavioral patterns,0.879,identity,substrate_imprint,experimental_inference,partial_persistence,False,,Boundary Commission,pattern_analysis,False,0.74,Substrate change case involving creature with transfer process.,
SC-0087,Old Survey Camp Transition,collective,EN-315,wood,collective minds,8.4,catastrophic_loss,27,929,113.2,identity patterns,0.324,identity,spatial_memory,pattern_analysis,drift,False,,S. Moll,collective_testimony,False,0.9,Substrate change case involving collective with catastrophic_loss process.,
SC-0088,Mill Creek Transition,collective,EN-247,stable matter,clay,13.6,gradual_replacement,261,900,138.0,relational dynamics,0.166,composite,substrate_imprint,no_evidence,pattern_conflict,False,,Independent Observer,collective_testimony,False,0.56,Substrate change case involving collective with gradual_replacement process.,
SC-0089,Western Boundary Replacement,structure,,stone,stone,13.4,regeneration,59,895,50.3,operational patterns,0.929,behavioral,substrate_imprint,pattern_analysis,perfect_persistence,False,,Independent Observer,experimental_record,False,0.84,Substrate change case involving structure with regeneration process.,
SC-0090,Northern Quarry Change,phenomenon,EN-963,living tissue,stone,47.3,experimental,133,921,101.6,identity patterns,0.733,composite,spatial_memory,theoretical_deduction,partial_persistence,True,0.4,K. Strand,direct_observation,True,0.88,Substrate change case involving phenomenon with experimental process.,
SC-0091,Archive Basement Change,phenomenon,EN-738,collective minds,living tissue,12.0,gradual_replacement,299,923,114.5,relational dynamics,0.721,identity,form_library,experimental_inference,partial_persistence,True,0.55,M. Tall,collective_testimony,False,0.67,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0092,Deep Tunnels Reconstruction,structure,,stable matter,living tissue,0.5,catastrophic_loss,11,900,28.3,spatial relationships,0.708,behavioral,spatial_memory,pattern_analysis,partial_persistence,True,0.83,Boundary Commission,pattern_analysis,True,0.65,Substrate change case involving structure with catastrophic_loss process.,
SC-0093,Northern Quarry Change,collective,,living tissue,regenerated tissue,18.4,regeneration,223,918,135.1,collective memory,0.392,relational,substrate_imprint,no_evidence,drift,False,,C. Vells,pattern_analysis,False,0.6,Substrate change case involving collective with regeneration process.,
SC-0094,The Changed Digger,creature,EN-308,iron,living tissue,5.7,catastrophic_loss,7,906,140.4,physical form,0.944,identity,unknown,scavenger_testimony,perfect_persistence,False,,S. Moll,experimental_record,False,0.73,Substrate change case involving creature with catastrophic_loss process.,
SC-0095,Boundary Marker Seven Change,collective,,collective minds,collective minds,47.8,regeneration,282,931,92.5,relational dynamics,0.464,composite,substrate_imprint,pattern_analysis,drift,False,,R. Voss,experimental_record,False,0.93,Substrate change case involving collective with regeneration process.,
SC-0096,Northern Quarry Replacement,structure,,iron,dens-touched matter,3.2,catastrophic_loss,30,904,70.4,functional form,0.927,relational,substrate_imprint,experimental_inference,perfect_persistence,False,,Boundary Commission,direct_observation,True,0.63,Substrate change case involving structure with catastrophic_loss process.,
SC-0097,Northern Quarry Transformation,pattern,,dens-touched matter,iron,6.1,gradual_replacement,675,895,108.2,collective memory,0.109,behavioral,form_library,no_evidence,pattern_loss,False,,K. Strand,experimental_record,True,0.79,Substrate change case involving pattern with gradual_replacement process.,
SC-0098,The Changed Cave_Bat,creature,,wood,living tissue,28.9,gradual_replacement,261,928,195.6,behavioral patterns,0.761,memorial,substrate_imprint,theoretical_deduction,partial_persistence,False,,S. Moll,direct_observation,False,0.79,Substrate change case involving creature with gradual_replacement process.,
SC-0099,Third Mill Transition,place,EN-138,stable matter,wood,9.3,catastrophic_loss,27,880,8.2,relational dynamics,0.536,memorial,unknown,pattern_analysis,drift,True,0.72,M. Tall,historical_reconstruction,False,0.63,Substrate change case involving place with catastrophic_loss process.,
SC-0100,Deep Tunnels Transformation,pattern,,dens-touched matter,clay,1.9,catastrophic_loss,6,916,23.4,collective memory,0.684,composite,collective_memory,experimental_inference,partial_persistence,True,0.33,C. Vells,collective_testimony,False,0.87,Substrate change case involving pattern with catastrophic_loss process.,
SC-0101,Eastern Ridge Transition,collective,EN-696,wood,wood,23.9,regeneration,13,926,187.2,relational dynamics,0.653,identity,form_library,theoretical_deduction,partial_persistence,False,,Independent Observer,experimental_record,False,0.53,Substrate change case involving collective with regeneration process.,
SC-0102,The Restored Cave_Bat,creature,,clay,clay,18.4,regeneration,78,906,44.9,behavioral patterns,0.915,composite,unknown,scavenger_testimony,perfect_persistence,False,,K. Strand,experimental_record,False,0.84,Substrate change case involving creature with regeneration process.,
SC-0103,Eastern Ridge Transformation,pattern,EN-974,dens-touched matter,collective minds,3.9,collective_transition,41,913,113.3,collective memory,0.671,relational,form_library,no_evidence,ghost_formation,True,0.34,Archive Survey Team,pattern_analysis,False,0.72,Substrate change case involving pattern with collective_transition process.,
SC-0104,Deep Tunnels Transformation,collective,,stable matter,stable matter,22.8,regeneration,354,917,12.5,relational dynamics,0.517,morphological,form_library,scavenger_testimony,drift,False,,Independent Observer,direct_observation,False,0.74,Substrate change case involving collective with regeneration process.,
