org_id,name,aliases,org_type,world,location,description,leaders,members_notable,products_services,associated_events,related_orgs,first_appearance,status,notes
W2O-011,CrossPatch,,digital_platform,W2,online,GitHub-style repository for witnessing and testimonials.,"CrossPatchPastorJosh (originator)","CrossPatchLittlePorn","testimonials,memorizing,addiction_fixes","","church_directory",ore-fragments/northo/,active,"Has forks like LittlePornLiteralisms."
W2O-012,The Navigators,,missionary,W2,national,Dawson Trotman's missionary organization.,"Dawson Trotman (founder)","",discipleship,"","evangelical_network",northo ore.txt,active,"'Daws' Trotman. Evangelical discipleship."
W2O-013,SPA,Speculative Poetry Association,literary,W2,national,Poetry organization. Target of sci-fi poetry wars.,"Tigra Margolis (First President)","",poetry_publishing,"sci-fi poetry wars","USASFP",capital ore.txt,active,"Literary organization."
W2O-014,USASFP,United States Association of Science Fiction Poetry,literary,W2,national,Science fiction poetry organization.,"","",poetry_publishing,"","SPA",ore-fragments/northo/,active,"Sci-fi poetry community."
W2O-015,Haunted Alton Tours,,tourism,W2,Alton IL,Haunted house venture with ghost tours.,"","Kera Quine,Claire Simmons",ghost_tours,"McPike Mansion tours","",ore-fragments/yeller-quarry/,active,"Tours of haunted locations."
W2O-016,Standard Hive,,music,W2,Alton area,Jazzy band plays at coffeehouse on Saturdays.,"","",jazz_performances,"Saturday_coffeehouse","Common Grounds",yeller quarry ore.txt,active,"Local jazz band."
W2O-017,The Core Researchers,,research,W2,unknown,Addiction research team.,"","Holst,Markson,Nenadic,Gustafson",addiction_research,"","",dead river ore.txt,active,"Research team studying addiction."
W2O-018,Bezda,,gaming,W2,unknown,Massive game studio.,"","",game_development,"","",dead river ore.txt,active,"Major game developer."
W2O-019,The Fountain Group,,social,W2,Old Soldier Fountain,Jackson's friend circle.,"","Jackson,Aubree,Simon,Soji",social_gathering,"","The Kitchum Circle",bioinformatics-seeds/simulated-citizens/,active,"Jackson's core friends at the fountain."
W2O-020,Town of Mysteries,,puzzle_community,W2,unknown,Puzzle-solving community.,"","",puzzle_solving,"","",capeast ore.txt,active,"Puzzle enthusiasts."
W2O-021,Klutch Community College,,educational,W1/W2,unknown,Site of Student Success Modeling Initiative.,"","Tennev Crost,Jackson",education,"Student Success Modeling,Jackson model break","Capital Educational Institute",bioinformatics-seeds/simulated-citizens/,active,"Where Jackson broke the prediction model."
W2O-022,Capital Educational Institute,,research_funding,W1/W2,unknown,Funded the Student Success Modeling Initiative.,"","",research_funding,"Student Success Modeling","Klutch CC",bioinformatics-seeds/simulated-citizens/,active,"Institutional funder."
W2O-023,Illini Football,,sports,W2,Champaign IL,University of Illinois team.,"","",football,"","",north town ore.txt,active,"Big Ten football."
W2O-024,Wisconsin Badgers,,sports,W2,Madison WI,University of Wisconsin team.,"","",football,"","",north town ore.txt,active,"Big Ten rival."
W2O-025,Green Bay Packers,,sports,W2,Green Bay WI,NFL team.,"","Ray Nitschke (historical)",football,"","",north town ore.txt,active,"Legendary linebacker referenced."
W2O-026,St. Louis Cardinals,,sports,W2,St. Louis MO,Baseball team with farm system.,"","",baseball,"","",tower of mirado ore 2.txt,active,"MLB team."
W2O-027,African Students Organization,,campus,W2,Iowa City IA,Student group at Iowa.,"","",international_student_support,"","",northo ore 2.txt,active,"Campus international ministry."
W2O-028,Youth Group (Pastor Greg),,youth_ministry,W2,Emanuel Evangelical,Youth ministry at Emanuel Evangelical.,"Pastor Greg","",youth_programming,"","Emanuel Evangelical",northo ore 2.txt,active,"Teen ministry program."
W2O-029,Morning Prayer Group,,pastoral,W2,Alton area,Pastors who pray together.,"various pastors","",pastoral_fellowship,"","",northo ore 2.txt,active,"Ecumenical prayer."
W2O-030,Small Group (Larry's),,house_church,W2,Larry's home,Wednesday night prayer group.,"Larry (host)","",home_fellowship,"","",north town ore.txt,active,"Weekly home gathering."
