event_id,event_name,world,event_type,year_start,year_end,location,key_participants,outcome,casualties,related_expeditions,related_manuscripts,significance,notes
EVT-011,Northern Route Mapping,W1,expedition,863,863,The North,Senna Grell,successful,1,EXP-006,"MS-0057,MS-0058",cartographic,"Mapped routes from Capital to northern villages."
EVT-012,Capital Survey to Yeller Quarry,W1,expedition,869,869,Yeller Quarry,"Grigsu Haldo,Yasho Krent,Vagabu Olt",partial_success,2,EXP-007,"MS-0034,MS-0091","transformative,scholarly","The expedition that changed Grigsu. Violence occurred."
EVT-013,The Incident,W1,personal,unknown,unknown,Yeller Quarry area,"Grigsu Haldo,Yeller",traumatic,unknown,EXP-007,grigsu-notebooks/007,personal,"Traumatic encounter between Grigsu and Yeller."
EVT-014,Dead River Cartographic Survey,W1,expedition,892,892,Dead River,Vagabu Olt,successful,0,EXP-012,"MS-0056,MS-0091",cartographic,"Confirmed Dead River exists because maps named it."
EVT-015,The Boss's Expedition,W1,expedition,881,881,Yeller Quarry,"The Boss,Truck,Gull,Black Yeller",disaster,23,EXP-013,MS-0052,"disaster,massacre","All hands lost including fivefold Yeller. Boss beheaded."
EVT-016,Expedition A-3 Failure,W1,expedition,916,916,Sector DE-7,Unknown,failed,unknown,None,None,expedition,"Failed expedition to boundary region. Algorithmic Initiative."
EVT-017,Year 916-924 Assessments,W1,scholarly,916,924,Densmok,Twenty-Ten Technical Assessment Group,completed,0,None,None,scholarly,"Period when Twenty-Ten skeptics assessed scholarly claims."
EVT-018,Year of the Seventh Survey,W1,protocol,unknown,unknown,Dens region,Cartographer's Guild,completed,0,None,None,institutional,"Guild revised protocols for Dens mapping."
EVT-019,Year 950 Prediction,W1,prediction,950,950,Western Dens,Vornis Keth (predictor),pending,0,None,spatial-philosophy/,prediction,"Keth predicted Western Dens accelerating instability."
EVT-020,Year 1000 Prediction,W1,prediction,1000,1000,Capital,Vornis Keth (predictor),pending,0,None,spatial-philosophy/,prediction,"Keth predicted Capital may become unstable."
EVT-021,Student Success Modeling Initiative,W1/W2,research,unknown,unknown,Klutch CC,"Tennev Crost,Jackson",model_broken,0,None,None,"research,anomaly","Jackson broke prediction model. 'Cannot model freedom.'"
EVT-022,Jackson's Disappearance,W2,personal,unknown,unknown,Old Soldier Fountain,Jackson,disappeared,0,None,None,mystery,"Student legend vanishes from fountain gathering place."
EVT-023,Kitchum's Freezing Episodes,W2,phenomenon,unknown,unknown,Densmok CC,Miss Kitchum,recurring,0,None,None,mysterious,"Teacher stops mid-sentence. Recurring phenomenon."
EVT-024,Quonxy's Bible Discovery,W2,personal,1997,1997,Library,Quonxy,transformative,0,None,None,pivotal,"May 6 1997. Discovered Bible annotated with logical symbols."
EVT-025,Tess Kills Greg,W2,violence,unknown,unknown,River's Edge ravine,"Tess,Greg",self_defense_death,1,None,None,narrative,"Self-defense after assault attempt."
EVT-026,Tess's Death,W2,death,unknown,unknown,River's Edge ravine,"Tess,wolf creature",killed,1,None,None,supernatural,"Tess killed by wolf creature with red eyes."
EVT-027,Jena's Revenge,W2,violence,unknown,unknown,Quicktrip station,"Jena,Snipe,Kera",killed_attackers,2,None,None,narrative,"Jena kills serial killer Snipe and partner Kera."
EVT-028,Alea's Self-Blinding,W2,personal,unknown,unknown,Unknown,Alea Hatford,completed,0,None,None,extreme,"Woman removes own eyes for superhuman abilities."
EVT-029,Lausanne Congress,W2,historical,1974,1975,Lausanne/Mexico City,"John Stott,Billy Graham",covenant_established,0,None,None,real_historical,"Debate about evangelism vs. social action."
EVT-030,Krimschin College Speech,W2,event,unknown,unknown,Krimschin College,Dan Plate,completed,0,None,None,narrative,"Dan Plate's speech about faith and art."
EVT-031,Grigsu's Death,W1,death,891,891,Yeller Quarry area,Grigsu Haldo,died,1,EXP-007,grigsu-notebooks/013,personal,"Final days marked by growling and cursing at neighbors."
EVT-032,The Breach Debate,W1,scholarly,unknown,unknown,Capital,"Vornis Keth,Archon Prebel",inconclusive,0,None,spatial-philosophy/004,scholarly,"Debate about continuous vs discrete state transitions."
EVT-033,Dens Border Investigation,W1,military,866,866,Dens Border,Captain Vrell,confirmed_encroachment,3,EXP-017,MS-0064,military,"Confirmed densmuck advanced several hundred yards."
EVT-034,Ria's Disappearance,W1/W2,personal,unknown,unknown,Yeller Quarry,"Ria,Moss",missing,unknown,None,None,narrative,"Missing teenage daughter. Father Moss searches."
EVT-035,Moss Beats Dozer,W1/W2,confrontation,unknown,unknown,Yeller Quarry,"Moss,Dozer,Bitsy",victory,0,None,None,narrative,"Moss defeats the predator Dozer while searching for Ria."
