violation_id,boundary_id,violation_year,violation_type,severity,entity_a_id,entity_b_id,violator,proximate_cause,underlying_cause,outcome,recovery_time_days,related_violations,documented_by,documentation_source,confidence,description,lessons_learned,notes
BV-0015,EB-0078,928,erosion,0.87,MS-0031,MS-0058,entity_a,unknown,Long-term tension accumulation,boundary_permanent_loss,,,K. Strand,classification_records,0.71,Slow erosion eventually led to failure.,Classification can destabilize boundaries.,
BV-0016,EB-0188,929,erosion,0.56,MS-0034,MS-0022,mutual,external_force,Unknown,boundary_relocated,2984,,Western Archive Team,aftermath_analysis,0.76,Boundary eroded beyond functional threshold.,Boundaries require continuous maintenance.,
BV-0017,EB-0279,927,dissolution,0.44,MS-0016,MS-0058,unclear,tension_overload,Classification intervention,boundary_relocated,29,,Boundary Commission,classification_records,0.75,Dissolution event: boundary ceased to exist.,Recovery is possible but rarely complete.,
BV-0018,EB-0312,1835,fusion,0.85,MS-0008,MS-0050,unclear,classification_error,Sympathetic relationship strained,cascade_effect,36,BV-0003,Archive Survey Team,trajectory_records,0.93,Entities merged through dissolving boundary.,Boundaries require continuous maintenance.,
BV-0019,EB-0303,914,breach,0.56,MS-0043,MS-0009,unclear,strength_decay,Sympathetic relationship strained,contained,661,,Archive Survey Team,entity_testimony,0.82,Entity crossed boundary without negotiation.,Classification can destabilize boundaries.,
BV-0020,EB-0121,1842,inversion,0.49,MS-0063,MS-0018,entity_a,unknown,Classification intervention,boundary_relocated,7,,K. Strand,classification_records,0.89,Boundary reversed: inside became outside.,Some boundaries are fundamentally unstable.,
BV-0021,EB-0311,912,erosion,0.81,MS-0076,MS-0066,unclear,internal_conflict,Antipathetic force weakened,contained,4,,K. Strand,direct_observation,0.64,Slow erosion eventually led to failure.,Tension must be monitored continuously.,
BV-0022,EB-0139,1837,collapse,0.3,MS-0008,MS-0057,external,dens_proximity,Constellation shift,boundary_relocated,3203,,Western Archive Team,classification_records,0.62,Collapse occurred without warning.,Recovery is possible but rarely complete.,
BV-0023,EB-0072,1850,erosion,0.54,MS-0072,MS-0087,mutual,strength_decay,Sympathetic relationship strained,contained,378,,Archive Survey Team,trajectory_records,0.73,Boundary eroded beyond functional threshold.,Some boundaries are fundamentally unstable.,
BV-0024,EB-0163,913,erosion,0.62,MS-0030,MS-0058,unclear,tension_overload,Antipathetic force weakened,boundary_relocated,328,,P. Tross,entity_testimony,0.79,Slow erosion eventually led to failure.,Tension must be monitored continuously.,
BV-0025,EB-0323,918,collapse,0.47,MS-0016,MS-0065,mutual,tension_overload,Environmental change,cascade_effect,280,BV-0022,Boundary Commission,trajectory_records,0.76,Sudden catastrophic boundary failure.,Boundaries require continuous maintenance.,
BV-0026,EB-0297,1843,erosion,0.53,MS-0071,MS-0041,entity_a,classification_error,Long-term tension accumulation,entities_scattered,,,Boundary Commission,aftermath_analysis,0.77,Boundary eroded beyond functional threshold.,Recovery is possible but rarely complete.,
BV-0027,EB-0076,1832,fragmentation,0.33,MS-0035,MS-0020,external,strength_decay,Classification intervention,cascade_effect,661,BV-0023,Western Archive Team,trajectory_records,0.93,Fragmentation created multiple new separations.,Some boundaries are fundamentally unstable.,
BV-0028,EB-0314,928,dissolution,0.31,MS-0062,MS-0005,mutual,internal_conflict,Unknown,boundary_permanent_loss,,,Boundary Commission,classification_records,0.88,Dissolution event: boundary ceased to exist.,Boundaries require continuous maintenance.,
BV-0029,EB-0132,914,erosion,0.44,MS-0075,MS-0018,unclear,classification_error,Long-term tension accumulation,entities_scattered,,,P. Tross,trajectory_records,0.78,Boundary eroded beyond functional threshold.,Prevention requires understanding underlying causes.,
BV-0030,EB-0215,921,dissolution,0.22,MS-0016,MS-0010,external,unknown,Constellation shift,boundary_permanent_loss,,,Archive Survey Team,aftermath_analysis,0.54,Boundary dissolved completely after tension overload.,Some boundaries are fundamentally unstable.,
BV-0031,EB-0012,920,collapse,0.92,MS-0048,MS-0064,mutual,classification_error,Long-term tension accumulation,boundary_relocated,29,,Boundary Commission,entity_testimony,0.75,Rapid collapse destroyed boundary structure.,Classification can destabilize boundaries.,
BV-0032,EB-0076,1834,inversion,0.37,MS-0017,MS-0035,entity_b,strength_decay,Environmental change,entities_scattered,,,P. Tross,direct_observation,0.74,Boundary reversed: inside became outside.,Prevention requires understanding underlying causes.,
BV-0033,EB-0179,923,dissolution,0.52,MS-0081,MS-0082,unclear,dens_proximity,Unknown,entities_merged,,,K. Strand,direct_observation,0.59,Complete boundary failure observed.,Cascade effects are more common than isolated violations.,
BV-0034,EB-0315,914,erosion,0.24,MS-0095,MS-0081,external,unknown,Sympathetic relationship strained,cascade_effect,28,BV-0022,K. Strand,aftermath_analysis,0.51,Slow erosion eventually led to failure.,Some boundaries are fundamentally unstable.,
BV-0035,EB-0302,925,dissolution,0.81,MS-0086,MS-0006,unclear,unknown,Classification intervention,boundary_rebuilt,649,,Western Archive Team,classification_records,0.83,Dissolution event: boundary ceased to exist.,Some boundaries are fundamentally unstable.,
BV-0036,EB-0133,920,inversion,0.72,MS-0089,MS-0093,unclear,external_force,Unknown,cascade_effect,19,BV-0021,Archive Survey Team,classification_records,0.95,Boundary reversed: inside became outside.,Boundaries require continuous maintenance.,
BV-0037,EB-0176,1830,erosion,0.66,MS-0054,MS-0066,entity_a,dens_proximity,Constellation shift,cascade_effect,3073,BV-0019,T. Vells,direct_observation,0.65,Boundary eroded beyond functional threshold.,Prevention requires understanding underlying causes.,
BV-0038,EB-0245,1840,fusion,0.35,MS-0089,MS-0075,entity_b,unknown,Antipathetic force weakened,boundary_permanent_loss,,,Archive Survey Team,entity_testimony,0.51,Boundary failure led to entity fusion.,Classification can destabilize boundaries.,
BV-0039,EB-0200,915,breach,0.69,MS-0038,MS-0072,external,internal_conflict,Classification intervention,cascade_effect,1234,BV-0003,Western Archive Team,trajectory_records,0.53,Entity crossed boundary without negotiation.,Tension must be monitored continuously.,
BV-0040,EB-0281,917,collapse,0.48,MS-0090,MS-0020,entity_b,strength_decay,Sympathetic relationship strained,boundary_relocated,270,,Boundary Commission,aftermath_analysis,0.52,Sudden catastrophic boundary failure.,Boundaries require continuous maintenance.,
BV-0041,EB-0289,929,breach,0.38,MS-0082,MS-0088,entity_b,tension_overload,Classification intervention,boundary_permanent_loss,,,T. Vells,aftermath_analysis,0.6,Entity crossed boundary without negotiation.,Some boundaries are fundamentally unstable.,
BV-0042,EB-0111,927,breach,0.49,MS-0095,MS-0063,unclear,external_force,Unknown,contained,46,,P. Tross,classification_records,0.77,Unauthorized boundary crossing documented.,Cascade effects are more common than isolated violations.,
BV-0043,EB-0109,1849,breach,0.3,MS-0066,MS-0041,external,strength_decay,Classification intervention,boundary_permanent_loss,,,P. Tross,direct_observation,0.62,Entity crossed boundary without negotiation.,Prevention requires understanding underlying causes.,
BV-0044,EB-0004,914,dissolution,0.62,MS-0052,MS-0079,entity_b,internal_conflict,Sympathetic relationship strained,boundary_relocated,170,,P. Tross,entity_testimony,0.78,Boundary dissolved completely after tension overload.,Recovery is possible but rarely complete.,
BV-0045,EB-0338,913,dissolution,0.63,MS-0051,MS-0028,entity_b,strength_decay,Antipathetic force weakened,entities_scattered,,,K. Strand,trajectory_records,0.79,Boundary dissolved completely after tension overload.,Boundaries require continuous maintenance.,
BV-0046,EB-0203,917,erosion,0.85,MS-0060,MS-0090,entity_a,internal_conflict,Sympathetic relationship strained,entities_merged,,,Boundary Commission,aftermath_analysis,0.79,Boundary eroded beyond functional threshold.,Cascade effects are more common than isolated violations.,
BV-0047,EB-0264,913,collapse,0.61,MS-0013,MS-0049,entity_b,classification_error,Classification intervention,contained,1187,,Boundary Commission,direct_observation,0.57,Collapse occurred without warning.,Boundaries require continuous maintenance.,
BV-0048,EB-0117,927,collapse,0.61,MS-0073,MS-0074,unclear,external_force,Environmental change,entities_merged,,,Western Archive Team,classification_records,0.51,Rapid collapse destroyed boundary structure.,Tension must be monitored continuously.,
BV-0049,EB-0298,915,fragmentation,0.33,MS-0088,MS-0013,external,classification_error,Antipathetic force weakened,boundary_rebuilt,164,,K. Strand,aftermath_analysis,0.82,Single boundary fragmented into many.,Recovery is possible but rarely complete.,
BV-0050,EB-0003,923,dissolution,0.6,MS-0024,MS-0100,entity_b,external_force,Sympathetic relationship strained,contained,617,,K. Strand,entity_testimony,0.71,Boundary dissolved completely after tension overload.,Boundaries require continuous maintenance.,
BV-0051,EB-0237,1837,inversion,0.61,MS-0020,MS-0038,mutual,external_force,Unknown,entities_scattered,,,Archive Survey Team,trajectory_records,0.61,Boundary reversed: inside became outside.,Prevention requires understanding underlying causes.,
BV-0052,EB-0076,914,dissolution,0.26,MS-0079,MS-0008,mutual,internal_conflict,Antipathetic force weakened,boundary_rebuilt,1,,P. Tross,aftermath_analysis,0.72,Complete boundary failure observed.,Prevention requires understanding underlying causes.,
BV-0053,EB-0340,929,fusion,0.56,MS-0005,MS-0003,external,classification_error,Environmental change,boundary_permanent_loss,,,P. Tross,entity_testimony,0.85,Boundary failure led to entity fusion.,Boundaries require continuous maintenance.,
BV-0054,EB-0217,915,dissolution,0.77,MS-0057,MS-0041,unclear,dens_proximity,Environmental change,boundary_rebuilt,596,,P. Tross,direct_observation,0.74,Dissolution event: boundary ceased to exist.,Classification can destabilize boundaries.,
BV-0055,EB-0103,1831,dissolution,0.44,MS-0078,MS-0060,entity_b,tension_overload,Sympathetic relationship strained,cascade_effect,89,BV-0038,P. Tross,classification_records,0.9,Boundary dissolved completely after tension overload.,Cascade effects are more common than isolated violations.,
BV-0056,EB-0337,1838,breach,0.6,MS-0002,MS-0006,unclear,classification_error,Unknown,cascade_effect,18,BV-0021,P. Tross,trajectory_records,0.61,Entity crossed boundary without negotiation.,Tension must be monitored continuously.,
BV-0057,EB-0217,930,dissolution,0.36,MS-0079,MS-0045,entity_b,classification_error,Environmental change,boundary_relocated,621,,P. Tross,classification_records,0.87,Dissolution event: boundary ceased to exist.,Some boundaries are fundamentally unstable.,
BV-0058,EB-0181,923,dissolution,0.47,MS-0095,MS-0066,unclear,classification_error,Long-term tension accumulation,boundary_rebuilt,98,,K. Strand,direct_observation,0.53,Complete boundary failure observed.,Boundaries require continuous maintenance.,
BV-0059,EB-0119,922,breach,0.66,MS-0069,MS-0054,external,unknown,Unknown,entities_scattered,,,T. Vells,classification_records,0.61,Unauthorized boundary crossing documented.,Recovery is possible but rarely complete.,
BV-0060,EB-0081,921,erosion,0.91,MS-0072,MS-0086,mutual,dens_proximity,Unknown,contained,81,,Archive Survey Team,classification_records,0.68,Gradual boundary weakening over time.,Cascade effects are more common than isolated violations.,
BV-0061,EB-0200,915,erosion,0.78,MS-0097,MS-0032,entity_b,classification_error,Classification intervention,entities_merged,,,T. Vells,aftermath_analysis,0.58,Gradual boundary weakening over time.,Recovery is possible but rarely complete.,
BV-0062,EB-0055,921,inversion,0.79,MS-0054,MS-0025,unclear,unknown,Sympathetic relationship strained,entities_scattered,,,T. Vells,aftermath_analysis,0.68,Boundary reversed: inside became outside.,Recovery is possible but rarely complete.,
BV-0063,EB-0009,921,collapse,0.83,MS-0046,MS-0054,entity_b,strength_decay,Classification intervention,boundary_permanent_loss,,,Archive Survey Team,classification_records,0.93,Collapse occurred without warning.,Recovery is possible but rarely complete.,
BV-0064,EB-0031,1847,inversion,0.24,MS-0018,MS-0021,external,external_force,Constellation shift,boundary_rebuilt,855,,Boundary Commission,direct_observation,0.63,Inversion event documented.,Boundaries require continuous maintenance.,
BV-0065,EB-0059,920,dissolution,0.82,MS-0064,MS-0004,unclear,external_force,Classification intervention,contained,1955,,Archive Survey Team,classification_records,0.5,Complete boundary failure observed.,Some boundaries are fundamentally unstable.,
BV-0066,EB-0275,912,breach,0.31,MS-0062,MS-0097,entity_b,strength_decay,Unknown,boundary_relocated,623,,K. Strand,trajectory_records,0.64,Entity crossed boundary without negotiation.,Boundaries require continuous maintenance.,
BV-0067,EB-0105,1851,erosion,0.84,MS-0020,MS-0042,entity_a,strength_decay,Constellation shift,entities_scattered,,,Western Archive Team,direct_observation,0.6,Slow erosion eventually led to failure.,Tension must be monitored continuously.,
BV-0068,EB-0196,914,dissolution,0.75,MS-0094,MS-0068,entity_a,unknown,Classification intervention,boundary_rebuilt,116,,P. Tross,entity_testimony,0.63,Boundary dissolved completely after tension overload.,Tension must be monitored continuously.,
BV-0069,EB-0324,917,breach,0.74,MS-0083,MS-0039,external,internal_conflict,Antipathetic force weakened,contained,3380,,Western Archive Team,direct_observation,0.75,Breach event: boundary penetrated.,Tension must be monitored continuously.,
BV-0070,EB-0061,1840,breach,0.86,MS-0050,MS-0080,entity_a,unknown,Sympathetic relationship strained,boundary_relocated,3275,,Boundary Commission,entity_testimony,0.6,Entity crossed boundary without negotiation.,Some boundaries are fundamentally unstable.,
BV-0071,EB-0070,1834,dissolution,0.77,MS-0099,MS-0099,mutual,unknown,Antipathetic force weakened,contained,472,,T. Vells,direct_observation,0.8,Boundary dissolved completely after tension overload.,Classification can destabilize boundaries.,
BV-0072,EB-0267,919,collapse,0.73,MS-0070,MS-0083,entity_b,internal_conflict,Long-term tension accumulation,entities_scattered,,,T. Vells,aftermath_analysis,0.62,Sudden catastrophic boundary failure.,Recovery is possible but rarely complete.,
BV-0073,EB-0298,921,dissolution,0.92,MS-0093,MS-0041,external,classification_error,Unknown,boundary_relocated,136,,T. Vells,classification_records,0.51,Complete boundary failure observed.,Cascade effects are more common than isolated violations.,
BV-0074,EB-0112,920,collapse,0.88,MS-0091,MS-0066,mutual,external_force,Classification intervention,contained,606,,Western Archive Team,aftermath_analysis,0.55,Sudden catastrophic boundary failure.,Recovery is possible but rarely complete.,
BV-0075,EB-0134,1850,dissolution,0.6,MS-0082,MS-0066,entity_a,internal_conflict,Long-term tension accumulation,boundary_relocated,20,,Boundary Commission,direct_observation,0.56,Complete boundary failure observed.,Cascade effects are more common than isolated violations.,
BV-0076,EB-0327,924,collapse,0.66,MS-0013,MS-0020,external,dens_proximity,Sympathetic relationship strained,boundary_rebuilt,1801,,Western Archive Team,classification_records,0.51,Collapse occurred without warning.,Prevention requires understanding underlying causes.,
BV-0077,EB-0323,1834,erosion,0.4,MS-0036,MS-0055,entity_b,internal_conflict,Environmental change,entities_scattered,,,P. Tross,direct_observation,0.87,Slow erosion eventually led to failure.,Classification can destabilize boundaries.,
BV-0078,EB-0057,921,dissolution,0.48,MS-0037,MS-0035,entity_b,tension_overload,Classification intervention,boundary_relocated,406,,T. Vells,classification_records,0.56,Complete boundary failure observed.,Cascade effects are more common than isolated violations.,
BV-0079,EB-0076,919,fragmentation,0.73,MS-0060,MS-0034,entity_b,unknown,Long-term tension accumulation,boundary_relocated,125,,K. Strand,trajectory_records,0.71,Fragmentation created multiple new separations.,Tension must be monitored continuously.,
BV-0080,EB-0182,922,dissolution,0.26,MS-0080,MS-0100,external,classification_error,Classification intervention,entities_scattered,,,T. Vells,classification_records,0.79,Dissolution event: boundary ceased to exist.,Prevention requires understanding underlying causes.,
BV-0081,EB-0032,912,inversion,0.27,MS-0068,MS-0059,unclear,dens_proximity,Antipathetic force weakened,boundary_rebuilt,599,,Archive Survey Team,entity_testimony,0.56,Boundary polarity reversed.,Classification can destabilize boundaries.,
BV-0082,EB-0047,927,fusion,0.94,MS-0039,MS-0016,entity_b,classification_error,Unknown,entities_merged,,,Archive Survey Team,aftermath_analysis,0.95,Entities merged through dissolving boundary.,Prevention requires understanding underlying causes.,
BV-0083,EB-0279,1842,fragmentation,0.58,MS-0061,MS-0073,unclear,classification_error,Unknown,boundary_rebuilt,127,,Archive Survey Team,aftermath_analysis,0.89,Single boundary fragmented into many.,Tension must be monitored continuously.,
BV-0084,EB-0258,914,inversion,0.32,MS-0005,MS-0002,entity_b,classification_error,Unknown,boundary_permanent_loss,,,Western Archive Team,aftermath_analysis,0.63,Boundary reversed: inside became outside.,Some boundaries are fundamentally unstable.,
BV-0085,EB-0225,1850,breach,0.64,MS-0025,MS-0031,unclear,external_force,Classification intervention,entities_merged,,,Western Archive Team,classification_records,0.52,Entity crossed boundary without negotiation.,Boundaries require continuous maintenance.,
BV-0086,EB-0336,912,dissolution,0.54,MS-0030,MS-0033,entity_a,strength_decay,Sympathetic relationship strained,entities_merged,,,Western Archive Team,entity_testimony,0.92,Complete boundary failure observed.,Recovery is possible but rarely complete.,
BV-0087,EB-0262,926,breach,0.34,MS-0028,MS-0030,mutual,tension_overload,Constellation shift,entities_scattered,,,P. Tross,aftermath_analysis,0.93,Entity crossed boundary without negotiation.,Recovery is possible but rarely complete.,
BV-0088,EB-0042,915,dissolution,0.71,MS-0090,MS-0080,mutual,internal_conflict,Sympathetic relationship strained,boundary_permanent_loss,,,T. Vells,trajectory_records,0.67,Boundary dissolved completely after tension overload.,Cascade effects are more common than isolated violations.,
BV-0089,EB-0339,929,erosion,0.44,MS-0068,MS-0046,unclear,external_force,Unknown,boundary_rebuilt,1817,,K. Strand,classification_records,0.64,Slow erosion eventually led to failure.,Boundaries require continuous maintenance.,
BV-0090,EB-0049,1833,breach,0.93,MS-0099,MS-0081,mutual,classification_error,Long-term tension accumulation,entities_merged,,,K. Strand,classification_records,0.84,Breach event: boundary penetrated.,Classification can destabilize boundaries.,
BV-0091,EB-0282,930,breach,0.32,MS-0038,MS-0049,mutual,internal_conflict,Unknown,entities_scattered,,,Boundary Commission,trajectory_records,0.77,Entity crossed boundary without negotiation.,Recovery is possible but rarely complete.,
BV-0092,EB-0098,1837,breach,0.56,MS-0057,MS-0001,external,classification_error,Sympathetic relationship strained,boundary_permanent_loss,,,Archive Survey Team,entity_testimony,0.53,Unauthorized boundary crossing documented.,Boundaries require continuous maintenance.,
BV-0093,EB-0136,915,erosion,0.67,MS-0031,MS-0056,entity_a,internal_conflict,Constellation shift,boundary_relocated,12,,Western Archive Team,trajectory_records,0.57,Gradual boundary weakening over time.,Recovery is possible but rarely complete.,
BV-0094,EB-0165,923,dissolution,0.48,MS-0040,MS-0054,entity_b,strength_decay,Unknown,contained,2933,,Boundary Commission,classification_records,0.8,Boundary dissolved completely after tension overload.,Boundaries require continuous maintenance.,
BV-0095,EB-0254,920,breach,0.64,MS-0041,MS-0048,mutual,tension_overload,Environmental change,contained,500,,Archive Survey Team,classification_records,0.8,Entity crossed boundary without negotiation.,Cascade effects are more common than isolated violations.,
BV-0096,EB-0218,929,fragmentation,0.48,MS-0004,MS-0002,unclear,classification_error,Environmental change,entities_merged,,,P. Tross,direct_observation,0.83,Single boundary fragmented into many.,Cascade effects are more common than isolated violations.,
BV-0097,EB-0325,921,dissolution,0.91,MS-0043,MS-0091,unclear,tension_overload,Antipathetic force weakened,contained,107,,Archive Survey Team,direct_observation,0.87,Boundary dissolved completely after tension overload.,Recovery is possible but rarely complete.,
BV-0098,EB-0025,921,dissolution,0.94,MS-0100,MS-0050,external,classification_error,Classification intervention,boundary_rebuilt,1593,,T. Vells,entity_testimony,0.7,Boundary dissolved completely after tension overload.,Prevention requires understanding underlying causes.,
BV-0099,EB-0120,1836,inversion,0.32,MS-0023,MS-0019,entity_a,unknown,Long-term tension accumulation,entities_scattered,,,T. Vells,classification_records,0.87,Inversion event documented.,Some boundaries are fundamentally unstable.,
BV-0100,EB-0143,928,erosion,0.31,MS-0051,MS-0045,entity_a,dens_proximity,Constellation shift,boundary_rebuilt,1477,,P. Tross,entity_testimony,0.51,Gradual boundary weakening over time.,Tension must be monitored continuously.,
BV-0101,EB-0134,919,erosion,0.5,MS-0047,MS-0053,unclear,internal_conflict,Sympathetic relationship strained,boundary_permanent_loss,,,K. Strand,trajectory_records,0.74,Gradual boundary weakening over time.,Tension must be monitored continuously.,
BV-0102,EB-0130,924,inversion,0.37,MS-0070,MS-0097,mutual,unknown,Antipathetic force weakened,cascade_effect,123,BV-0095,Western Archive Team,trajectory_records,0.87,Inversion event documented.,Boundaries require continuous maintenance.,
BV-0103,EB-0065,927,dissolution,0.4,MS-0031,MS-0028,external,dens_proximity,Environmental change,cascade_effect,9,BV-0046,P. Tross,direct_observation,0.54,Dissolution event: boundary ceased to exist.,Tension must be monitored continuously.,
BV-0104,EB-0185,929,fusion,0.21,MS-0083,MS-0011,entity_a,unknown,Constellation shift,boundary_permanent_loss,,,K. Strand,direct_observation,0.82,Fusion event eliminated separation.,Boundaries require continuous maintenance.,
BV-0105,EB-0156,921,fusion,0.34,MS-0012,MS-0044,unclear,tension_overload,Sympathetic relationship strained,entities_scattered,,,Western Archive Team,entity_testimony,0.73,Boundary failure led to entity fusion.,Boundaries require continuous maintenance.,
BV-0106,EB-0161,914,dissolution,0.52,MS-0060,MS-0096,mutual,tension_overload,Antipathetic force weakened,boundary_permanent_loss,,,Boundary Commission,entity_testimony,0.66,Complete boundary failure observed.,Tension must be monitored continuously.,
BV-0107,EB-0254,926,fusion,0.92,MS-0005,MS-0064,external,classification_error,Long-term tension accumulation,boundary_rebuilt,410,,Archive Survey Team,classification_records,0.9,Entities merged through dissolving boundary.,Some boundaries are fundamentally unstable.,
BV-0108,EB-0171,917,fusion,0.21,MS-0015,MS-0018,unclear,internal_conflict,Environmental change,entities_scattered,,,K. Strand,entity_testimony,0.52,Entities merged through dissolving boundary.,Boundaries require continuous maintenance.,
BV-0109,EB-0064,915,collapse,0.82,MS-0085,MS-0047,unclear,tension_overload,Long-term tension accumulation,entities_scattered,,,P. Tross,direct_observation,0.93,Sudden catastrophic boundary failure.,Prevention requires understanding underlying causes.,
BV-0110,EB-0139,919,erosion,0.34,MS-0027,MS-0064,mutual,external_force,Classification intervention,boundary_permanent_loss,,,K. Strand,classification_records,0.89,Slow erosion eventually led to failure.,Boundaries require continuous maintenance.,
BV-0111,EB-0074,916,collapse,0.58,MS-0073,MS-0077,entity_a,tension_overload,Long-term tension accumulation,cascade_effect,1143,BV-0051,K. Strand,entity_testimony,0.79,Sudden catastrophic boundary failure.,Some boundaries are fundamentally unstable.,
BV-0112,EB-0016,1850,dissolution,0.48,MS-0022,MS-0080,external,internal_conflict,Unknown,cascade_effect,243,BV-0026,T. Vells,aftermath_analysis,0.82,Complete boundary failure observed.,Cascade effects are more common than isolated violations.,
BV-0113,EB-0181,1841,inversion,0.21,MS-0066,MS-0065,external,tension_overload,Classification intervention,entities_scattered,,,Western Archive Team,trajectory_records,0.86,Inversion event documented.,Cascade effects are more common than isolated violations.,
BV-0114,EB-0299,925,fusion,0.87,MS-0012,MS-0064,entity_a,external_force,Antipathetic force weakened,boundary_relocated,156,,P. Tross,classification_records,0.83,Entities merged through dissolving boundary.,Some boundaries are fundamentally unstable.,
BV-0115,EB-0121,920,collapse,0.45,MS-0015,MS-0099,mutual,strength_decay,Constellation shift,boundary_rebuilt,98,,K. Strand,aftermath_analysis,0.94,Collapse occurred without warning.,Some boundaries are fundamentally unstable.,
BV-0116,EB-0286,930,erosion,0.45,MS-0067,MS-0085,entity_b,external_force,Classification intervention,boundary_rebuilt,388,,Western Archive Team,entity_testimony,0.64,Slow erosion eventually led to failure.,Classification can destabilize boundaries.,
BV-0117,EB-0014,915,erosion,0.64,MS-0038,MS-0093,entity_b,internal_conflict,Classification intervention,boundary_rebuilt,508,,Boundary Commission,aftermath_analysis,0.63,Slow erosion eventually led to failure.,Some boundaries are fundamentally unstable.,
BV-0118,EB-0128,928,dissolution,0.83,MS-0095,MS-0069,entity_b,classification_error,Classification intervention,entities_scattered,,,Boundary Commission,trajectory_records,0.66,Boundary dissolved completely after tension overload.,Classification can destabilize boundaries.,
BV-0119,EB-0230,920,breach,0.5,MS-0073,MS-0081,entity_a,dens_proximity,Constellation shift,boundary_rebuilt,146,,K. Strand,entity_testimony,0.74,Entity crossed boundary without negotiation.,Some boundaries are fundamentally unstable.,
BV-0120,EB-0344,920,erosion,0.53,MS-0009,MS-0075,mutual,external_force,Long-term tension accumulation,contained,291,,P. Tross,aftermath_analysis,0.88,Gradual boundary weakening over time.,Some boundaries are fundamentally unstable.,
BV-0121,EB-0154,917,breach,0.37,MS-0082,MS-0093,external,unknown,Constellation shift,entities_scattered,,,Boundary Commission,trajectory_records,0.68,Breach event: boundary penetrated.,Prevention requires understanding underlying causes.,
BV-0122,EB-0289,930,inversion,0.65,MS-0039,MS-0004,entity_b,strength_decay,Unknown,contained,2733,,P. Tross,entity_testimony,0.89,Boundary polarity reversed.,Prevention requires understanding underlying causes.,
