case_id,case_name,ingression_event_id,form_type,form_complexity,expected_time_minutes,actual_time_minutes,acceleration_factor,onset_delay_eliminated,acceleration_type,fidelity_preserved,fidelity_score,location,region,dens_proximity_km,barrier_condition,hypothesized_cause,prior_manifestation_same_location,observer_present,collective_involved,free_lunch_classification,implications,observation_year,observer,documented_year,documenter,confidence,notes
AI-0013,Accelerated Phenomenon 927,IE-0124,phenomenon,highly_complex,53166.7,74.228,716.3,True,parallel_progression,False,0.49,Educational district,Densmok,213.6,very_thin,barrier_thinning,True,True,True,true_free_lunch,Observer attention reduces barrier,916,Ingression Study Group,918,C. Vells,0.55,
AI-0014,Accelerated Place 929,IE-0298,place,moderate,724.4,1.695,427.5,True,zero_onset,True,0.92,Northern margin,Dens boundary,33.5,very_thin,collective_access,False,False,False,misclassified,Forms available without evolutionary preparation,904,M. Strand,918,T. Mord,0.79,
AI-0015,Accelerated Hybrid 912,,hybrid,moderate,517.8,0.575,900.6,True,instant_completion,True,0.84,Coder quarter,Densmok,192.1,very_thin,form_resonance,True,False,True,deferred_cost,Observer attention reduces barrier,894,M. Strand,931,A. Vells,0.72,
AI-0016,Accelerated Phenomenon 924,IE-0034,phenomenon,complex,8746.7,11.962,731.2,True,zero_onset,True,0.88,Capital outskirts,Capital,211.8,very_thin,observer_catalysis,True,True,False,true_free_lunch,Observer attention reduces barrier,929,A. Vells,924,A. Prebel,0.9,
AI-0017,Accelerated Pattern 913,,pattern,highly_complex,53980.5,708.747,76.2,True,parallel_progression,True,0.86,Scholar's Quarter,Capital,270.7,thin,unknown,True,True,False,hidden_preparation,Collective access enables shortcuts,918,E. Pol,918,A. Vells,0.64,
AI-0018,Accelerated Pattern 920,IE-0177,pattern,simple,54.8,0.244,224.3,True,parallel_progression,True,0.83,Dissolution zone,Dens,0.0,very_thin,form_resonance,True,True,False,misclassified,Collective access enables shortcuts,924,M. Strand,931,Capital Survey Team,0.87,
AI-0019,Accelerated Creature 924,IE-0023,creature,highly_complex,44089.9,131.341,335.7,True,instant_completion,True,0.71,Mill vicinity,Yeller Quarry,134.4,very_thin,form_resonance,False,False,True,deferred_cost,Location memory persists across manifestations,920,T. Mord,933,E. Pol,0.69,
AI-0020,Accelerated Behavior 923,IE-0005,behavior,simple,100.4,0.163,614.6,True,zero_onset,True,0.8,Dens interior,Dens,0.0,very_thin,form_library_proximity,True,True,True,hidden_preparation,Location memory persists across manifestations,919,Ingression Study Group,925,C. Vells,0.66,
AI-0021,Accelerated Creature 925,IE-0112,creature,complex,3587.5,14.542,246.7,True,instant_completion,False,0.32,Dens interior,Dens,0.0,very_thin,observer_catalysis,False,True,False,true_free_lunch,Observer attention reduces barrier,926,E. Pol,930,C. Vells,0.54,
AI-0022,Accelerated Relationship 917,IE-0087,relationship,moderate,457.1,3.148,145.2,True,compressed_progression,True,0.71,Southern camps,Tower of Mirado,207.2,very_thin,barrier_thinning,True,False,True,true_free_lunch,Collective access enables shortcuts,906,C. Vells,932,E. Pol,0.78,
AI-0023,Accelerated Structure 917,IE-0146,structure,simple,78.1,0.112,699.9,True,zero_onset,True,0.94,Southern camps,Tower of Mirado,153.0,very_thin,barrier_thinning,False,False,False,true_free_lunch,Forms available without evolutionary preparation,917,C. Vells,923,A. Prebel,0.69,
AI-0024,Accelerated Place 923,,place,simple,35.5,0.049,720.0,True,parallel_progression,False,0.68,Southern perimeter,Dens boundary,51.3,very_thin,form_resonance,False,True,False,true_free_lunch,Observer attention reduces barrier,915,Unknown,934,C. Vells,0.55,
AI-0025,Accelerated Behavior 928,,behavior,simple,62.6,0.27,231.5,True,stage_skipping,False,0.58,Eastern Northo,Northo,264.8,very_thin,collective_access,False,True,False,true_free_lunch,Forms available without evolutionary preparation,927,C. Vells,924,T. Mord,0.51,
AI-0026,Accelerated Pattern 917,IE-0295,pattern,highly_complex,53733.2,112.719,476.7,True,compressed_progression,True,0.71,Dens deep,Dens,0.0,very_thin,observer_catalysis,True,False,False,deferred_cost,Location memory persists across manifestations,911,T. Mord,925,Ingression Study Group,0.6,
AI-0027,Accelerated Structure 928,IE-0314,structure,simple,71.8,0.091,784.3,True,instant_completion,True,0.79,Southern perimeter,Dens boundary,50.0,very_thin,prior_manifestation,True,False,False,deferred_cost,Forms available without evolutionary preparation,893,M. Strand,934,S. Moll,0.89,
AI-0028,Accelerated Creature 919,,creature,highly_complex,77442.5,107.222,722.3,True,compressed_progression,False,0.48,Klutch CC vicinity,Densmok,203.8,very_thin,barrier_thinning,True,True,True,deferred_cost,Forms available without evolutionary preparation,910,Capital Survey Team,935,E. Pol,0.64,
AI-0029,Accelerated Structure 914,,structure,moderate,285.8,1.058,270.2,True,instant_completion,True,0.8,Quarry Sector 7,Yeller Quarry,170.1,very_thin,observer_catalysis,False,False,True,true_free_lunch,Forms available without evolutionary preparation,921,Unknown,923,Field Team,0.64,
AI-0030,Accelerated Pattern 914,,pattern,moderate,257.6,0.326,791.2,True,parallel_progression,True,0.7,Northern margin,Dens boundary,43.6,very_thin,observer_catalysis,False,False,False,true_free_lunch,Collective access enables shortcuts,922,Boundary Commission,928,Capital Survey Team,0.69,
AI-0031,Accelerated Structure 916,,structure,complex,5386.7,7.235,744.5,True,instant_completion,True,0.84,Capital outskirts,Capital,254.4,very_thin,form_library_proximity,True,False,False,deferred_cost,Thin barriers allow instantaneous ingression,922,M. Strand,921,E. Pol,0.5,
AI-0032,Accelerated Phenomenon 926,,phenomenon,highly_complex,56489.5,60.842,928.5,True,zero_onset,False,0.62,Archive vicinity,Capital,200.4,very_thin,form_library_proximity,False,False,True,deferred_cost,Observer attention reduces barrier,907,S. Moll,920,Capital Survey Team,0.86,
AI-0033,Accelerated Phenomenon 919,,phenomenon,simple,95.2,0.183,521.0,True,parallel_progression,False,0.56,Philosophical Society grounds,Capital,233.7,very_thin,observer_catalysis,False,True,True,deferred_cost,Collective access enables shortcuts,896,Field Team,924,A. Vells,0.54,
AI-0034,Accelerated Structure 912,IE-0064,structure,moderate,279.6,10.68,26.2,False,compressed_progression,True,0.9,Western approach,Dens boundary,50.3,thin,barrier_thinning,True,False,True,hidden_preparation,Forms available without evolutionary preparation,900,A. Vells,924,Boundary Commission,0.8,
AI-0035,Accelerated Structure 916,,structure,moderate,268.2,0.299,898.2,True,zero_onset,True,0.83,Dens interior,Dens,0.0,very_thin,unknown,False,True,True,true_free_lunch,Thin barriers allow instantaneous ingression,897,Boundary Commission,934,A. Prebel,0.7,
AI-0036,Accelerated Relationship 913,IE-0166,relationship,highly_complex,57500.4,120.28,478.1,True,instant_completion,True,0.91,Northern margin,Dens boundary,28.3,very_thin,observer_catalysis,False,True,False,deferred_cost,Location memory persists across manifestations,927,Ingression Study Group,934,S. Moll,0.7,
AI-0037,Accelerated Hybrid 913,IE-0208,hybrid,moderate,326.3,0.929,351.1,True,compressed_progression,True,0.81,Educational district,Densmok,218.0,very_thin,form_resonance,True,True,False,deferred_cost,Collective access enables shortcuts,925,Unknown,929,C. Vells,0.84,
AI-0038,Accelerated Phenomenon 926,IE-0276,phenomenon,moderate,317.5,0.396,802.4,True,stage_skipping,True,0.74,Scholar's Quarter,Capital,245.6,very_thin,barrier_thinning,True,True,True,deferred_cost,Observer attention reduces barrier,910,Capital Survey Team,932,Boundary Commission,0.72,
AI-0039,Accelerated Relationship 926,,relationship,moderate,797.2,0.888,897.4,True,parallel_progression,False,0.42,Trapper territory,Yeller Quarry,158.2,very_thin,barrier_thinning,False,False,False,true_free_lunch,Location memory persists across manifestations,926,M. Strand,932,M. Strand,0.73,
AI-0040,Accelerated Hybrid 916,,hybrid,moderate,394.2,1.292,305.1,True,compressed_progression,False,0.64,Siege fields,Tower of Mirado,192.1,very_thin,prior_manifestation,True,False,True,hidden_preparation,Thin barriers allow instantaneous ingression,924,T. Mord,928,C. Vells,0.82,
AI-0041,Accelerated Phenomenon 919,IE-0340,phenomenon,complex,9887.6,13.432,736.1,True,stage_skipping,True,0.95,Coder quarter,Densmok,274.0,very_thin,form_resonance,False,True,False,true_free_lunch,Location memory persists across manifestations,912,Boundary Commission,933,S. Moll,0.65,
AI-0042,Accelerated Structure 919,,structure,simple,118.5,1.148,103.2,True,instant_completion,False,0.37,Tower base,Tower of Mirado,198.6,very_thin,collective_access,True,False,False,deferred_cost,Observer attention reduces barrier,916,E. Pol,929,C. Vells,0.88,
AI-0043,Accelerated Relationship 922,,relationship,complex,6787.4,13.096,518.3,True,stage_skipping,True,0.94,Ascetic village,Northo,370.7,very_thin,prior_manifestation,True,True,True,deferred_cost,Location memory persists across manifestations,905,A. Prebel,934,Boundary Commission,0.73,
AI-0044,Accelerated Structure 923,IE-0116,structure,highly_complex,76146.7,116.797,652.0,True,parallel_progression,True,0.86,Trapper territory,Yeller Quarry,131.1,very_thin,barrier_thinning,False,True,False,true_free_lunch,Collective access enables shortcuts,898,A. Prebel,932,C. Vells,0.55,
AI-0045,Accelerated Place 927,IE-0256,place,moderate,786.7,1.475,533.6,True,instant_completion,True,0.76,Tower base,Tower of Mirado,170.3,very_thin,form_resonance,False,True,False,true_free_lunch,Location memory persists across manifestations,924,T. Mord,932,E. Pol,0.82,
AI-0046,Accelerated Place 922,IE-0337,place,complex,8162.5,14.763,552.9,True,compressed_progression,True,0.72,Mill vicinity,Yeller Quarry,154.3,very_thin,observer_catalysis,False,False,True,deferred_cost,Observer attention reduces barrier,897,Capital Survey Team,922,A. Prebel,0.75,
AI-0047,Accelerated Phenomenon 928,,phenomenon,complex,9433.4,11.654,809.5,True,zero_onset,True,0.73,Eastern markets,Capital,292.7,very_thin,collective_access,False,False,False,true_free_lunch,Observer attention reduces barrier,925,S. Moll,932,T. Mord,0.73,
AI-0048,Accelerated Behavior 915,IE-0311,behavior,highly_complex,45697.7,326.94,139.8,True,parallel_progression,False,0.59,Scholar's Quarter,Capital,217.6,very_thin,collective_access,True,True,False,true_free_lunch,Thin barriers allow instantaneous ingression,906,Boundary Commission,931,Boundary Commission,0.75,
AI-0049,Accelerated Structure 916,IE-0153,structure,moderate,526.5,7.727,68.1,True,compressed_progression,False,0.65,Suburban zone,Densmok,184.7,thin,form_library_proximity,True,False,False,true_free_lunch,Forms available without evolutionary preparation,923,S. Moll,930,T. Mord,0.83,
AI-0050,Accelerated Pattern 913,IE-0131,pattern,simple,71.0,0.077,921.5,True,stage_skipping,True,0.91,Northern margin,Dens boundary,26.5,very_thin,unknown,True,True,True,true_free_lunch,Collective access enables shortcuts,906,Capital Survey Team,933,C. Vells,0.72,
AI-0051,Accelerated Relationship 929,,relationship,moderate,887.9,2.66,333.7,True,instant_completion,True,0.9,Eastern Northo,Northo,337.4,very_thin,barrier_thinning,False,False,True,deferred_cost,Thin barriers allow instantaneous ingression,906,Ingression Study Group,935,A. Vells,0.58,
AI-0052,Accelerated Place 921,IE-0012,place,highly_complex,48443.8,132.397,365.9,True,parallel_progression,True,0.85,Tower base,Tower of Mirado,233.2,very_thin,form_library_proximity,True,False,True,misclassified,Forms available without evolutionary preparation,899,T. Mord,933,M. Strand,0.61,
AI-0053,Accelerated Place 923,,place,simple,34.9,0.34,102.8,True,parallel_progression,False,0.6,Central anomaly,Dens,0.0,very_thin,prior_manifestation,False,False,False,true_free_lunch,Observer attention reduces barrier,899,Boundary Commission,923,Capital Survey Team,0.65,
AI-0054,Accelerated Hybrid 928,,hybrid,moderate,636.3,0.833,764.1,True,zero_onset,True,0.82,Northern approach,Tower of Mirado,201.8,very_thin,collective_access,False,True,False,misclassified,Location memory persists across manifestations,921,Boundary Commission,934,Ingression Study Group,0.71,
AI-0055,Accelerated Hybrid 922,IE-0269,hybrid,moderate,377.9,0.972,388.6,True,zero_onset,True,0.78,Northern monastery,Northo,292.4,very_thin,form_library_proximity,True,False,False,hidden_preparation,Collective access enables shortcuts,928,A. Vells,920,S. Moll,0.71,
AI-0056,Accelerated Creature 929,IE-0295,creature,moderate,773.6,0.817,946.9,True,instant_completion,True,0.76,Central anomaly,Dens,0.0,very_thin,observer_catalysis,True,True,False,true_free_lunch,Observer attention reduces barrier,926,Capital Survey Team,930,Field Team,0.85,
AI-0057,Accelerated Behavior 914,IE-0123,behavior,highly_complex,26067.5,28.778,905.8,True,stage_skipping,False,0.67,Educational district,Densmok,272.4,very_thin,observer_catalysis,False,True,False,true_free_lunch,Observer attention reduces barrier,893,A. Prebel,929,T. Mord,0.77,
AI-0058,Accelerated Behavior 916,IE-0339,behavior,moderate,895.9,2.357,380.1,True,instant_completion,True,0.74,Suburban zone,Densmok,252.1,very_thin,collective_access,True,True,False,true_free_lunch,Collective access enables shortcuts,905,Unknown,934,S. Moll,0.71,
AI-0059,Accelerated Behavior 914,IE-0311,behavior,highly_complex,71952.1,84.142,855.1,True,stage_skipping,True,0.83,Educational district,Densmok,258.1,very_thin,barrier_thinning,False,False,True,hidden_preparation,Observer attention reduces barrier,898,Ingression Study Group,934,S. Moll,0.72,
AI-0060,Accelerated Pattern 927,,pattern,simple,117.7,0.201,585.7,True,zero_onset,True,0.91,Sector SW-6,Dens boundary,27.4,very_thin,observer_catalysis,True,True,True,deferred_cost,Observer attention reduces barrier,896,A. Vells,919,T. Mord,0.87,
AI-0061,Accelerated Behavior 930,,behavior,complex,5888.5,19.812,297.2,True,parallel_progression,False,0.35,Klutch CC vicinity,Densmok,206.5,very_thin,collective_access,False,True,True,deferred_cost,Observer attention reduces barrier,926,E. Pol,930,S. Moll,0.64,
AI-0062,Accelerated Structure 915,IE-0092,structure,moderate,254.0,1.235,205.7,True,parallel_progression,False,0.44,Southern approach,Yeller Quarry,147.1,very_thin,unknown,True,False,True,deferred_cost,Thin barriers allow instantaneous ingression,920,E. Pol,930,A. Prebel,0.87,
AI-0063,Accelerated Relationship 929,IE-0135,relationship,highly_complex,56275.2,282.388,199.3,True,instant_completion,True,0.84,Southern camps,Tower of Mirado,191.6,very_thin,barrier_thinning,True,True,False,deferred_cost,Thin barriers allow instantaneous ingression,920,A. Vells,919,E. Pol,0.83,
AI-0064,Accelerated Hybrid 927,,hybrid,complex,6145.7,79.092,77.7,True,parallel_progression,True,0.9,Klutch CC vicinity,Densmok,212.3,thin,form_library_proximity,True,True,True,true_free_lunch,Observer attention reduces barrier,911,Ingression Study Group,926,A. Prebel,0.7,
AI-0065,Accelerated Structure 917,IE-0100,structure,simple,40.7,0.17,239.5,True,instant_completion,False,0.46,Capital outskirts,Capital,203.2,very_thin,barrier_thinning,True,True,False,misclassified,Observer attention reduces barrier,896,S. Moll,925,A. Vells,0.76,
AI-0066,Accelerated Hybrid 930,,hybrid,complex,7155.5,10.493,681.9,True,compressed_progression,False,0.52,Capital proper,Capital,237.3,very_thin,collective_access,True,False,True,deferred_cost,Collective access enables shortcuts,897,T. Mord,926,S. Moll,0.77,
AI-0067,Accelerated Phenomenon 924,IE-0263,phenomenon,simple,45.6,0.1,455.0,True,parallel_progression,False,0.37,Northern workings,Yeller Quarry,133.2,very_thin,form_library_proximity,True,False,True,true_free_lunch,Collective access enables shortcuts,927,Ingression Study Group,927,S. Moll,0.82,
AI-0068,Accelerated Relationship 923,,relationship,highly_complex,37917.4,317.209,119.5,True,instant_completion,False,0.41,Eastern Northo,Northo,320.9,very_thin,unknown,True,False,True,true_free_lunch,Forms available without evolutionary preparation,914,E. Pol,925,S. Moll,0.57,
AI-0069,Accelerated Relationship 921,IE-0004,relationship,moderate,924.5,2.379,388.7,True,instant_completion,False,0.5,Northern approach,Tower of Mirado,200.6,very_thin,unknown,False,False,True,true_free_lunch,Location memory persists across manifestations,913,T. Mord,932,Field Team,0.86,
AI-0070,Accelerated Pattern 912,,pattern,moderate,787.0,1.644,478.7,True,instant_completion,True,0.83,Educational district,Densmok,229.5,very_thin,prior_manifestation,True,False,False,true_free_lunch,Location memory persists across manifestations,898,Unknown,931,M. Strand,0.63,
AI-0071,Accelerated Creature 916,,creature,simple,43.7,0.615,71.1,True,zero_onset,True,0.79,Sector SW-6,Dens boundary,23.0,thin,unknown,False,False,False,hidden_preparation,Observer attention reduces barrier,900,M. Strand,929,Ingression Study Group,0.85,
AI-0072,Accelerated Behavior 912,IE-0262,behavior,simple,59.2,11.647,5.1,False,instant_completion,True,0.77,Sector NE-4,Dens boundary,45.5,normal,prior_manifestation,False,True,False,hidden_preparation,Forms available without evolutionary preparation,906,A. Prebel,925,E. Pol,0.82,
AI-0073,Accelerated Creature 923,,creature,moderate,760.9,2.236,340.3,True,compressed_progression,False,0.6,Northern workings,Yeller Quarry,148.7,very_thin,form_resonance,False,False,False,deferred_cost,Collective access enables shortcuts,897,C. Vells,927,S. Moll,0.85,
AI-0074,Accelerated Relationship 928,IE-0117,relationship,simple,64.1,0.083,774.8,True,stage_skipping,True,0.86,Trapper territory,Yeller Quarry,129.8,very_thin,barrier_thinning,True,False,True,deferred_cost,Forms available without evolutionary preparation,910,Field Team,929,C. Vells,0.63,
AI-0075,Accelerated Place 918,IE-0145,place,moderate,834.3,0.955,874.0,True,parallel_progression,True,0.78,Northern monastery,Northo,329.3,very_thin,observer_catalysis,True,True,False,deferred_cost,Forms available without evolutionary preparation,914,A. Vells,928,Ingression Study Group,0.88,
AI-0076,Accelerated Behavior 914,IE-0268,behavior,complex,3471.5,4.942,702.5,True,zero_onset,True,0.93,Scholar's Quarter,Capital,292.1,very_thin,observer_catalysis,True,False,False,true_free_lunch,Forms available without evolutionary preparation,930,M. Strand,926,A. Prebel,0.75,
AI-0077,Accelerated Creature 916,,creature,complex,3748.4,13.829,271.1,True,parallel_progression,True,0.74,Suburban zone,Densmok,253.5,very_thin,prior_manifestation,True,True,True,true_free_lunch,Observer attention reduces barrier,928,E. Pol,931,A. Vells,0.89,
AI-0078,Accelerated Pattern 915,IE-0220,pattern,moderate,834.4,1.096,761.0,True,parallel_progression,False,0.57,Eastern Northo,Northo,343.9,very_thin,prior_manifestation,True,False,True,deferred_cost,Thin barriers allow instantaneous ingression,894,Field Team,922,Boundary Commission,0.53,
AI-0079,Accelerated Hybrid 926,IE-0085,hybrid,moderate,919.0,2.765,332.3,True,stage_skipping,False,0.32,Philosophical Society grounds,Capital,210.3,very_thin,form_resonance,False,True,False,misclassified,Forms available without evolutionary preparation,925,A. Vells,931,A. Prebel,0.57,
AI-0080,Accelerated Hybrid 927,,hybrid,complex,4780.9,5.878,813.4,True,stage_skipping,False,0.54,Coder quarter,Densmok,230.0,very_thin,collective_access,False,True,False,true_free_lunch,Thin barriers allow instantaneous ingression,900,S. Moll,920,Field Team,0.5,
AI-0081,Accelerated Place 927,,place,moderate,559.4,0.658,850.5,True,zero_onset,True,0.77,Southern camps,Tower of Mirado,211.5,very_thin,unknown,False,True,True,deferred_cost,Collective access enables shortcuts,920,A. Prebel,932,Ingression Study Group,0.58,
AI-0082,Accelerated Creature 922,IE-0232,creature,complex,7247.3,8.689,834.1,True,parallel_progression,False,0.43,Archive vicinity,Capital,276.1,very_thin,barrier_thinning,True,True,False,true_free_lunch,Forms available without evolutionary preparation,910,Boundary Commission,932,C. Vells,0.73,
AI-0083,Accelerated Phenomenon 929,,phenomenon,highly_complex,49862.4,85.252,584.9,True,compressed_progression,True,0.77,Lake vicinity,Northo,357.1,very_thin,collective_access,True,False,False,true_free_lunch,Thin barriers allow instantaneous ingression,923,Unknown,929,Boundary Commission,0.62,
AI-0084,Accelerated Pattern 915,IE-0198,pattern,moderate,577.5,0.778,742.3,True,parallel_progression,True,0.85,Lake vicinity,Northo,320.5,very_thin,prior_manifestation,False,False,True,hidden_preparation,Forms available without evolutionary preparation,925,M. Strand,918,Field Team,0.7,
AI-0085,Accelerated Hybrid 927,IE-0356,hybrid,moderate,898.6,4.126,217.8,True,compressed_progression,True,0.81,Northern workings,Yeller Quarry,151.5,very_thin,prior_manifestation,True,True,False,misclassified,Thin barriers allow instantaneous ingression,924,A. Vells,929,Capital Survey Team,0.79,
AI-0086,Accelerated Behavior 915,,behavior,highly_complex,27082.9,570.039,47.5,False,parallel_progression,True,0.72,Educational district,Densmok,201.1,thin,observer_catalysis,True,True,False,deferred_cost,Observer attention reduces barrier,918,A. Vells,935,Ingression Study Group,0.66,
AI-0087,Accelerated Creature 913,,creature,moderate,961.3,1.281,750.5,True,instant_completion,False,0.4,Northern approach,Tower of Mirado,246.5,very_thin,collective_access,False,True,True,true_free_lunch,Observer attention reduces barrier,906,Capital Survey Team,934,A. Vells,0.89,
AI-0088,Accelerated Structure 920,IE-0029,structure,complex,8397.3,20.993,400.0,True,parallel_progression,True,0.83,Southern camps,Tower of Mirado,218.0,very_thin,collective_access,True,False,True,deferred_cost,Observer attention reduces barrier,916,M. Strand,920,E. Pol,0.76,
AI-0089,Accelerated Behavior 918,,behavior,complex,4296.8,5.818,738.5,True,compressed_progression,True,0.89,Dissolution zone,Dens,0.0,very_thin,prior_manifestation,True,True,False,deferred_cost,Collective access enables shortcuts,897,Ingression Study Group,927,Boundary Commission,0.61,
AI-0090,Accelerated Behavior 919,,behavior,complex,5025.2,6.995,718.4,True,instant_completion,True,0.78,Klutch CC vicinity,Densmok,226.0,very_thin,form_resonance,False,True,False,true_free_lunch,Thin barriers allow instantaneous ingression,905,Ingression Study Group,919,E. Pol,0.84,
AI-0091,Accelerated Structure 927,IE-0327,structure,moderate,389.2,0.601,648.1,True,zero_onset,True,0.86,Dissolution zone,Dens,0.0,very_thin,collective_access,False,True,True,deferred_cost,Observer attention reduces barrier,897,T. Mord,923,A. Prebel,0.89,
AI-0092,Accelerated Relationship 922,IE-0190,relationship,moderate,630.8,1.547,407.8,True,compressed_progression,True,0.75,Dissolution zone,Dens,0.0,very_thin,collective_access,False,False,True,deferred_cost,Observer attention reduces barrier,926,T. Mord,930,Capital Survey Team,0.61,
AI-0093,Accelerated Hybrid 920,,hybrid,highly_complex,73607.1,105.087,700.4,True,zero_onset,True,0.92,Philosophical Society grounds,Capital,210.6,very_thin,observer_catalysis,False,True,True,true_free_lunch,Observer attention reduces barrier,928,S. Moll,933,Boundary Commission,0.53,
AI-0094,Accelerated Creature 930,IE-0281,creature,simple,59.3,0.438,135.4,True,compressed_progression,True,0.93,Eastern Northo,Northo,324.2,very_thin,collective_access,False,True,False,deferred_cost,Location memory persists across manifestations,919,Capital Survey Team,931,M. Strand,0.82,
AI-0095,Accelerated Phenomenon 929,IE-0182,phenomenon,highly_complex,29664.2,102.424,289.6,True,parallel_progression,True,0.86,Third Mill,Yeller Quarry,165.6,very_thin,barrier_thinning,True,True,False,deferred_cost,Thin barriers allow instantaneous ingression,896,Unknown,921,M. Strand,0.9,
AI-0096,Accelerated Pattern 929,,pattern,simple,39.2,1.433,27.4,False,zero_onset,True,0.75,Central anomaly,Dens,0.0,thin,form_library_proximity,False,False,False,hidden_preparation,Observer attention reduces barrier,928,Ingression Study Group,922,Field Team,0.58,
AI-0097,Accelerated Creature 927,IE-0056,creature,complex,4139.0,15.213,272.1,True,stage_skipping,True,0.83,Northern approach,Tower of Mirado,176.2,very_thin,prior_manifestation,False,False,False,misclassified,Observer attention reduces barrier,903,Field Team,929,S. Moll,0.71,
AI-0098,Accelerated Creature 924,IE-0331,creature,moderate,453.1,0.671,675.1,True,zero_onset,True,0.8,Philosophical Society grounds,Capital,287.9,very_thin,collective_access,True,False,False,deferred_cost,Thin barriers allow instantaneous ingression,902,Boundary Commission,923,M. Strand,0.54,
AI-0099,Accelerated Creature 923,IE-0321,creature,highly_complex,69566.3,86.584,803.5,True,instant_completion,True,0.92,Dens deep,Dens,0.0,very_thin,prior_manifestation,False,True,False,true_free_lunch,Forms available without evolutionary preparation,897,M. Strand,923,Ingression Study Group,0.56,
AI-0100,Accelerated Creature 916,IE-0156,creature,moderate,316.5,0.809,391.3,True,parallel_progression,False,0.38,Third Mill,Yeller Quarry,117.7,very_thin,prior_manifestation,False,False,True,hidden_preparation,Thin barriers allow instantaneous ingression,911,Field Team,930,Field Team,0.69,
AI-0101,Accelerated Structure 915,IE-0312,structure,highly_complex,90605.3,351.369,257.9,True,stage_skipping,True,0.74,Northern workings,Yeller Quarry,145.4,very_thin,collective_access,False,True,True,deferred_cost,Observer attention reduces barrier,925,Boundary Commission,926,E. Pol,0.61,
