attempt_id,attempt_name,pathology_case_id,pathology_type,pathology_severity,recovery_approach,primary_method,secondary_methods,method_novelty,resources_required,resource_intensity,duration_days,phases,setbacks,complications,progress_pattern,outcome,function_restored_percent,residual_symptoms,recurrence_risk,success_factors,failure_factors,theoretical_framework,framework_adequate,replicability,applicability,protocol_developed,location,region,start_year,end_year,lead_practitioner,team_size,confidence,cross_reference,notes
RA-0011,Integration Attempt 72,BD-0114,boundary_dissolution,moderate,reconstruction,pattern_editing,"surgery, observation_cessation, ghost_clearance",established,quiet_location,moderate,855,5,1,,linear_improvement,substantial_recovery,78.5,True,low,skilled_healer,,tross_boundaries,True,highly_replicable,limited_applicability,True,Northern approach,Tower of Mirado,911,914,M. Strand,8,0.65,BD-0114,
RA-0012,Ghost Clearance Case 984,HS-0010,horizon_shrinkage,severe,adaptation,social_reconnection,"observation_cessation, medication",modified,quiet_location,extreme,398,2,2,,plateau_then_breakthrough,substantial_recovery,92.2,True,moderate,early_intervention,,strand_horizons,True,case_specific,specific_conditions_only,True,Klutch CC,Densmok,917,919,Vorn Recovery Group,36,0.6,HS-0010,
RA-0013,Federation Recovery 714,NP-0174,navigation_pathology,moderate,integration,resonance_retuning,"medication, social_reconnection",novel,social_support,high,91,2,16,relapse,no_progress,no_improvement,4.9,True,very_high,,wrong_method,voss_navigation,True,case_specific,specific_conditions_only,False,Coder quarter,Densmok,920,921,S. Moll,7,0.85,NP-0174,
RA-0014,Substrate Repair 659,NP-0120,navigation_pathology,moderate,integration,external_structure,"pattern_editing, medication, observation_cessation",modified,specialized_equipment,high,1424,5,7,secondary_pathology,oscillating,death_dissolution,0.0,True,unknown,,irreversible_damage,voss_navigation,False,case_specific,limited_applicability,False,Klutch CC,Densmok,920,924,Strand Rehabilitation Center,9,0.82,NP-0120,
RA-0015,Annex 244 Reconstruction,HS-0051,horizon_shrinkage,catastrophic,reconstruction,medication,observation_cessation,established,skilled_healer,high,125,4,1,none,stepwise,full_recovery,98.4,False,moderate,adequate_resources,,strand_horizons,True,highly_replicable,broadly_applicable,False,Scholar's Quarter,Capital,900,901,Moll Research Team,15,0.99,HS-0051,
RA-0016,Federation Recovery 389,NP-0051,navigation_pathology,severe,transformation,resonance_retuning,substrate_repair,novel,collective_effort,high,888,3,0,,stepwise,substantial_recovery,74.4,True,moderate,patient_cooperation,,voss_navigation,True,case_specific,similar_navigation_pathology,True,Northern approach,Tower of Mirado,920,923,M. Strand,9,0.95,NP-0051,
RA-0017,Isolation Protocol 83,HS-0048,horizon_shrinkage,mild,adaptation,medication,"surgery, pattern_editing",modified,specialized_equipment,moderate,653,3,1,,oscillating,partial_recovery,69.5,True,moderate,matched_method,,strand_horizons,True,case_specific,limited_applicability,False,Quarry interior,Yeller Quarry,926,928,Moll Research Team,9,0.74,HS-0048,
RA-0018,Ghost Clearance Case 263,GC-0059,ghost_contamination,severe,transformation,integration_assistance,"boundary_reinforcement, social_reconnection, relocation",established,social_support,extreme,41,3,1,side_effects,plateau_then_breakthrough,full_recovery,96.3,False,low,early_intervention,,moll_ghosts,False,highly_replicable,specific_conditions_only,True,Eastern fluctuation zone,Dens boundary,932,933,K. Vorn,47,0.59,GC-0059,
RA-0019,Horizon Expansion Program 191,HS-0115,horizon_shrinkage,catastrophic,isolation,horizon_expansion,"observation_cessation, navigation_recalibration",established,quiet_location,high,243,3,9,relapse,no_progress,no_improvement,11.1,True,very_high,,irreversible_damage,strand_horizons,False,moderately_replicable,similar_horizon_shrinkage,False,Sector NE-4,Dens boundary,932,933,M. Strand,16,0.7,HS-0115,
RA-0020,Isolation Protocol 555,HS-0109,horizon_shrinkage,severe,integration,social_reconnection,substrate_repair,novel,skilled_healer,moderate,79,2,17,secondary_pathology,no_progress,no_improvement,8.0,True,high,,late_intervention,strand_horizons,False,moderately_replicable,similar_horizon_shrinkage,False,Sector SW-6,Dens boundary,909,910,K. Vorn,5,0.55,HS-0109,
RA-0021,Annex 817 Reconstruction,HS-0120,horizon_shrinkage,severe,reconstruction,horizon_expansion,"external_structure, pattern_editing, resonance_retuning",established,time,moderate,132,4,9,secondary_pathology,rapid_then_slow,partial_recovery,50.4,True,moderate,adequate_resources,,strand_horizons,False,moderately_replicable,specific_conditions_only,False,Camp settlements,Yeller Quarry,906,907,Specialist Team,9,0.71,HS-0120,
RA-0022,Isolation Protocol 9,NP-0152,navigation_pathology,moderate,isolation,resonance_retuning,horizon_expansion,established,social_support,moderate,1824,2,4,side_effects,oscillating,partial_recovery,40.3,True,moderate,early_intervention,,voss_navigation,False,moderately_replicable,limited_applicability,False,Capital proper,Capital,913,918,Indigenous Consultant,9,0.88,NP-0152,
RA-0023,Annex 515 Reconstruction,HS-0150,horizon_shrinkage,severe,reconstruction,horizon_expansion,"external_structure, pattern_editing, substrate_repair",established,quiet_location,high,449,5,2,,oscillating,partial_recovery,40.4,False,high,patient_cooperation,,strand_horizons,False,case_specific,specific_conditions_only,False,Western districts,Capital,900,902,Specialist Team,10,0.94,HS-0150,
RA-0024,Annex 804 Reconstruction,GC-0068,ghost_contamination,catastrophic,adaptation,pattern_editing,,established,time,high,560,5,1,,linear_improvement,full_recovery,98.5,False,low,early_intervention,,moll_ghosts,True,highly_replicable,broadly_applicable,True,Suburban zone,Densmok,932,934,Vorn Recovery Group,5,0.72,GC-0068,
RA-0025,Integration Attempt 283,GC-0125,ghost_contamination,severe,integration,integration_assistance,"relocation, resonance_retuning",novel,skilled_healer,moderate,214,2,3,,stepwise,full_recovery,98.6,False,low,patient_cooperation,,moll_ghosts,False,case_specific,broadly_applicable,False,Capital proper,Capital,903,904,Indigenous Consultant,5,0.95,GC-0125,
RA-0026,Integration Attempt 58,FC-0111,federation_cancer,moderate,isolation,trust_rebuilding,"observation_cessation, resonance_retuning",modified,quiet_location,moderate,37,1,0,,plateau_then_breakthrough,substantial_recovery,71.5,True,moderate,skilled_healer,,mord_federation,True,moderately_replicable,specific_conditions_only,True,Isolation community,Northo,911,912,K. Vorn,8,0.8,FC-0111,
RA-0027,Isolation Protocol 544,NP-0151,navigation_pathology,moderate,reconstruction,resonance_retuning,"navigation_recalibration, surgery, external_structure",modified,quiet_location,minimal,1433,1,2,,gradual_throughout,stabilization,33.1,True,high,,,voss_navigation,False,moderately_replicable,specific_conditions_only,False,Sector NE-4,Dens boundary,892,896,Field Healer,1,0.76,NP-0151,
RA-0028,Federation Recovery 904,BD-0113,boundary_dissolution,severe,reconstruction,relocation,"surgery, horizon_expansion, external_structure",novel,specialized_equipment,moderate,586,5,8,resource_exhaustion,rapid_then_slow,partial_recovery,50.0,True,moderate,early_intervention,,tross_boundaries,False,moderately_replicable,specific_conditions_only,False,Sector NE-4,Dens boundary,920,922,S. Moll,3,0.82,BD-0113,
RA-0029,Boundary Restoration Project 551,HS-0083,horizon_shrinkage,moderate,restoration,social_reconnection,,established,collective_effort,high,303,5,13,resource_exhaustion,no_progress,no_improvement,13.2,True,unknown,,late_intervention,strand_horizons,True,case_specific,specific_conditions_only,False,Northern monastery,Northo,917,918,Strand Rehabilitation Center,17,0.55,HS-0083,
RA-0030,Navigation Recalibration 497,GC-0173,ghost_contamination,severe,restoration,boundary_strengthening,pattern_editing,established,specialized_equipment,extreme,743,1,2,relapse,stepwise,substantial_recovery,74.8,True,low,matched_method,,moll_ghosts,True,highly_replicable,specific_conditions_only,False,Northern workings,Yeller Quarry,893,896,M. Strand,50,1.0,GC-0173,
RA-0031,Annex 220 Reconstruction,FC-0134,federation_cancer,moderate,reconstruction,external_structure,boundary_reinforcement,established,social_support,moderate,537,4,2,,stepwise,substantial_recovery,89.0,True,moderate,skilled_healer,,mord_federation,False,highly_replicable,similar_federation_cancer,True,Healing Institute,Capital,930,932,M. Strand,7,0.53,FC-0134,
RA-0032,Boundary Restoration Project 934,NP-0093,navigation_pathology,moderate,reconstruction,navigation_recalibration,"surgery, observation_cessation, pattern_editing",novel,collective_effort,moderate,341,5,3,,plateau_then_breakthrough,substantial_recovery,79.9,True,moderate,early_intervention,,voss_navigation,True,moderately_replicable,similar_navigation_pathology,False,Scholar's Quarter,Capital,915,916,M. Strand,10,0.75,NP-0093,
RA-0033,Substrate Repair 795,HS-0181,horizon_shrinkage,severe,adaptation,social_reconnection,"pattern_editing, medication",novel,social_support,extreme,167,1,3,none,linear_improvement,substantial_recovery,82.0,True,low,early_intervention,,strand_horizons,True,case_specific,similar_horizon_shrinkage,True,Siege fields,Tower of Mirado,922,923,Indigenous Consultant,32,0.76,HS-0181,
RA-0034,Substrate Repair 200,FC-0030,federation_cancer,mild,restoration,external_structure,,established,skilled_healer,minimal,647,4,4,resource_exhaustion,rapid_then_slow,stabilization,22.1,True,high,,,mord_federation,False,moderately_replicable,specific_conditions_only,False,Northern monastery,Northo,921,923,Vorn Recovery Group,5,0.83,FC-0030,
RA-0035,Ghost Clearance Case 544,HS-0001,horizon_shrinkage,moderate,reconstruction,medication,social_reconnection,experimental,collective_effort,high,229,4,14,secondary_pathology,no_progress,no_improvement,13.0,True,unknown,,wrong_method,strand_horizons,True,case_specific,limited_applicability,False,Veteran settlement,Tower of Mirado,920,921,Specialist Team,16,0.9,HS-0001,
RA-0036,Garrett Rehabilitation,BD-0019,boundary_dissolution,severe,isolation,boundary_reinforcement,"observation_cessation, ghost_clearance",established,skilled_healer,extreme,342,1,19,side_effects,no_progress,no_improvement,14.9,True,unknown,,insufficient_resources,tross_boundaries,True,moderately_replicable,limited_applicability,False,Northern approach,Tower of Mirado,931,932,Healing Institute Team,20,0.86,BD-0019,
RA-0037,Federation Recovery 2,BD-0022,boundary_dissolution,moderate,adaptation,relocation,"navigation_recalibration, ghost_clearance",established,social_support,moderate,742,5,0,relapse,stepwise,substantial_recovery,86.2,True,low,early_intervention,,tross_boundaries,True,highly_replicable,similar_boundary_dissolution,True,Capital proper,Capital,906,909,Strand Rehabilitation Center,9,0.56,BD-0022,
RA-0038,Ghost Clearance Case 178,BD-0158,boundary_dissolution,moderate,adaptation,isolation,"horizon_expansion, pattern_editing",modified,quiet_location,moderate,343,2,15,relapse,no_progress,no_improvement,17.1,True,high,,ongoing_exposure,tross_boundaries,False,case_specific,limited_applicability,False,Capital outskirts,Capital,902,903,K. Vorn,4,0.64,BD-0158,
RA-0039,Ghost Clearance Case 636,HS-0074,horizon_shrinkage,severe,reconstruction,medication,"external_structure, boundary_reinforcement",modified,skilled_healer,extreme,661,1,2,relapse,plateau_then_breakthrough,full_recovery,98.2,False,low,skilled_healer,,strand_horizons,True,moderately_replicable,specific_conditions_only,True,Healing Institute,Capital,936,938,Archive Recovery Team,36,0.54,HS-0074,
RA-0040,Navigation Recalibration 973,GC-0152,ghost_contamination,severe,restoration,integration_assistance,boundary_reinforcement,established,collective_effort,extreme,912,3,6,relapse,gradual_throughout,partial_recovery,52.4,True,moderate,matched_method,,moll_ghosts,True,case_specific,specific_conditions_only,False,Siege fields,Tower of Mirado,909,912,Field Healer,17,0.59,GC-0152,
RA-0041,Annex 833 Reconstruction,BD-0132,boundary_dissolution,moderate,restoration,relocation,"boundary_reinforcement, social_reconnection",established,skilled_healer,high,474,4,2,none,plateau_then_breakthrough,substantial_recovery,88.4,False,low,skilled_healer,,tross_boundaries,False,highly_replicable,limited_applicability,False,Capital outskirts,Capital,935,937,S. Moll,14,0.63,BD-0132,
RA-0042,Navigation Recalibration 338,BD-0076,boundary_dissolution,moderate,restoration,pattern_editing,,novel,quiet_location,minimal,1292,1,2,,gradual_throughout,death_dissolution,0.0,True,very_high,,wrong_method,tross_boundaries,True,moderately_replicable,similar_boundary_dissolution,False,Capital outskirts,Capital,928,932,K. Vorn,2,0.81,BD-0076,
RA-0043,Garrett Rehabilitation,HS-0097,horizon_shrinkage,mild,integration,social_reconnection,"horizon_expansion, medication",established,collective_effort,high,953,3,1,relapse,linear_improvement,substantial_recovery,77.3,False,low,adequate_resources,,strand_horizons,True,highly_replicable,limited_applicability,False,Dens deep,Dens,925,928,Field Healer,19,0.74,HS-0097,
RA-0044,Ghost Clearance Case 734,FC-0011,federation_cancer,severe,reconstruction,external_structure,substrate_repair,established,specialized_equipment,moderate,1406,5,10,side_effects,oscillating,partial_recovery,53.1,True,high,early_intervention,,mord_federation,False,case_specific,similar_federation_cancer,False,Western approach,Dens boundary,890,894,Moll Research Team,3,0.85,FC-0011,
RA-0045,Ghost Clearance Case 178,BD-0140,boundary_dissolution,mild,reconstruction,isolation,"substrate_repair, relocation, social_reconnection",established,quiet_location,high,726,4,2,relapse,gradual_throughout,partial_recovery,69.3,True,high,patient_cooperation,,tross_boundaries,True,moderately_replicable,similar_boundary_dissolution,False,Recovery settlement,Northo,909,911,Strand Rehabilitation Center,15,0.98,BD-0140,
RA-0046,Isolation Protocol 774,BD-0140,boundary_dissolution,severe,integration,relocation,observation_cessation,novel,quiet_location,high,265,5,1,,linear_improvement,full_recovery,99.4,False,low,matched_method,,tross_boundaries,True,case_specific,specific_conditions_only,True,Healing Institute,Capital,907,908,Vorn Recovery Group,6,0.88,BD-0140,
RA-0047,Substrate Repair 727,GC-0123,ghost_contamination,severe,restoration,pattern_editing,,experimental,quiet_location,high,293,4,7,secondary_pathology,no_progress,no_improvement,0.6,True,unknown,,late_intervention,moll_ghosts,False,unique,similar_ghost_contamination,False,Recovery settlement,Northo,915,916,S. Moll,16,0.52,GC-0123,
RA-0048,Federation Recovery 42,FC-0178,federation_cancer,severe,restoration,surgery,"external_structure, horizon_expansion, navigation_recalibration",modified,quiet_location,high,36,5,1,none,plateau_then_breakthrough,full_recovery,99.6,False,low,patient_cooperation,,mord_federation,True,case_specific,broadly_applicable,True,Siege fields,Tower of Mirado,933,934,Archive Recovery Team,18,0.68,FC-0178,
RA-0049,Federation Recovery 639,NP-0005,navigation_pathology,severe,restoration,navigation_recalibration,"surgery, external_structure, social_reconnection",modified,time,extreme,994,2,2,,plateau_then_breakthrough,full_recovery,99.0,False,low,adequate_resources,,voss_navigation,True,case_specific,similar_navigation_pathology,False,Healing Institute,Capital,910,913,Indigenous Consultant,24,0.92,NP-0005,
RA-0050,Boundary Restoration Project 216,GC-0162,ghost_contamination,moderate,transformation,integration_assistance,"medication, ghost_clearance, observation_cessation",established,social_support,minimal,514,5,4,secondary_pathology,gradual_throughout,stabilization,46.4,False,moderate,,,moll_ghosts,False,case_specific,specific_conditions_only,False,Dens deep,Dens,920,922,Healing Institute Team,3,0.77,GC-0162,
RA-0051,Navigation Recalibration 945,GC-0015,ghost_contamination,moderate,transformation,pattern_editing,,modified,specialized_equipment,high,619,2,1,none,rapid_then_slow,partial_recovery,46.3,True,high,adequate_resources,,moll_ghosts,True,case_specific,limited_applicability,False,Sector SW-6,Dens boundary,910,912,Specialist Team,6,0.66,GC-0015,
RA-0052,Ghost Clearance Case 399,BD-0188,boundary_dissolution,severe,restoration,isolation,"ghost_clearance, surgery",established,time,moderate,81,5,2,side_effects,plateau_then_breakthrough,substantial_recovery,81.1,False,moderate,patient_cooperation,,tross_boundaries,True,highly_replicable,specific_conditions_only,False,Northern monastery,Northo,933,934,M. Strand,4,0.98,BD-0188,
RA-0053,Boundary Restoration Project 594,HS-0199,horizon_shrinkage,moderate,isolation,social_reconnection,"ghost_clearance, horizon_expansion",modified,quiet_location,moderate,1195,3,10,resource_exhaustion,oscillating,partial_recovery,52.5,True,moderate,early_intervention,,strand_horizons,False,case_specific,limited_applicability,False,Northern monastery,Northo,903,907,Indigenous Consultant,10,0.92,HS-0199,
RA-0054,Integration Attempt 888,BD-0199,boundary_dissolution,moderate,integration,boundary_reinforcement,"pattern_editing, relocation, medication",established,specialized_equipment,moderate,277,5,17,relapse,no_progress,no_improvement,1.8,True,high,,wrong_method,tross_boundaries,False,moderately_replicable,specific_conditions_only,False,Siege fields,Tower of Mirado,930,931,M. Strand,2,0.73,BD-0199,
RA-0055,Ghost Clearance Case 326,HS-0098,horizon_shrinkage,severe,reconstruction,medication,,established,collective_effort,extreme,269,1,2,none,linear_improvement,full_recovery,99.2,False,moderate,adequate_resources,,strand_horizons,True,highly_replicable,broadly_applicable,False,Mill vicinity,Yeller Quarry,897,898,Archive Recovery Team,22,0.78,HS-0098,
RA-0056,Substrate Repair 729,FC-0011,federation_cancer,moderate,reconstruction,external_structure,,established,skilled_healer,moderate,319,2,5,relapse,no_progress,no_improvement,17.9,True,very_high,,late_intervention,mord_federation,True,moderately_replicable,similar_federation_cancer,False,Northern approach,Tower of Mirado,922,923,Healing Institute Team,3,0.62,FC-0011,
RA-0057,Boundary Restoration Project 974,BD-0151,boundary_dissolution,catastrophic,restoration,pattern_editing,,experimental,collective_effort,high,43,4,20,relapse,no_progress,no_improvement,9.5,True,unknown,,irreversible_damage,tross_boundaries,False,unique,similar_boundary_dissolution,False,Camp settlements,Yeller Quarry,922,923,Specialist Team,9,0.59,BD-0151,
RA-0058,Garrett Rehabilitation,HS-0135,horizon_shrinkage,severe,restoration,social_reconnection,"relocation, boundary_reinforcement, trust_rebuilding",established,specialized_equipment,extreme,1865,2,1,relapse,oscillating,stabilization,20.7,True,moderate,,,strand_horizons,False,case_specific,limited_applicability,False,Trapper territory,Yeller Quarry,906,912,Strand Rehabilitation Center,23,0.7,HS-0135,
RA-0059,Navigation Recalibration 200,NP-0003,navigation_pathology,moderate,restoration,resonance_retuning,"horizon_expansion, relocation, social_reconnection",established,time,moderate,237,5,3,none,plateau_then_breakthrough,full_recovery,97.8,False,low,patient_cooperation,,voss_navigation,True,highly_replicable,broadly_applicable,False,Dissolution zone,Dens,895,896,Indigenous Consultant,7,0.79,NP-0003,
RA-0060,Horizon Expansion Program 969,NP-0164,navigation_pathology,mild,integration,external_structure,"medication, substrate_repair",modified,social_support,moderate,958,2,0,relapse,linear_improvement,full_recovery,99.1,False,low,matched_method,,voss_navigation,True,moderately_replicable,specific_conditions_only,True,Isolation community,Northo,891,894,Vorn Recovery Group,2,0.72,NP-0164,
RA-0061,Annex 993 Reconstruction,BD-0027,boundary_dissolution,moderate,adaptation,pattern_editing,,modified,social_support,moderate,926,2,0,none,linear_improvement,full_recovery,99.7,False,moderate,patient_cooperation,,tross_boundaries,True,case_specific,similar_boundary_dissolution,False,Western districts,Capital,923,926,Specialist Team,4,0.79,BD-0027,
RA-0062,Navigation Recalibration 254,FC-0044,federation_cancer,severe,adaptation,external_structure,"pattern_editing, horizon_expansion, social_reconnection",modified,social_support,moderate,208,1,3,none,no_progress,no_improvement,18.6,True,very_high,,ongoing_exposure,mord_federation,False,case_specific,specific_conditions_only,False,Mill vicinity,Yeller Quarry,890,891,Archive Recovery Team,3,0.88,FC-0044,
RA-0063,Garrett Rehabilitation,NP-0009,navigation_pathology,moderate,transformation,resonance_retuning,"surgery, pattern_editing, observation_cessation",established,social_support,high,201,1,5,side_effects,no_progress,no_improvement,3.7,False,unknown,,wrong_method,voss_navigation,True,case_specific,specific_conditions_only,False,Trapper territory,Yeller Quarry,933,934,Healing Institute Team,15,0.83,NP-0009,
RA-0064,Horizon Expansion Program 23,FC-0117,federation_cancer,moderate,restoration,surgery,boundary_reinforcement,modified,skilled_healer,moderate,885,2,6,side_effects,gradual_throughout,partial_recovery,45.5,True,moderate,matched_method,,mord_federation,True,case_specific,specific_conditions_only,False,Veteran settlement,Tower of Mirado,938,940,S. Moll,6,0.69,FC-0117,
RA-0065,Isolation Protocol 127,HS-0113,horizon_shrinkage,moderate,reconstruction,relocation,resonance_retuning,established,collective_effort,minimal,217,1,8,relapse,no_progress,no_improvement,10.8,True,very_high,,insufficient_resources,strand_horizons,False,case_specific,similar_horizon_shrinkage,False,Eastern fluctuation zone,Dens boundary,910,911,Strand Rehabilitation Center,4,0.89,HS-0113,
RA-0066,Substrate Repair 574,,multiple,severe,restoration,external_structure,"pattern_editing, observation_cessation, relocation",established,time,moderate,1025,1,2,none,oscillating,death_dissolution,0.0,True,high,,late_intervention,integrated,False,moderately_replicable,specific_conditions_only,False,Western approach,Dens boundary,934,937,S. Moll,7,0.76,,
RA-0067,Garrett Rehabilitation,BD-0163,boundary_dissolution,catastrophic,reconstruction,boundary_reinforcement,"resonance_retuning, trust_rebuilding, medication",established,skilled_healer,extreme,932,1,3,relapse,linear_improvement,substantial_recovery,72.7,True,moderate,early_intervention,,tross_boundaries,True,highly_replicable,limited_applicability,True,Dens deep,Dens,894,897,Field Healer,19,0.97,BD-0163,
RA-0068,Integration Attempt 633,NP-0129,navigation_pathology,severe,restoration,resonance_retuning,"boundary_reinforcement, observation_cessation, external_structure",modified,social_support,extreme,480,2,0,relapse,stepwise,full_recovery,95.5,False,low,adequate_resources,,voss_navigation,True,case_specific,similar_navigation_pathology,False,Southern perimeter,Dens boundary,924,926,Field Healer,39,0.98,NP-0129,
RA-0069,Isolation Protocol 853,BD-0112,boundary_dissolution,severe,reconstruction,boundary_reinforcement,"resonance_retuning, social_reconnection",established,time,extreme,1662,2,7,resource_exhaustion,rapid_then_slow,partial_recovery,62.5,True,high,patient_cooperation,,tross_boundaries,True,moderately_replicable,limited_applicability,False,Educational district,Densmok,932,937,Moll Research Team,19,0.69,BD-0112,
RA-0070,Federation Recovery 901,HS-0200,horizon_shrinkage,moderate,restoration,social_reconnection,"ghost_clearance, pattern_editing, surgery",established,skilled_healer,high,196,1,4,resource_exhaustion,no_progress,no_improvement,13.6,True,very_high,,ongoing_exposure,strand_horizons,True,moderately_replicable,similar_horizon_shrinkage,False,Healing Institute,Capital,918,919,Moll Research Team,8,0.76,HS-0200,
RA-0071,Horizon Expansion Program 918,FC-0152,federation_cancer,mild,reconstruction,external_structure,"surgery, substrate_repair",experimental,time,high,469,5,1,relapse,stepwise,substantial_recovery,76.2,True,low,early_intervention,,mord_federation,False,case_specific,similar_federation_cancer,False,Sector SW-6,Dens boundary,906,908,Strand Rehabilitation Center,15,0.68,FC-0152,
RA-0072,Boundary Restoration Project 754,GC-0170,ghost_contamination,severe,integration,pattern_editing,"ghost_clearance, navigation_recalibration",novel,time,extreme,1599,3,1,none,rapid_then_slow,partial_recovery,47.0,True,moderate,early_intervention,,moll_ghosts,True,case_specific,limited_applicability,False,Southern perimeter,Dens boundary,932,937,Moll Research Team,40,0.5,GC-0170,
RA-0073,Garrett Rehabilitation,NP-0180,navigation_pathology,moderate,reconstruction,navigation_recalibration,,established,skilled_healer,high,265,4,20,secondary_pathology,no_progress,no_improvement,12.0,True,high,,insufficient_resources,voss_navigation,True,moderately_replicable,limited_applicability,False,Veteran settlement,Tower of Mirado,935,936,Field Healer,17,0.84,NP-0180,
RA-0074,Horizon Expansion Program 356,BD-0152,boundary_dissolution,mild,integration,relocation,observation_cessation,established,social_support,moderate,516,5,9,side_effects,gradual_throughout,stabilization,43.2,False,moderate,,,tross_boundaries,False,case_specific,similar_boundary_dissolution,False,Quarry interior,Yeller Quarry,926,928,Indigenous Consultant,4,0.76,BD-0152,
RA-0075,Isolation Protocol 33,NP-0134,navigation_pathology,mild,integration,resonance_retuning,"horizon_expansion, pattern_editing, trust_rebuilding",established,social_support,moderate,1151,5,5,side_effects,oscillating,partial_recovery,47.4,True,moderate,adequate_resources,,voss_navigation,False,case_specific,specific_conditions_only,False,Eastern fluctuation zone,Dens boundary,900,904,Strand Rehabilitation Center,9,0.86,NP-0134,
RA-0076,Isolation Protocol 835,NP-0027,navigation_pathology,moderate,integration,navigation_recalibration,medication,modified,social_support,minimal,1452,3,2,none,gradual_throughout,stabilization,37.3,True,high,,,voss_navigation,True,moderately_replicable,similar_navigation_pathology,False,Camp settlements,Yeller Quarry,892,896,M. Strand,2,0.84,NP-0027,
