observation_id,date,data_source,observation,model_prediction,deviation_score,flag_raised,retrospective_note
OBS-0121,2020-11-20,faculty_report,No notable behavior,Pattern consistent with stable trajectory,-0.02,False,
OBS-0126,2020-11-25,social,Group discussion at fountain,Slight positive deviation,0.05,False,
OBS-0131,2020-11-30,faculty_report,Seemed distracted,Within normal variance,0.17,False,
OBS-0136,2020-12-04,faculty_report,Asked unusual questions about grading criteria,Pattern consistent with stable trajectory,-0.11,False,
OBS-0141,2020-12-09,attendance,Arrived 5 minutes late,Expected behavior for profile,0.02,False,
OBS-0146,2020-12-11,social,Observed at fountain with 2-3 others,Expected behavior for profile,-0.0,False,
OBS-0151,2020-12-16,attendance,Arrived 5 minutes late,Pattern consistent with stable trajectory,-0.05,False,
OBS-0156,2020-12-22,faculty_report,Seemed distracted,Pattern consistent with stable trajectory,0.06,False,
OBS-0161,2020-12-24,social,Brief conversation with AB-2201,Within normal variance,0.1,False,
OBS-0166,2020-12-30,faculty_report,No notable behavior,Pattern consistent with stable trajectory,0.13,False,
OBS-0171,2021-01-01,faculty_report,Engaged but reserved,Pattern consistent with stable trajectory,-0.14,False,
OBS-0176,2021-01-06,attendance,Attended scheduled class,Slight positive deviation,0.11,False,
OBS-0181,2021-01-12,faculty_report,Engaged but reserved,Within normal variance,-0.07,False,
OBS-0186,2021-01-14,cafeteria,"Meal alone, 20 minutes",Within normal variance,-0.02,False,
OBS-0191,2021-01-18,library,No library activity,Within normal variance,0.05,False,
OBS-0196,2021-01-20,library,No library activity,Pattern consistent with stable trajectory,-0.06,False,
OBS-0201,2021-01-25,attendance,Arrived 5 minutes late,Slight positive deviation,-0.06,False,
OBS-0206,2021-01-27,cafeteria,"Meal alone, 20 minutes",Expected behavior for profile,-0.07,False,
OBS-0211,2021-02-01,library,Study room reservation,Slight positive deviation,-0.01,False,
OBS-0216,2021-02-08,cafeteria,"Meal alone, 20 minutes",Within normal variance,-0.08,False,
OBS-0221,2021-02-10,cafeteria,Did not use cafeteria today,Pattern consistent with stable trajectory,0.04,False,
OBS-0226,2021-02-12,cafeteria,Group meal with fountain associates,Slight positive deviation,0.05,False,
OBS-0231,2021-02-16,faculty_report,Seemed distracted,Expected behavior for profile,0.05,False,
OBS-0236,2021-02-18,faculty_report,Participated in class discussion,Pattern consistent with stable trajectory,-0.1,False,
OBS-0241,2021-02-23,faculty_report,No notable behavior,Slight positive deviation,-0.1,False,
OBS-0246,2021-02-26,social,Observed at fountain with 2-3 others,Expected behavior for profile,0.03,False,
OBS-0251,2021-03-02,attendance,Attended scheduled class,Expected behavior for profile,0.06,False,
OBS-0256,2021-03-08,social,Observed at fountain with 2-3 others,Pattern consistent with stable trajectory,0.09,False,
OBS-0261,2021-03-10,attendance,Arrived 5 minutes late,Within normal variance,0.19,False,
OBS-0266,2021-03-15,attendance,Arrived 5 minutes late,Slight positive deviation,-0.01,False,
OBS-0271,2021-03-17,social,Group discussion at fountain,Expected behavior for profile,0.09,False,
OBS-0276,2021-03-22,social,Observed at fountain with 2-3 others,Slight positive deviation,-0.01,False,
OBS-0281,2021-03-26,library,"Library visit, 45 minutes",Pattern consistent with stable trajectory,-0.08,False,
OBS-0286,2021-03-30,faculty_report,No notable behavior,Within normal variance,0.06,False,
OBS-0291,2021-04-02,faculty_report,Engaged but reserved,Pattern consistent with stable trajectory,0.16,False,
OBS-0296,2021-04-07,attendance,Arrived 5 minutes late,Within normal variance,0.12,False,
OBS-0301,2021-04-13,cafeteria,Coffee only,Slight positive deviation,-0.07,False,
OBS-0306,2021-04-16,attendance,Did not attend scheduled session,Expected behavior for profile,0.09,False,
OBS-0311,2021-04-21,cafeteria,"Meal alone, 20 minutes",Slight positive deviation,0.1,False,
OBS-0316,2021-04-23,library,Checked out 1 item,Within normal variance,0.11,False,
OBS-0321,2021-04-28,attendance,Attended scheduled class,Within normal variance,0.07,False,
OBS-0326,2021-05-03,attendance,Attended scheduled class,Expected behavior for profile,0.08,False,
OBS-0331,2021-05-06,cafeteria,Did not use cafeteria today,Within normal variance,-0.07,False,
OBS-0336,2021-05-11,faculty_report,Engaged but reserved,Within normal variance,0.09,False,
OBS-0341,2021-05-14,library,Study room reservation,Expected behavior for profile,-0.05,False,
OBS-0346,2021-05-19,library,Checked out 1 item,Slight positive deviation,0.11,False,
OBS-0351,2021-05-21,cafeteria,Coffee only,Expected behavior for profile,0.08,False,
OBS-0356,2021-05-26,social,Brief conversation with AB-2201,Pattern consistent with stable trajectory,0.08,False,
OBS-0361,2021-06-01,faculty_report,Seemed distracted,Expected behavior for profile,0.05,False,
OBS-0366,2021-06-04,social,Group discussion at fountain,Slight positive deviation,0.03,False,
OBS-0371,2021-06-09,attendance,"Attended, sat in back row",Expected behavior for profile,0.15,False,
OBS-0376,2021-06-14,social,"Solitary, reading",Pattern consistent with stable trajectory,0.07,False,
OBS-0381,2021-06-18,faculty_report,Instructor K noted 'thoughtful contributions',Pattern consistent with stable trajectory,-0.0,False,
OBS-0386,2021-06-23,library,No library activity,Within normal variance,0.14,False,
OBS-0391,2021-06-29,faculty_report,Participated in class discussion,Expected behavior for profile,-0.08,False,
OBS-0396,2021-07-01,faculty_report,Asked unusual questions about grading criteria,Pattern consistent with stable trajectory,0.11,False,
OBS-0401,2021-07-02,faculty_report,Participated in class discussion,Slight positive deviation,0.14,False,
OBS-0406,2021-07-08,faculty_report,Instructor K noted 'thoughtful contributions',Expected behavior for profile,-0.09,False,
OBS-0411,2021-07-13,faculty_report,Asked unusual questions about grading criteria,Slight positive deviation,-0.09,False,
OBS-0416,2021-07-15,faculty_report,Asked unusual questions about grading criteria,Slight positive deviation,-0.13,False,
OBS-0421,2021-07-22,library,Study room reservation,Expected behavior for profile,0.07,False,
OBS-0426,2021-07-27,library,"Library visit, 45 minutes",Expected behavior for profile,-0.04,False,
OBS-0431,2021-08-02,attendance,Did not attend scheduled session,Slight positive deviation,-0.04,False,
OBS-0436,2021-08-06,social,Brief conversation with AB-2201,Within normal variance,0.05,False,
OBS-0441,2021-08-10,attendance,Attended scheduled class,Pattern consistent with stable trajectory,-0.06,False,
OBS-0446,2021-08-11,attendance,Arrived 5 minutes late,Within normal variance,0.15,False,
OBS-0451,2021-08-13,attendance,Arrived 5 minutes late,Slight positive deviation,0.18,False,
OBS-0456,2021-08-18,social,Group discussion at fountain,Within normal variance,-0.04,False,
OBS-0461,2021-08-23,social,Group discussion at fountain,Pattern consistent with stable trajectory,0.02,False,
OBS-0466,2021-08-26,faculty_report,Asked unusual questions about grading criteria,Expected behavior for profile,-0.04,False,
OBS-0471,2021-08-30,registration,Enrolled in introductory computing,Expected behavior for profile,-0.0,False,
OBS-0476,2021-09-02,cafeteria,Did not use cafeteria today,Slight positive deviation,0.08,False,
OBS-0481,2021-09-06,faculty_report,Participated in class discussion,Pattern consistent with stable trajectory,-0.12,False,
OBS-0486,2021-09-09,faculty_report,Instructor K noted 'thoughtful contributions',Expected behavior for profile,0.17,False,
OBS-0491,2021-09-14,cafeteria,Group meal with fountain associates,Pattern consistent with stable trajectory,0.09,False,
OBS-0496,2021-09-16,attendance,"Attended scheduled class, on time",ALERT: Pattern inconsistent with model,-0.21,False,Deliberate baseline establishment
