translation_id,densworld_term,category,ai_equivalent,genre_reference,artist_reference,period_reference,visual_keywords,color_guidance,texture_guidance,notes
STD-041,soft ambient,lighting,"diffuse light, gentle illumination, portrait lighting",Studio photography,Rembrandt lighting (soft),Historic-ongoing,"gentle direction, soft shadows, no harsh edges","slight warm/cool variation","subtle texture enhancement",Organic School standard
STD-042,Geometric-Cartographic Hybrid,hybrid_school,"technical terrain, precise topography, measured landscape",Scientific mapping,Modern GIS visualization,21st century,"clean lines with terrain treatment, precise but spatial","Geometric palette with elevation gradient","smooth terrain with clean boundaries",Basin Topology diagrams
STD-043,Organic-Notation Hybrid,hybrid_school,"annotated biology, labeled nature, scientific naturalism",Scientific illustration,Field guide illustration,19th-20th century,"flowing forms with precise labels, living diagrams","Organic palette with Notation labels","organic forms, clean label zones",Constellation Method diagrams
STD-044,Cartographic-Notation Hybrid,hybrid_school,"annotated map, labeled terrain, teaching cartography",Educational cartography,Atlas illustration,18th-20th century,"terrain with extensive annotation, map as textbook","Cartographic palette with Notation labels","parchment with clean label areas",Phase space annotation
STD-045,Kelleth Trove specification,specification_method,"detailed prompt, written image, systematic description",Prompt engineering concept,Modern AI prompting,21st century,"material grounding, institutional context, precision over impression","specified per prompt","specified per prompt",Ancestor of AI prompting
STD-046,major attractor (form),form_type,"stable state, basin minimum, equilibrium",Dynamical systems,Modern complexity science,21st century,"deep valley, convergence point, many trajectories entering","cool colors (blue, teal)","smooth, settled",High stability forms
STD-047,transitional form,form_type,"saddle point, unstable equilibrium, ridge line",Dynamical systems,Modern complexity science,21st century,"ridge, pass, trajectories pass through","yellow, neutral colors","smooth but elevated",Low stability forms
STD-048,unstable form,form_type,"peak, local maximum, repellor",Dynamical systems,Modern complexity science,21st century,"peak, trajectories flee from, danger zone","warm colors (orange, red)","sharp, dangerous",Very low stability forms
STD-049,Dens-interior form,form_type,"chaos, dissolution, breakdown",Abstract expressionism,Abstract crisis art,20th century,"fragmented, uncertain boundaries, dissolution quality","dark, murky, uncertain","broken, fragmented texture",Near-zero stability
STD-050,creature specimen,illustration_purpose,"taxonomic plate, species description, identification key",Natural history,Audubon/Gould bird plates,19th century scientific,"side view, scale bar, key features labeled","limited naturalistic","precise detail",Archive documentation
