trajectory_id,entity_id,entity_name,start_basin,end_basin,start_form,end_form,duration,steps,path_type,success,notes
ET-026,ENT-026,Ridge Walker,BA-018,BA-035,FL-018,FL-035,15,20,transitional,True,Ridge navigation successful
ET-027,ENT-027,Basin Hopper,BA-001,BA-003,FL-001,FL-004,60,30,crossing,True,Multiple basin transition
ET-028,ENT-028,Stable Core,BA-126,BA-126,FL-126,FL-126,365,0,stable,True,Year-long stability observed
ET-029,ENT-029,Unstable Entity,BA-007,BA-022,FL-007,FL-022,5,12,chaotic,False,Failed to stabilize
ET-030,ENT-030,Dens Adjacent,BA-022,BA-078,FL-022,FL-078,10,18,boundary,False,Lost to dens region
ET-031,ENT-031,Edge Dancer,BA-100,BA-100,FL-100,FL-100,30,45,creative,True,Maintained edge state
ET-032,ENT-032,Returning Migrant,BA-079,BA-099,FL-079,FL-099,180,75,annual,True,Post-migration rest
ET-033,ENT-033,Colony Split,BA-024,BA-024,FL-024,FL-092,14,20,social,True,Colony dispersal trajectory
ET-034,ENT-034,Reunion Path,BA-092,BA-024,FL-092,FL-024,21,28,social,True,Post-dispersal reunion
ET-035,ENT-035,Teaching Pair,BA-091,BA-128,FL-091,FL-128,90,50,developmental,True,Teaching to learning cycle
ET-036,ENT-036,Defensive Cluster,BA-096,BA-099,FL-096,FL-099,2,8,emergency,True,Post-defense baseline return
ET-037,ENT-037,Submission Path,BA-089,BA-097,FL-089,FL-097,1,4,social,True,Challenge to submission
ET-038,ENT-038,Dominance Rise,BA-097,BA-118,FL-097,FL-118,30,22,social,True,Submission to dominance
ET-039,ENT-039,Alarm Response,BA-084,BA-094,FL-084,FL-094,0.5,3,emergency,True,Warning to panic chain
ET-040,ENT-040,Calm Return,BA-094,BA-101,FL-094,FL-101,4,10,recovery,True,Panic to calm trajectory
ET-041,ENT-041,Circadian Lock,BA-108,BA-052,FL-108,FL-052,24,8,daily,True,Day-night full cycle
ET-042,ENT-042,Seasonal Shift,BA-112,BA-011,FL-112,FL-011,30,25,seasonal,True,Seasonal to dormancy
ET-043,ENT-043,Awakening Path,BA-011,BA-125,FL-011,FL-125,7,15,seasonal,True,Dormancy exit trajectory
ET-044,ENT-044,Growth Trajectory,BA-138,BA-140,FL-138,FL-140,365,120,developmental,True,Infant to child development
ET-045,ENT-045,Maturation Path,BA-140,BA-099,FL-140,FL-099,730,200,developmental,True,Child to adult trajectory
ET-046,ENT-046,Aging Path,BA-099,BA-101,FL-099,FL-101,3650,500,aging,True,Adult to elder trajectory
ET-047,ENT-047,End of Life,BA-101,BA-000,FL-101,FL-000,14,25,terminal,True,Terminal trajectory
ET-048,ENT-048,Crisis Recovery,BA-122,BA-123,FL-122,FL-123,60,40,recovery,True,Regression recovery
ET-049,ENT-049,Trained Transition,BA-127,BA-180,FL-127,FL-180,90,55,training,True,Training-induced trajectory
ET-050,ENT-050,Spontaneous Shift,BA-118,BA-119,FL-118,FL-119,30,35,emergence,True,Unexpected level transition
