case_id,case_name,ghost_id,ghost_age_years,ghost_strength,ghost_source,target_type,target_vulnerability,contamination_type,contamination_severity,contamination_extent,primary_symptom,symptom_pattern,function_impact,trigger,enabling_conditions,dens_proximity_km,outcome,target_survived,ghost_status_after,treatment_attempted,treatment_type,treatment_success,location,region,observation_year,observer,moll_classification,confidence,cross_reference,notes
GC-0042,Boundary Ghost 15,GO-0242,63,0.71,prior_occupant,creature,weak_boundaries,boundary_erosion,overwhelming,0.97,boundary_fluctuation,intermittent,disabling,spontaneous,dens_proximity,71.0,cleared,True,dissipated,True,boundary_strengthening,successful,Camp settlements,Yeller Quarry,898,S. Moll,unclassified,0.51,BD-0156,
GC-0043,Development Derailment Case 78,,13,0.69,dissolved_entity,creature,resonance_overlap,behavior_overlay,severe,0.5,inappropriate_behaviors,progressive,disabling,resonance_alignment,developmental_window,164.8,ongoing,True,unchanged,True,boundary_strengthening,partial,Healing Institute,Capital,928,Archive Records,Type_II_overlay,0.8,,
GC-0044,Predecessor Pattern Intrusion 49,GO-0034,430,0.13,departed_collective,creature,unknown,behavior_overlay,moderate,0.34,inappropriate_behaviors,oscillating,disabling,form_similarity,developmental_window,152.1,integration,True,integrated,True,ghost_clearance,successful,Siege fields,Tower of Mirado,939,S. Moll,Type_II_overlay,0.51,,
GC-0045,Archive Memory Corruption 26,GO-0085,362,0.23000000000000004,incomplete_manifestation,creature,developmental_stage,development_derailment,mild,0.17,developmental_anomaly,triggered,noticeable,spontaneous,dens_proximity,226.9,cleared,True,dissipated,False,none,not_attempted,Healing Institute,Capital,894,K. Vorn,unclassified,0.62,,
GC-0046,Third Mill Haunting,,161,0.33,dissolved_entity,individual,developmental_stage,behavior_overlay,overwhelming,0.83,inappropriate_behaviors,progressive,disabling,developmental_opening,dens_proximity,138.3,coexistence,True,unchanged,True,pattern_editing,successful,Trapper territory,Yeller Quarry,896,Moll Research Team,Type_II_overlay,0.5,,
GC-0047,Third Mill Haunting,GO-0047,357,0.3,prior_occupant,individual,resonance_overlap,identity_intrusion,overwhelming,0.92,foreign_memories,constant,disabling,boundary_weakening,weak_boundaries,80.1,cleared,True,dissipated,False,none,not_attempted,Trapper territory,Yeller Quarry,914,Pattern Study Group,Type_III_intrusion,0.94,,
GC-0048,Development Derailment Case 61,GO-0187,311,0.37000000000000005,prior_occupant,creature,weak_boundaries,boundary_erosion,mild,0.13,boundary_fluctuation,intermittent,noticeable,spontaneous,thin_barriers,57.9,ongoing,True,unchanged,True,integration_assistance,failed,Quarry Sector 7,Yeller Quarry,897,Archive Records,unclassified,0.94,BD-0186,
GC-0049,Settlement 71 Contamination,GO-0114,298,0.36000000000000004,incomplete_manifestation,institution,location_occupation,behavior_overlay,trace,0.05,inappropriate_behaviors,progressive,minimal,form_similarity,developmental_window,58.6,ongoing,True,unchanged,True,isolation,failed,Northern workings,Yeller Quarry,932,Archive Records,Type_I_trace,0.9,,
GC-0050,Settlement 89 Contamination,GO-0055,77,0.83,prior_occupant,creature,developmental_stage,identity_intrusion,severe,0.71,foreign_memories,progressive,catastrophic,boundary_weakening,substrate_match,128.4,coexistence,True,unchanged,True,isolation,successful,Camp settlements,Yeller Quarry,929,K. Vorn,Type_III_intrusion,0.83,,
GC-0051,Boundary Ghost 94,GO-0121,73,0.79,dissolved_entity,individual,similar_form,memory_corruption,trace,0.06,memory_confusion,constant,minimal,form_similarity,weak_boundaries,199.7,coexistence,True,unchanged,False,none,not_attempted,Healing Institute,Capital,910,Third Mill Commission,Type_I_trace,0.59,,
GC-0052,Identity Confusion Case 14,GO-0055,383,0.3,prior_occupant,colony,resonance_overlap,memory_corruption,moderate,0.39,memory_confusion,constant,noticeable,location_occupation,developmental_window,110.2,ongoing,True,unchanged,True,isolation,partial,Tower base,Tower of Mirado,903,Moll Research Team,Type_III_intrusion,0.82,,
GC-0053,Boundary Ghost 39,,224,0.24,dissolved_entity,colony,unknown,behavior_overlay,overwhelming,0.93,inappropriate_behaviors,progressive,catastrophic,spontaneous,thin_barriers,9.2,coexistence,True,unchanged,False,none,not_attempted,Southern perimeter,Dens boundary,940,Moll Research Team,Type_II_overlay,0.96,,
GC-0054,Identity Confusion Case 47,,76,0.28,failed_ingression,individual,similar_form,behavior_overlay,mild,0.13,inappropriate_behaviors,oscillating,noticeable,location_occupation,weak_boundaries,21.0,cleared,True,dissipated,True,pattern_editing,successful,Sector NE-4,Dens boundary,938,S. Moll,Type_II_overlay,0.96,,
GC-0055,Mill Worker 30 Ghost Overlay,GO-0119,227,0.32,failed_ingression,creature,developmental_stage,memory_corruption,trace,0.09,memory_confusion,constant,noticeable,boundary_weakening,dens_proximity,243.9,cleared,True,dissipated,True,relocation,successful,Scholar's Quarter,Capital,920,Pattern Study Group,Type_I_trace,0.75,,
GC-0056,Development Derailment Case 26,,484,0.25000000000000006,departed_collective,institution,unknown,memory_corruption,mild,0.13,memory_confusion,constant,minimal,spontaneous,substrate_match,159.6,ongoing,True,unchanged,True,relocation,failed,Northern approach,Tower of Mirado,933,S. Moll,Type_III_intrusion,0.67,,
GC-0057,Archive Memory Corruption 82,GO-0229,319,0.69,prior_occupant,individual,developmental_stage,form_distortion,overwhelming,0.84,structural_anomaly,intermittent,catastrophic,form_similarity,developmental_window,133.2,ongoing,True,unchanged,True,boundary_strengthening,partial,Camp settlements,Yeller Quarry,905,Pattern Study Group,unclassified,0.59,,
GC-0058,Identity Confusion Case 37,GO-0094,64,0.99,dissolved_entity,creature,similar_form,navigation_interference,mild,0.19,navigation_errors,triggered,noticeable,developmental_opening,dens_proximity,88.5,ongoing,True,unchanged,False,none,not_attempted,Mill vicinity,Yeller Quarry,914,Third Mill Commission,unclassified,0.86,,
GC-0059,Predecessor Pattern Intrusion 69,GO-0137,333,0.1,dissolved_entity,institution,location_occupation,behavior_overlay,mild,0.13,inappropriate_behaviors,oscillating,minimal,boundary_weakening,substrate_match,102.8,ongoing,True,unchanged,True,boundary_strengthening,failed,Suburban zone,Densmok,910,Indigenous Consultant,Type_II_overlay,0.76,,
GC-0060,Development Derailment Case 4,GO-0055,463,0.84,prior_occupant,colony,weak_boundaries,identity_intrusion,overwhelming,0.84,foreign_memories,progressive,disabling,developmental_opening,weak_boundaries,11.1,ongoing,True,unchanged,False,none,not_attempted,Sector SW-6,Dens boundary,920,K. Vorn,Type_III_intrusion,1.0,,
GC-0061,Mill Worker 58 Ghost Overlay,GO-0157,102,0.46,failed_ingression,colony,developmental_stage,memory_corruption,mild,0.15,memory_confusion,constant,minimal,resonance_alignment,dens_proximity,92.0,mutual_dissolution,False,dissipated,True,isolation,harmful,Camp settlements,Yeller Quarry,930,S. Moll,Type_III_intrusion,0.79,,
GC-0062,Predecessor Pattern Intrusion 73,,141,0.6599999999999999,prior_occupant,creature,weak_boundaries,boundary_erosion,mild,0.22,boundary_fluctuation,constant,minimal,form_similarity,thin_barriers,101.0,mutual_dissolution,False,dissipated,True,integration_assistance,failed,Tower base,Tower of Mirado,919,S. Moll,unclassified,0.83,BD-0161,
GC-0063,Development Derailment Case 71,GO-0001,224,0.35,failed_ingression,place,similar_form,behavior_overlay,overwhelming,0.81,inappropriate_behaviors,oscillating,catastrophic,boundary_weakening,dens_proximity,0.4,cleared,True,dissipated,True,ghost_clearance,successful,Dens interior,Dens,917,Moll Research Team,Type_II_overlay,0.56,,
GC-0064,Settlement 35 Contamination,,341,0.1,prior_occupant,individual,weak_boundaries,form_distortion,trace,0.08,structural_anomaly,constant,noticeable,spontaneous,substrate_match,57.1,integration,True,integrated,True,relocation,successful,Camp settlements,Yeller Quarry,940,K. Vorn,Type_I_trace,0.67,,
GC-0065,Navigation Interference 30,,354,0.21000000000000002,prior_occupant,pattern,similar_form,behavior_overlay,moderate,0.28,inappropriate_behaviors,constant,disabling,spontaneous,substrate_match,187.9,integration,True,integrated,True,boundary_strengthening,successful,Archive vicinity,Capital,899,Archive Records,Type_II_overlay,0.53,,
GC-0066,Identity Confusion Case 25,GO-0080,79,0.11,dissolved_entity,individual,weak_boundaries,identity_intrusion,severe,0.73,foreign_memories,triggered,catastrophic,resonance_alignment,weak_boundaries,242.4,cleared,True,dissipated,False,none,not_attempted,Western districts,Capital,896,K. Vorn,Type_III_intrusion,0.8,,
GC-0067,Mill Worker 57 Ghost Overlay,GO-0043,432,0.26000000000000006,dissolved_entity,individual,location_occupation,behavior_overlay,mild,0.2,inappropriate_behaviors,intermittent,noticeable,location_occupation,thin_barriers,219.1,mutual_dissolution,False,dissipated,True,integration_assistance,harmful,Archive vicinity,Capital,933,S. Moll,Type_II_overlay,0.56,,
GC-0068,Settlement 62 Contamination,GO-0044,472,0.56,prior_occupant,colony,similar_form,memory_corruption,overwhelming,0.82,memory_confusion,constant,catastrophic,boundary_weakening,substrate_match,92.9,coexistence,True,unchanged,False,none,not_attempted,Mill vicinity,Yeller Quarry,928,Pattern Study Group,Type_III_intrusion,0.65,,
GC-0069,Identity Confusion Case 42,GO-0134,471,0.1,dissolved_entity,creature,developmental_stage,identity_intrusion,trace,0.1,foreign_memories,triggered,minimal,resonance_alignment,developmental_window,225.2,coexistence,True,unchanged,False,none,not_attempted,Archive vicinity,Capital,937,Indigenous Consultant,Type_I_trace,0.75,,
GC-0070,Colony 64 Prior Occupant,GO-0232,461,0.25000000000000006,incomplete_manifestation,creature,developmental_stage,navigation_interference,moderate,0.29,navigation_errors,constant,noticeable,developmental_opening,substrate_match,60.2,cleared,True,dissipated,True,isolation,successful,Quarry interior,Yeller Quarry,923,Third Mill Commission,unclassified,0.94,,
GC-0071,Mill Worker 17 Ghost Overlay,,199,0.1,incomplete_manifestation,place,resonance_overlap,identity_intrusion,severe,0.63,foreign_memories,intermittent,disabling,form_similarity,thin_barriers,98.3,integration,True,integrated,False,none,not_attempted,Northern workings,Yeller Quarry,920,Pattern Study Group,Type_III_intrusion,0.95,,
GC-0072,Mill Worker 65 Ghost Overlay,GO-0246,51,0.38,failed_ingression,institution,location_occupation,identity_intrusion,severe,0.76,foreign_memories,triggered,disabling,resonance_alignment,thin_barriers,151.3,mutual_dissolution,False,dissipated,True,boundary_strengthening,harmful,Tower base,Tower of Mirado,927,Third Mill Commission,Type_III_intrusion,0.82,,
GC-0073,Navigation Interference 38,GO-0193,18,0.4,failed_ingression,colony,location_occupation,form_distortion,mild,0.23,structural_anomaly,progressive,minimal,spontaneous,developmental_window,239.1,cleared,True,dissipated,False,none,not_attempted,Capital outskirts,Capital,909,K. Vorn,unclassified,0.59,,
GC-0074,Colony 19 Prior Occupant,GO-0018,429,0.1,prior_occupant,individual,unknown,navigation_interference,mild,0.12,navigation_errors,progressive,minimal,location_occupation,dens_proximity,53.8,integration,True,integrated,False,none,not_attempted,Northern workings,Yeller Quarry,911,K. Vorn,unclassified,0.59,,
GC-0075,Predecessor Pattern Intrusion 7,GO-0148,227,0.51,departed_collective,individual,weak_boundaries,memory_corruption,mild,0.24,memory_confusion,progressive,noticeable,resonance_alignment,dens_proximity,128.4,mutual_dissolution,False,dissipated,True,pattern_editing,harmful,Coder quarter,Densmok,901,Moll Research Team,Type_III_intrusion,0.78,,
GC-0076,Mill Worker 15 Ghost Overlay,GO-0131,130,0.47,dissolved_entity,colony,unknown,behavior_overlay,mild,0.15,inappropriate_behaviors,oscillating,minimal,location_occupation,weak_boundaries,29.5,mutual_dissolution,False,dissipated,True,relocation,failed,Sector NE-4,Dens boundary,897,Third Mill Commission,Type_II_overlay,0.54,,
GC-0077,Identity Confusion Case 8,GO-0215,99,0.56,prior_occupant,creature,weak_boundaries,memory_corruption,moderate,0.46,memory_confusion,oscillating,disabling,form_similarity,substrate_match,11.3,target_death,False,unchanged,True,pattern_editing,harmful,Sector SW-6,Dens boundary,901,Indigenous Consultant,Type_III_intrusion,0.75,,
GC-0078,Third Mill Haunting,,386,0.48000000000000004,prior_occupant,individual,location_occupation,form_distortion,severe,0.52,structural_anomaly,triggered,catastrophic,resonance_alignment,substrate_match,53.7,target_death,False,unchanged,True,relocation,harmful,Camp settlements,Yeller Quarry,897,Archive Records,unclassified,0.52,,
GC-0079,Settlement 45 Contamination,GO-0223,106,0.21000000000000002,unknown,individual,resonance_overlap,development_derailment,overwhelming,0.94,developmental_anomaly,triggered,disabling,form_similarity,developmental_window,153.0,coexistence,True,unchanged,True,isolation,partial,Capital proper,Capital,939,S. Moll,unclassified,0.68,,
GC-0080,Mill Worker 36 Ghost Overlay,GO-0174,361,0.1,dissolved_entity,individual,location_occupation,identity_intrusion,overwhelming,0.9,foreign_memories,triggered,catastrophic,boundary_weakening,weak_boundaries,177.1,coexistence,True,unchanged,True,integration_assistance,successful,Archive vicinity,Capital,890,Indigenous Consultant,Type_III_intrusion,0.55,,
GC-0081,Navigation Interference 69,,394,0.42,incomplete_manifestation,pattern,location_occupation,memory_corruption,trace,0.02,memory_confusion,constant,minimal,developmental_opening,weak_boundaries,230.7,ongoing,True,unchanged,False,none,not_attempted,Capital proper,Capital,924,Moll Research Team,Type_I_trace,0.71,,
GC-0082,Boundary Ghost 80,GO-0227,385,0.47000000000000003,failed_ingression,individual,resonance_overlap,identity_intrusion,moderate,0.39,foreign_memories,progressive,disabling,form_similarity,substrate_match,146.0,cleared,True,dissipated,False,none,not_attempted,Suburban zone,Densmok,893,Indigenous Consultant,Type_III_intrusion,0.88,,
GC-0083,Mill Worker 81 Ghost Overlay,,84,0.41,prior_occupant,colony,weak_boundaries,behavior_overlay,mild,0.13,inappropriate_behaviors,constant,minimal,developmental_opening,developmental_window,24.3,cleared,True,dissipated,True,ghost_clearance,successful,Sector NE-4,Dens boundary,910,Moll Research Team,Type_II_overlay,0.67,,
GC-0084,Third Mill Haunting,GO-0076,86,0.11,dissolved_entity,colony,weak_boundaries,boundary_erosion,severe,0.52,boundary_fluctuation,triggered,disabling,developmental_opening,dens_proximity,148.5,ongoing,True,unchanged,True,ghost_clearance,partial,Veteran settlement,Tower of Mirado,903,S. Moll,unclassified,0.67,BD-0199,
GC-0085,Mill Worker 77 Ghost Overlay,GO-0162,472,0.1,failed_ingression,colony,weak_boundaries,behavior_overlay,severe,0.63,inappropriate_behaviors,triggered,catastrophic,form_similarity,developmental_window,186.4,integration,True,integrated,True,ghost_clearance,partial,Siege fields,Tower of Mirado,905,Indigenous Consultant,Type_II_overlay,0.65,,
GC-0086,Archive Memory Corruption 76,GO-0073,408,0.1,failed_ingression,creature,location_occupation,development_derailment,mild,0.16,developmental_anomaly,constant,noticeable,developmental_opening,substrate_match,241.8,mutual_dissolution,False,dissipated,True,isolation,harmful,Archive vicinity,Capital,926,Third Mill Commission,unclassified,0.77,,
