case_id,case_name,year,domain,vorn_classification,primary_symptom,secondary_symptoms,root_cause_identified,root_cause_type,intervention_attempted,intervention_type,intervention_outcome,correctly_classified,jackson_related,notes
FC-0015,Destination Paradox Instance A,1859,navigation,destination_paradox,arrival_uncertainty,gradient_zero|local_minimum,True,non_convex_landscape,True,random_restart,successful,True,False,Rellen Voss documented
FC-0016,Trust Cascade Failure,1877,federation,trust_collapse,rapid_defection,reputation_destruction|cooperation_end,True,betrayal_event,False,none,none,True,False,Single betrayal triggered cascade
FC-0017,Unknown Entity Classification,1863,classification,classification_failure,entity_unclassifiable,all_categories_fail|confidence_zero,False,unknown,False,none,none,True,False,Pre-Jackson unclassifiable
FC-0018,Partial Ingression,1875,ingression,incomplete_manifestation,hybrid_state,neither_form_nor_matter|unstable_existence,True,process_interruption,True,completion_attempt,failed,True,False,Stuck between states
FC-0019,Basin Edge Instability,1854,boundary,boundary_dissolution,edge_flutter,state_uncertainty|transition_chaos,True,measurement_effect,True,observation_reduction,successful,True,False,Prebel Effect related
FC-0020,Collective Memory Failure,1879,memory,shared_memory_loss,group_forgetting,reinforcement_failure|isolation,True,network_disruption,True,reconnection,successful,True,False,Federation memory case
FC-0021,Gradient Reversal,1861,navigation,gradient_inversion,movement_away_from_goal,sign_error|attractive_repulsion,True,field_polarity_shift,True,wait_and_retry,successful,True,False,Temporary gradient anomaly
FC-0022,Faction Federation Collapse,1881,federation,total_dissolution,federation_ends,all_components_defect|trust_zero,True,accumulated_grievances,False,none,none,True,False,Complete dissolution case
FC-0023,Species Misidentification,1865,classification,category_error,wrong_species,morphological_similarity|behavioral_difference,True,convergent_evolution,True,behavioral_criteria,successful,True,False,Pollus Brent documented
FC-0024,Ingression Cascade,1883,ingression,runaway_manifestation,over_materialization,control_loss|resource_depletion,True,feedback_loop,True,damping,partial_recovery,True,False,Too much form became matter
FC-0025,Multi-Basin Instability,1856,boundary,cascading_collapse,sequential_basin_failure,chain_reaction|domino_effect,True,resonance_coupling,True,isolation_protocol,failed,True,False,Basins coupled and failed together
FC-0026,Memory Contamination,1885,memory,pattern_interference,false_memories,cross_contamination|source_confusion,True,encoding_overlap,True,isolation_recall,partial_recovery,True,False,Two memories merged incorrectly
FC-0027,Lost Surveyor Case,1863,navigation,path_loss,surveyor_vanished,route_unknown|destination_unknown,False,unknown,True,search_expedition,failed,True,False,Never found the surveyor
FC-0028,Council Federation Deadlock,1887,federation,decision_paralysis,no_consensus,equal_opposition|trust_standoff,True,symmetric_distrust,True,external_arbiter,successful,True,False,Archive Council case
FC-0029,Creature Type Error,1867,classification,category_error,maw_beast_misclassified,crawler_confusion|size_mismatch,True,juvenile_specimen,True,age_criteria,successful,True,False,Young maw beast looked like crawler
FC-0030,Silent Ingression,1889,ingression,undetected_manifestation,form_appeared_unnoticed,detection_failure|gradual_emergence,False,unknown,False,none,none,True,False,Form materialized without warning
FC-0031,Jackson Classification Attempt A,1847,classification,classification_failure,total_failure,all_methods_fail|confidence_collapse,False,reflexive_subject,False,none,none,False,True,First documented Jackson failure
FC-0032,Basin Bifurcation Crisis,1858,boundary,spontaneous_bifurcation,basin_split,sudden_division|identity_fork,True,critical_threshold,False,none,none,True,False,Vornis Keth documented
FC-0033,Archive Memory Corruption,1891,memory,data_corruption,record_altered,unauthorized_change|integrity_loss,True,malicious_intervention,True,restoration,successful,True,False,Possible Mink Pavar related
FC-0034,Circular Navigation,1865,navigation,loop_detection,endless_circuit,gradient_loop|destination_unreachable,True,topology_trick,True,path_breaking,successful,True,False,Path curved back on itself
FC-0035,Small Federation Instability,1893,federation,threshold_failure,federation_too_small,critical_mass_not_met|vulnerability,True,insufficient_members,True,merger,successful,True,False,Two-member federation failed
FC-0036,Archetype Overlap Case,1869,classification,boundary_ambiguity,dual_archetype_fit,category_overlap|uncertain_assignment,True,continuous_variation,True,probabilistic_classification,successful,True,False,Between two archetypes
FC-0037,Failed Ingression Recovery,1895,ingression,reversal_failure,cannot_un_manifest,permanence|irreversibility,True,threshold_crossed,False,none,none,True,False,Form stuck in matter
FC-0038,Basin Observation Collapse,1860,boundary,measurement_collapse,observed_basin_destabilized,prebel_effect|observer_influence,True,observation_intensity,True,remote_observation,successful,True,False,Classic Prebel Effect case
FC-0039,Selective Memory Loss,1897,memory,targeted_forgetting,specific_patterns_lost,selective_decay|traumatic_erasure,True,emotional_block,True,therapy_equivalent,partial_recovery,True,False,Only certain memories affected
FC-0040,Gradient Discontinuity,1867,navigation,gradient_jump,impossible_step,infinite_gradient|singularity,True,landscape_singularity,True,circumnavigation,successful,True,False,Had to go around the discontinuity
FC-0041,Hostile Takeover Federation,1899,federation,power_asymmetry,dominant_member_control,fairness_violation|exploitation,True,resource_imbalance,True,regulation,partial_recovery,True,False,One member controlled all others
FC-0042,False Positive Classification,1871,classification,false_positive,non_existent_category_assigned,overclassification|noise_as_signal,True,pattern_matching_error,True,threshold_adjustment,successful,True,False,Saw pattern that wasn't there
FC-0043,Unstable Ingression,1901,ingression,oscillating_manifestation,form_flickers,in_out_of_existence|phase_instability,True,substrate_oscillation,True,stabilization,successful,True,False,Form kept appearing and disappearing
FC-0044,Jackson Classification Attempt B,1851,classification,classification_failure,total_failure,methods_fail_differently|inconsistent_results,False,reflexive_subject,False,none,none,False,True,Second Jackson failure
FC-0045,Twin Basin Resonance,1862,boundary,coupled_oscillation,basins_sync_incorrectly,forced_harmony|natural_frequency_override,True,resonance_lock,True,detuning,successful,True,False,Two basins locked in phase
FC-0046,Memory Reinforcement Failure,1903,memory,reinforcement_ineffective,practice_not_helping,encoding_block|ceiling_effect,True,saturation,True,rest_period,successful,True,False,Couldn't strengthen memory further
FC-0047,Step Size Crisis,1869,navigation,step_size_error,massive_overshoot,destination_missed|momentum_excess,True,step_size_too_large,True,smaller_steps,successful,True,False,Overshot destination by miles
FC-0048,Information Asymmetry Collapse,1905,federation,trust_collapse,hidden_information_revealed,surprise_defection|confidence_loss,True,secret_keeping,True,transparency_protocol,successful,True,False,Secret information caused collapse
FC-0049,Null Classification,1873,classification,null_result,no_classification_possible,confidence_zero|evidence_insufficient,True,data_scarcity,True,additional_observation,successful,True,False,Not enough data to classify
FC-0050,Rapid Ingression,1907,ingression,speed_anomaly,instantaneous_manifestation,no_warning|preparation_failure,True,threshold_sensitivity,True,early_warning_system,successful,True,False,Form appeared too fast
FC-0051,Basin Phase Reversal,1864,boundary,phase_inversion,breathing_reversed,expansion_contraction_swap|rhythm_disruption,True,external_forcing,True,phase_correction,successful,True,False,Basin breathed backwards
FC-0052,False Memory Implant,1909,memory,memory_fabrication,non_experienced_memory,suggestion_susceptibility|source_monitoring_failure,True,external_suggestion,True,verification_protocol,partial_recovery,True,False,Believed something that never happened
FC-0053,Jackson Movement Prediction,1855,navigation,prediction_failure,movement_unpredictable,all_models_fail|random_appearance,False,reflexive_subject,False,none,none,False,True,Jackson defied movement prediction
FC-0054,Trust Oscillation,1911,federation,trust_instability,trust_level_fluctuates,cooperation_chaos|unpredictable_alliances,True,information_timing,True,regular_communication,successful,True,False,Trust kept changing
FC-0055,Hierarchical Classification Failure,1875,classification,hierarchy_violation,entity_at_wrong_level,TAME_level_error|complexity_misjudged,True,emergence_underestimated,True,level_reassessment,successful,True,False,Pell Anster documented
FC-0056,Prolonged Ingression,1913,ingression,slow_manifestation,years_to_materialize,patience_tested|uncertainty_prolonged,True,substrate_resistance,False,none,none,True,False,Form took decades to appear
FC-0057,Basin Depth Change,1866,boundary,depth_instability,basin_deepened_unexpectedly,attractor_strength_change|stability_shift,True,structural_change,True,remapping,successful,True,False,Basin got deeper
FC-0058,Recall Interference,1915,memory,retrieval_failure,cant_access_memory,storage_intact_access_blocked|tip_of_tongue,True,retrieval_cue_missing,True,cue_provision,successful,True,False,Memory there but unreachable
FC-0059,Multi-Destination Confusion,1871,navigation,destination_ambiguity,multiple_valid_destinations,gradient_branching|choice_paralysis,True,non_unique_solution,True,constraint_addition,successful,True,False,Too many valid destinations
FC-0060,Federation Free Rider,1917,federation,exploitation,member_not_contributing,resource_drain|unfair_benefit,True,monitoring_failure,True,contribution_tracking,successful,True,False,One member took without giving
FC-0061,Cross-Domain Classification,1877,classification,domain_error,wrong_domain_applied,navigation_vs_memory|framework_mismatch,True,analyst_error,True,domain_verification,successful,True,False,Used wrong analytical framework
FC-0062,Ingression Rejection Cascade,1919,ingression,multiple_rejection,form_rejected_from_all_substrates,universal_incompatibility|homeless_form,False,unknown,True,substrate_search,failed,True,False,Form couldn't manifest anywhere
FC-0063,Hysteresis Boundary,1868,boundary,path_dependence,different_entry_exit_boundaries,hysteresis_effect|history_dependence,True,system_memory,False,none,none,True,False,Boundary depended on direction
FC-0064,Jackson Archetype Assignment,1859,classification,classification_failure,archetype_impossible,all_archetypes_rejected|system_crash,False,reflexive_subject,False,none,none,False,True,Lurra Venn system failed on Jackson
FC-0065,Encoding Failure,1921,memory,storage_failure,memory_not_formed,attention_failure|encoding_block,True,distraction,True,focused_attention,successful,True,False,Experience not encoded properly
FC-0066,Oscillating Destination,1873,navigation,moving_target,destination_changes,adaptive_adversary|goal_shift,True,dynamic_target,True,predictive_approach,partial_recovery,True,False,Destination kept moving
FC-0067,Coalition Formation Failure,1923,federation,formation_failure,federation_never_forms,trust_insufficient|risk_too_high,True,initial_conditions,True,incremental_trust,successful,True,False,Couldn't get federation started
FC-0068,Classification Confidence Collapse,1879,classification,confidence_crash,high_to_zero_confidence,disconfirming_evidence|belief_revision,True,new_evidence,False,none,none,True,False,New evidence destroyed confidence
FC-0069,Substrate Exhaustion,1925,ingression,resource_depletion,substrate_used_up,over_manifestation|unsustainable,True,demand_supply_mismatch,True,substrate_renewal,partial_recovery,True,False,Ran out of matter for forms
FC-0070,Boundary Permeability,1870,boundary,leaky_boundary,states_mixing,diffusion_effect|contamination,True,boundary_weakness,True,reinforcement,successful,True,False,Basin boundary let things through
FC-0071,Competing Memory Systems,1927,memory,interference,two_memory_systems_conflict,procedural_declarative_conflict|dual_system_error,True,system_incompatibility,True,integration,successful,True,False,Different memory types clashed
FC-0072,Gradient Estimation Error,1875,navigation,measurement_error,gradient_misread,instrument_failure|observation_error,True,tool_malfunction,True,recalibration,successful,True,False,Measured gradient incorrectly
FC-0073,Federation Exit Crisis,1929,federation,exit_trauma,member_departure_damages_all,interdependence|separation_cost,True,deep_integration,True,gradual_separation,partial_recovery,True,False,Member couldn't leave cleanly
FC-0074,Temporal Classification Error,1881,classification,timing_error,classified_in_wrong_era,anachronism|temporal_misplacement,True,dating_error,True,dating_correction,successful,True,False,Thought entity was from wrong time
FC-0075,Ingression Location Error,1931,ingression,spatial_error,form_appeared_wrong_place,coordinate_failure|targeting_error,True,calculation_error,True,relocation,successful,True,False,Form materialized in wrong spot
FC-0076,Basin Attractor Shift,1872,boundary,attractor_migration,basin_center_moved,stable_state_change|equilibrium_shift,True,parameter_drift,True,tracking,successful,True,False,Basin's stable point moved
FC-0077,Transient Memory,1933,memory,memory_instability,memory_appears_disappears,consolidation_failure|fragile_encoding,True,sleep_deprivation_equivalent,True,rest,successful,True,False,Memory kept fading in and out
FC-0078,Jackson Behavioral Prediction,1863,navigation,prediction_failure,behavior_unpredictable,past_behavior_not_predictive|pattern_absence,False,reflexive_subject,False,none,none,False,True,Couldn't predict Jackson's actions
FC-0079,Majority Coalition Failure,1935,federation,voting_deadlock,no_majority_possible,fragmented_preferences|cycling,True,preference_structure,True,agenda_setting,successful,True,False,Votes kept cycling
FC-0080,Misclassification Cascade,1883,classification,error_propagation,one_error_causes_many,classification_dependency|chain_error,True,initial_misclassification,True,root_correction,successful,True,False,First error spread to others
FC-0081,Incomplete Ingression B,1937,ingression,partial_manifestation,only_part_of_form_appeared,process_interruption|form_fragmentation,True,interference,True,completion_attempt,failed,True,False,Half a form manifested
FC-0082,Saddle Point Trap,1874,boundary,metastable_state,system_stuck_on_saddle,unstable_equilibrium|perturbation_needed,True,energy_landscape,True,perturbation,successful,True,False,System balanced on unstable point
FC-0083,Recognition Memory Failure,1939,memory,familiarity_without_recall,knows_but_cant_remember,recognition_recall_dissociation|partial_retrieval,True,encoding_depth,True,deeper_encoding,successful,True,False,Recognized but couldn't recall details
FC-0084,Competitive Navigation,1877,navigation,resource_competition,others_pursuing_same_destination,crowding|interference,True,common_goal,True,alternative_routing,successful,True,False,Too many heading same direction
FC-0085,Federation Communication Failure,1941,federation,communication_breakdown,messages_not_received,channel_failure|noise,True,infrastructure_failure,True,redundant_channels,successful,True,False,Communication system failed
FC-0086,Classification System Incompatibility,1885,classification,framework_conflict,two_systems_give_different_answers,paradigm_clash|incommensurability,True,theoretical_difference,False,none,none,True,False,Different systems disagreed fundamentally
FC-0087,Ingression Interference,1943,ingression,manifestation_conflict,two_forms_same_substrate,competition|interference,True,coincidence,True,spatial_separation,successful,True,False,Two forms tried to appear in same place
FC-0088,Basin Network Instability,1876,boundary,network_cascade,multiple_basins_fail_together,coupling|systemic_risk,True,network_topology,True,isolation,partial_recovery,True,False,Connected basins failed as network
FC-0089,Jackson Memory Pattern,1867,memory,pattern_violation,memory_doesn't_follow_decay_curves,exponential_violation|persistence_anomaly,False,reflexive_subject,False,none,none,False,True,Jackson's memories didn't fade normally
FC-0090,Local Minimum Trap,1879,navigation,local_optimum,stuck_in_local_minimum,gradient_zero|suboptimal_solution,True,non_convex_landscape,True,random_restart,successful,True,False,Found a minimum but not the best one
FC-0091,Federation Fragmentation,1945,federation,fragmentation,one_federation_becomes_many,schism|ideological_split,True,value_divergence,False,none,none,True,False,Federation split into multiple groups
FC-0092,Probabilistic Classification Failure,1887,classification,probability_failure,confidence_doesn't_reflect_reality,calibration_error|overconfidence,True,training_bias,True,calibration,successful,True,False,Probabilities were wrong
FC-0093,Ingression Timing Error,1947,ingression,temporal_error,form_appeared_wrong_time,synchronization_failure|timing_drift,True,clock_error,True,synchronization,successful,True,False,Form appeared too early/late
FC-0094,Boundary Memory,1878,boundary,state_memory,boundary_remembers_past_states,temporal_contamination|history_effect,True,system_memory,False,none,none,True,False,Boundary influenced by its past
FC-0095,Working Memory Overload,1949,memory,capacity_exceeded,too_many_items_in_working_memory,cognitive_overload|chunking_failure,True,complexity,True,chunking,successful,True,False,Tried to hold too much at once
FC-0096,Surveyor Disorientation,1881,navigation,orientation_loss,surveyor_lost_sense_of_direction,compass_failure|landmark_loss,True,terrain_featureless,True,celestial_navigation,successful,True,False,No landmarks to navigate by
FC-0097,Jackson Federation Participation,1871,federation,participation_anomaly,member_behavior_unpredictable,rule_violation|cooperation_chaos,False,reflexive_subject,False,none,none,False,True,Jackson broke federation dynamics
FC-0098,Bayesian Classification Error,1889,classification,prior_error,wrong_prior_probability,base_rate_neglect|representativeness,True,analyst_bias,True,prior_correction,successful,True,False,Started with wrong assumptions
FC-0099,Forced Ingression,1951,ingression,involuntary_manifestation,form_manifested_against_will,external_force|compulsion,True,external_intervention,True,resistance,partial_recovery,True,False,Form forced into existence
FC-0100,Chaotic Basin,1880,boundary,chaos,basin_exhibits_chaos,sensitivity|unpredictability,True,nonlinear_dynamics,False,none,none,True,False,Small changes caused huge differences
FC-0101,Prospective Memory Failure,1953,memory,intention_forgetting,forgot_to_do_planned_action,cue_missing|distraction,True,environmental_change,True,external_reminder,successful,True,False,Forgot to do something intended
FC-0102,Terrain Change Navigation,1883,navigation,map_obsolescence,terrain_changed_since_map,dynamic_environment|outdated_information,True,environmental_change,True,new_survey,successful,True,False,Map no longer matched reality
FC-0103,Federation Stagnation,1955,federation,equilibrium_trap,federation_stuck_in_suboptimal_state,local_optimum|change_resistance,True,risk_aversion,True,external_shock,partial_recovery,True,False,Federation couldn't improve
FC-0104,Feature Extraction Failure,1891,classification,feature_failure,relevant_features_not_extracted,representation_error|information_loss,True,method_limitation,True,alternative_features,successful,True,False,Missed important features
FC-0105,Ingression Form Corruption,1957,ingression,form_degradation,manifested_form_different_from_template,corruption|noise,True,transmission_error,True,error_correction,successful,True,False,Form changed during manifestation
FC-0106,Transient Basin,1882,boundary,temporary_basin,basin_existed_then_disappeared,ephemeral_attractor|instability,True,parameter_change,False,none,none,True,False,Basin was temporary
FC-0107,Semantic Memory Confusion,1959,memory,semantic_interference,facts_mixed_up,category_error|false_association,True,similarity,True,distinctive_encoding,successful,True,False,Mixed up related facts
FC-0108,Jackson Navigation Evasion,1875,navigation,evasion_detection,subject_actively_evading_navigation,adversarial_behavior|pursuit_avoidance,False,reflexive_subject,False,none,none,False,True,Jackson evaded all tracking
FC-0109,Coalition Instability,1961,federation,coalition_cycling,coalitions_form_and_dissolve_repeatedly,instability|preference_cycling,True,preference_structure,True,coalition_rules,partial_recovery,True,False,Couldn't form stable coalition
FC-0110,Classifier Overfitting,1893,classification,overfitting,classifier_too_specific,training_bias|generalization_failure,True,training_data_limitation,True,regularization,successful,True,False,Worked on training data only
FC-0111,Substrate Transformation,1963,ingression,substrate_change,substrate_changed_during_ingression,material_instability|phase_transition,True,environmental_change,True,substrate_stabilization,partial_recovery,True,False,Matter changed while form entering
FC-0112,Basin Merging Crisis,1884,boundary,merger_instability,two_basins_merging_chaotically,transition_chaos|identity_crisis,True,proximity,True,separation_protocol,failed,True,False,Basins merged messily
FC-0113,Autobiographical Memory Gap,1965,memory,personal_memory_loss,period_of_life_missing,encoding_failure|trauma,True,traumatic_event,True,therapy_equivalent,partial_recovery,True,False,Whole period missing from memory
FC-0114,Gradient Noise,1877,navigation,noisy_gradient,gradient_signal_corrupted,measurement_noise|interference,True,environmental_noise,True,averaging,successful,True,False,Gradient hard to measure accurately
FC-0115,Trust Asymmetry,1967,federation,asymmetric_trust,one_way_trust_only,relationship_imbalance|exploitation_risk,True,power_imbalance,True,balancing,partial_recovery,True,False,A trusted B but not vice versa
FC-0116,Jackson Classification System C,1879,classification,classification_failure,new_system_also_fails_on_Jackson,methodology_irrelevant|subject_resistance,False,reflexive_subject,False,none,none,False,True,Third classification system failed
FC-0117,Ingression Exhaustion,1969,ingression,form_exhaustion,form_too_tired_to_manifest,energy_depletion|resource_scarcity,True,overuse,True,rest_period,successful,True,False,Form needed recovery before manifesting
FC-0118,Critical Slowing,1886,boundary,critical_slowing,basin_responding_slowly,early_warning|approaching_bifurcation,True,approaching_transition,True,monitoring,successful,True,False,Slow recovery warned of trouble
FC-0119,Source Memory Error,1971,memory,source_confusion,remembered_but_wrong_source,attribution_error|context_confusion,True,encoding_overlap,True,source_monitoring,successful,True,False,Remembered correctly but wrong source
FC-0120,Deceptive Gradient,1881,navigation,misleading_gradient,gradient_points_wrong_direction,deception|adversarial_landscape,True,adversarial_design,True,skepticism,successful,True,False,Gradient deliberately misleading
FC-0121,Federation Commitment Problem,1973,federation,commitment_failure,members_cant_commit_credibly,time_inconsistency|temptation,True,short_term_incentives,True,bonding,successful,True,False,Promises not believed
FC-0122,Ambiguous Classification Evidence,1895,classification,evidence_ambiguity,evidence_supports_multiple_classes,insufficient_discrimination|overlap,True,class_similarity,True,additional_features,successful,True,False,Evidence pointed multiple directions
FC-0123,Ingression Side Effects,1975,ingression,unintended_consequences,manifestation_caused_other_changes,ripple_effects|coupling,True,system_interconnection,True,containment,partial_recovery,True,False,Manifesting affected other things
FC-0124,Flickering Basin,1888,boundary,intermittent_existence,basin_appears_disappears,instability|threshold_oscillation,True,parameter_oscillation,True,parameter_stabilization,successful,True,False,Basin kept appearing and vanishing
FC-0125,Flashbulb Memory Distortion,1977,memory,vivid_but_wrong,strongly_remembered_but_inaccurate,confidence_accuracy_mismatch|emotional_encoding,True,emotional_intensity,False,none,none,True,False,Vivid memory was actually wrong
FC-0126,Multi-Modal Navigation,1883,navigation,mode_switching_error,wrong_navigation_mode_used,context_error|mode_confusion,True,context_ambiguity,True,mode_verification,successful,True,False,Used wrong navigation approach
FC-0127,Jackson Federation Disruption,1885,federation,external_disruption,outside_entity_disrupts_federation,adversarial_intervention|rule_breaking,False,reflexive_subject,False,none,none,False,True,Jackson disrupted federation from outside
FC-0128,Classification Drift,1897,classification,concept_drift,category_meaning_changed_over_time,temporal_instability|evolution,True,semantic_shift,True,retraining,successful,True,False,What the category meant changed
FC-0129,Ingression Oscillation B,1979,ingression,cyclic_manifestation,form_keeps_manifesting_and_withdrawing,instability|feedback_loop,True,resonance,True,damping,partial_recovery,True,False,Form oscillated in and out
FC-0130,Multi-Stable Basin,1890,boundary,multi_stability,basin_has_multiple_stable_states,complexity|mode_switching,True,system_complexity,False,none,none,True,False,Basin could be in multiple states
FC-0131,Imagination Inflation,1981,memory,memory_creation,imagined_event_becomes_memory,fantasy_reality_confusion|source_monitoring,True,repeated_imagination,True,reality_monitoring,successful,True,False,Imagined something so much it became memory
FC-0132,Navigation Under Uncertainty,1885,navigation,uncertainty_paralysis,too_uncertain_to_move,risk_aversion|information_insufficiency,True,unknown_terrain,True,bounded_exploration,successful,True,False,Too scared to navigate uncertain territory
FC-0133,Voting Paradox Federation,1983,federation,preference_paradox,collective_preference_irrational,aggregation_failure|arrows_theorem,True,preference_structure,True,restricted_agenda,partial_recovery,True,False,Group preferences cycled
FC-0134,Label Noise Classification,1899,classification,training_label_error,training_data_labels_wrong,data_quality|annotation_error,True,human_error,True,data_cleaning,successful,True,False,Training data was mislabeled
FC-0135,Ingression Interference Pattern,1985,ingression,wave_interference,multiple_forms_creating_interference,superposition|constructive_destructive,True,coincidence,True,phase_adjustment,successful,True,False,Forms interfered with each other
FC-0136,Symmetry Breaking,1892,boundary,symmetry_loss,basin_symmetry_broken,structural_change|asymmetric_transition,True,parameter_change,False,none,none,True,False,Basin lost its symmetry
FC-0137,Emotional Memory Bias,1987,memory,mood_congruent_memory,emotions_bias_memory_retrieval,state_dependence|mood_filter,True,emotional_state,True,mood_regulation,successful,True,False,Mood affected what was remembered
FC-0138,Adaptive Landscape Navigation,1887,navigation,landscape_adaptation,terrain_changes_in_response_to_navigation,adversarial_environment|feedback,True,reactive_terrain,True,rapid_adaptation,partial_recovery,True,False,Landscape changed as you moved
FC-0139,Principal-Agent Federation,1989,federation,agency_problem,agents_dont_act_in_principals_interest,incentive_misalignment|information_asymmetry,True,hidden_action,True,monitoring_incentives,successful,True,False,Members pursued own goals
FC-0140,Sparse Data Classification,1901,classification,data_scarcity,too_few_examples_to_classify_reliably,small_sample|overfitting_risk,True,rare_category,True,data_augmentation,partial_recovery,True,False,Not enough examples of this class
FC-0141,Ingression Threshold Sensitivity,1991,ingression,sensitivity,small_changes_prevent_or_enable_manifestation,critical_threshold|bifurcation,True,criticality,True,threshold_monitoring,successful,True,False,Manifestation very sensitive to conditions
FC-0142,Escape Basin,1894,boundary,escape,system_leaves_all_basins,unbounded|runaway,True,instability,True,containment,failed,True,False,System escaped all attractors
FC-0143,Reconsolidation Error,1993,memory,reconsolidation_failure,memory_corrupted_when_recalled,update_error|edit_mistake,True,recall_interference,True,consolidation_protocol,partial_recovery,True,False,Memory changed when accessed
FC-0144,Jackson Navigation Pattern D,1889,navigation,anti_pattern,subject_deliberately_breaks_navigation_pattern,conscious_evasion|meta_awareness,False,reflexive_subject,False,none,none,False,True,Jackson deliberately unpredictable
FC-0145,Collective Action Failure,1995,federation,collective_action_failure,federation_cant_act_collectively,coordination_failure|free_riding,True,incentive_problem,True,mechanism_design,successful,True,False,Federation couldn't coordinate action
FC-0146,Classification Boundary Sensitivity,1903,classification,boundary_sensitivity,small_changes_cross_classification_boundary,fragile_boundaries|sensitivity,True,sharp_boundaries,True,fuzzy_classification,successful,True,False,Tiny changes changed classification
FC-0147,Ingression Memory,1997,ingression,manifestation_memory,form_remembers_past_manifestations,history_dependence|learning,True,form_learning,False,none,none,True,False,Form changed based on past manifestations
FC-0148,Ghost Basin,1896,boundary,phantom_attractor,basin_that_doesn't_exist_but_influences,ghost_state|shadow_attractor,True,nearby_structure,False,none,none,True,False,Non-existent basin had influence
FC-0149,Misinformation Effect,1999,memory,post_event_misinformation,memory_altered_by_later_information,suggestibility|contamination,True,misleading_information,True,warning,partial_recovery,True,False,Later info changed memory
FC-0150,Navigation Memory Failure,1891,navigation,route_forgetting,forgot_the_route_during_navigation,memory_interference|distraction,True,interruption,True,route_recording,successful,True,False,Lost track of where going
FC-0151,Jackson Federation Classification E,1893,classification,classification_failure,federation_classification_impossible,system_behavior_unclassifiable|dynamics_unknown,False,reflexive_subject,False,none,none,False,True,Couldn't classify Jackson's federation behavior
FC-0152,Ingression Competition,2001,ingression,competitive_manifestation,forms_competing_for_same_substrate,scarcity|competition,True,resource_limitation,True,allocation_protocol,successful,True,False,Multiple forms wanted same matter
FC-0153,Basin Erosion,1898,boundary,gradual_degradation,basin_slowly_shrinking,structural_decay|entropy,True,aging,True,maintenance,partial_recovery,True,False,Basin degraded over time
FC-0154,Cryptomnesia,2003,memory,unconscious_plagiarism,remembered_as_own_idea,source_forgetting|attribution_error,True,time_delay,True,source_verification,successful,True,False,Thought someone else's idea was own
FC-0155,Exploration-Exploitation Navigation,1893,navigation,exploration_exploitation_failure,wrong_balance_of_search_vs_use,strategy_error|myopia,True,parameter_misset,True,rebalancing,successful,True,False,Too much exploring or too much exploiting
