catalog_id,item_name,item_type,creator_author,creation_year,acquisition_year,shelf_location,condition,contents_summary,access_restrictions,related_items,cataloger,notes
ARC-0019,On the Persistence of Ghosts,Treatise,Sareth Moll,1865,1866,Wing M - Shelf 39,Good,"Exponential decay curves for memory and haunting. Mathematical framework for fading.",Scholars only,,Archivist Thennel,"Moll's major contribution."
ARC-0020,The Ingression Problem,Treatise,Archon Vells,1884,1885,Wing V - Shelf 3,Good,"How forms manifest into material existence. Theory of ingression mechanics.",Scholars only,,Archivist Queever,"Vells was also Chief Surveyor."
ARC-0021,Yeller Protocols Field Notes,Field notes,Various surveyors,Ongoing,Various,Wing M - Special Collections,Variable,"Field observations compiled under Yeller Protocols. Raw data from plural being encounters.",Restricted - by application,,Guild Liaison Cord,"Cross-reference with Grigsu's Notebooks."
ARC-0022,Provenance Engine Technical Report,Technical document,Solta Venn,911,911,Wing P - Administrative,Good,"Documentation for manuscript authentication system. Uncertainty scoring methodology.",Archive staff only,,Archivist Queever,"Internal use. Describes MS-XXXX verification."
ARC-0023,The Taxonomy of Failure,Treatise,Kella Vorn,1889,1890,Wing V - Shelf 7,Good,"Six domains of failure. Systematic classification of how systems break down.",Scholars only,,Archivist Molk,"Complements classification literature."
ARC-0024,Cognitive Horizons,Treatise,Mira Strand,1877,1878,Wing S - Shelf 15,Good,"Four dimensions of care. Central thesis: 'Care folds time.'",Scholars only,,Archivist Thennel,"Temporal-spatial intersection work."
ARC-0025,The Substrate Question,Treatise,Tessaly Vorn,1882,1883,Wing V - Shelf 9,Good,"Signal and substrate theory. How patterns operate across different material bases.",Scholars only,,Archivist Molk,"Signal persistence inquiry."
ARC-0026,The Gatherer Experiments,Research report,Kellin Vost,1886,1887,Wing V - Shelf 11,Good,"Studies on synthetic beings and artificial creation. Experimental documentation.",Restricted - ethics review required,,Archivist Queever,"Controversial. Access limited."
ARC-0027,Observer Access and Polycomputing,Treatise,Tobin Creel,1891,1892,Wing C - Shelf 6,Good,"Same substrate computes differently for different observers. Polycomputing framework.",Scholars only,,Archivist Vells,"Observer-dependence thesis."
ARC-0028,The Persistence of Form,Treatise,Wender Koss,1875,1876,Wing K - Shelf 41,Good,"Pattern inheritance theory. How forms persist across generations.",Scholars only,,Archivist Thennel,"Pattern memory framework."
ARC-0029,Skurla's Map Book,Map collection,Skurla (Colonel's daughter),Ongoing,Not acquired,N/A - not held,N/A,"Collection of maps belonging to Colonel's daughter. Personal possession.",N/A - external document,,N/A,"Reference entry only. Archive seeks acquisition."
