edit_id,edit_name,target_type,target_id,target_pattern,edit_method,edit_goal,edit_year,edit_duration_days,prime_timing_used,isolation_level,exposure_type,generations_tracked,success,success_degree,outcome,persistence_of_edit,side_effects,ethical_concerns,koss_series_reference,koss_experiment_id,editor,institution,documentation_quality,confidence,description,lessons_learned,notes
ME-0030,Erasure Trial 9,ghost_pattern,,collective identity,erasure,erase,932,11,False,,,,False,0.38,unintended_change,immediate_reversion,nearby_pattern_affected,none,combined,,K. Strand,Independent,sparse,0.72,Attempt to erase ghost_pattern using erasure method.,,
ME-0031,Dampening Trial 26,form_memory,TGT-323,behavioral routine,dampening,weaken,918,366,False,,,,True,0.99,goal_achieved,permanent,none,none,novel,,Independent Observer,Capital Taxonomy Bureau,exhaustive,0.76,Attempt to weaken form_memory using dampening method.,,
ME-0032,Overlay Trial 18,behavioral_echo,TGT-988,hunting behavior,overlay,weaken,927,211,False,,,,False,0.059,unintended_change,fading,nearby_pattern_affected,none,series_b,,M. Tall,Capital Taxonomy Bureau,fragmentary,0.62,Attempt to weaken behavioral_echo using overlay method.,,
ME-0033,Transfer Trial 20,ghost_pattern,TGT-282,collective identity,transfer,modify,917,338,False,,,,False,0.11,pattern_damage,temporary,,none,,,Quarry Guild Records,,adequate,0.71,Attempt to modify ghost_pattern using transfer method.,,
ME-0034,Isolation Trial 28,ghost_pattern,TGT-978,location memory,isolation,stabilize,905,262,True,extreme,,8,False,0.328,pattern_migration,temporary,none,none,,,S. Moll,Capital Taxonomy Bureau,sparse,0.78,Attempt to stabilize ghost_pattern using isolation method.,,
ME-0035,Erasure Trial 20,ghost_pattern,TGT-608,hunting behavior,erasure,erase,909,138,False,,,,False,0.088,pattern_damage,immediate_reversion,none,none,,,Independent Observer,Archive Research Division,adequate,0.86,Attempt to erase ghost_pattern using erasure method.,,
ME-0036,Transfer Trial 37,collective_memory,,collective identity,transfer,separate,928,390,False,,,,False,0.066,pattern_damage,fading,none,none,,,T. Vells,Archive Research Division,fragmentary,0.76,Attempt to separate collective_memory using transfer method.,,
ME-0037,Erasure Trial 13,spatial_imprint,TGT-995,location memory,erasure,erase,922,454,False,,,,False,0.261,no_effect,fading,none,none,novel,,Independent Observer,Archive Research Division,adequate,0.58,Attempt to erase spatial_imprint using erasure method.,,
ME-0038,Dampening Trial 16,collective_memory,,location memory,dampening,weaken,923,219,False,,,,True,0.912,goal_achieved,stable,none,none,,,S. Moll,Quarry Guild,sparse,0.88,Attempt to weaken collective_memory using dampening method.,,
ME-0039,Exposure Trial 19,ghost_pattern,TGT-568,ridge-back feature,exposure,separate,914,373,True,,similar forms,,True,0.963,goal_achieved,stable,none,none,,,M. Tall,,sparse,0.88,Attempt to separate ghost_pattern using exposure method.,,
ME-0040,Amplification Trial 27,collective_memory,TGT-928,ridge-back feature,amplification,strengthen,913,338,False,,,,True,0.951,goal_achieved,permanent,none,none,,,Boundary Commission,Capital Taxonomy Bureau,fragmentary,0.67,Attempt to strengthen collective_memory using amplification method.,,
ME-0041,Isolation Trial 4,ghost_pattern,,location memory,isolation,stabilize,912,21,False,extreme,,8,True,0.937,goal_achieved,permanent,none,none,,,K. Strand,Archive Research Division,exhaustive,0.63,Attempt to stabilize ghost_pattern using isolation method.,,
ME-0042,Transfer Trial 3,collective_memory,,hunting behavior,transfer,strengthen,908,14,True,,,,True,0.707,partial_success,fading,none,none,novel,,Quarry Guild Records,Archive Research Division,sparse,0.8,Attempt to strengthen collective_memory using transfer method.,,
ME-0043,Surgical Trial 45,form_memory,,form expression,surgical,erase,902,395,True,,,,True,0.764,partial_success,fading,none,collective_disruption,novel,,K. Strand,Archive Research Division,fragmentary,0.79,Attempt to erase form_memory using surgical method.,,
ME-0044,Overlay Trial 33,collective_memory,,behavioral routine,overlay,strengthen,921,445,False,,,,False,0.229,unintended_change,immediate_reversion,"ghost_formation,instability",none,,,K. Strand,Archive Research Division,sparse,0.51,Attempt to strengthen collective_memory using overlay method.,,
ME-0045,Amplification Trial 2,collective_memory,,form expression,amplification,strengthen,915,392,True,,,,True,0.782,partial_success,fading,none,none,,,M. Tall,,sparse,0.81,Attempt to strengthen collective_memory using amplification method.,,
ME-0046,Transfer Trial 26,ghost_pattern,TGT-929,form expression,transfer,erase,920,91,False,,,,False,0.161,unintended_change,fading,nearby_pattern_affected,none,,,K. Strand,,exhaustive,0.8,Attempt to erase ghost_pattern using transfer method.,,
ME-0047,Collective_Manipulation Trial 11,behavioral_echo,TGT-855,ridge-back feature,collective_manipulation,weaken,919,217,False,,,,False,0.129,unintended_change,temporary,pattern_drift,none,,,Boundary Commission,,adequate,0.58,Attempt to weaken behavioral_echo using collective_manipulation method.,,
ME-0048,Erasure Trial 2,ghost_pattern,TGT-755,form expression,erasure,erase,924,10,False,,,,True,0.908,goal_achieved,stable,none,none,,,M. Tall,Quarry Guild,adequate,0.85,Attempt to erase ghost_pattern using erasure method.,,
ME-0049,Transfer Trial 29,form_memory,TGT-102,location memory,transfer,combine,910,311,False,,,,True,0.736,partial_success,temporary,none,none,,,K. Strand,Independent,adequate,0.6,Attempt to combine form_memory using transfer method.,,
ME-0050,Dampening Trial 43,ghost_pattern,,collective identity,dampening,weaken,917,258,False,,,,False,0.277,no_effect,immediate_reversion,,none,,,S. Moll,Archive Research Division,sparse,0.93,Attempt to weaken ghost_pattern using dampening method.,,
ME-0051,Exposure Trial 22,spatial_imprint,,form expression,exposure,strengthen,931,371,True,,living specimens,,True,0.86,goal_achieved,stable,none,none,series_b,,K. Strand,Capital Taxonomy Bureau,adequate,0.5,Attempt to strengthen spatial_imprint using exposure method.,,
ME-0052,Isolation Trial 8,behavioral_echo,,form expression,isolation,weaken,903,266,False,extreme,,2,False,0.179,no_effect,temporary,minor_instability,none,,,R. Voss,Independent,sparse,0.57,Attempt to weaken behavioral_echo using isolation method.,,
ME-0053,Collective_Manipulation Trial 12,collective_memory,TGT-619,behavioral routine,collective_manipulation,stabilize,920,495,False,,,,False,0.379,no_effect,immediate_reversion,none,none,novel,,Independent Observer,,thorough,0.79,Attempt to stabilize collective_memory using collective_manipulation method.,,
ME-0054,Dampening Trial 6,form_memory,,collective identity,dampening,weaken,929,57,False,,,,False,0.237,no_effect,fading,,none,,,T. Vells,Archive Research Division,sparse,0.68,Attempt to weaken form_memory using dampening method.,,
ME-0055,Collective_Manipulation Trial 9,form_memory,,location memory,collective_manipulation,modify,910,138,False,,,,False,0.254,unintended_change,immediate_reversion,"ghost_formation,instability",none,series_a,,Archive Survey Team,Quarry Guild,fragmentary,0.67,Attempt to modify form_memory using collective_manipulation method.,,
ME-0056,Dampening Trial 22,spatial_imprint,TGT-777,behavioral routine,dampening,weaken,906,153,False,,,,True,0.604,partial_success,temporary,none,none,,,T. Vells,Quarry Guild,thorough,0.68,Attempt to weaken spatial_imprint using dampening method.,,
ME-0057,Erasure Trial 15,behavioral_echo,,behavioral routine,erasure,erase,903,128,True,,,,False,0.364,cascade_effect,immediate_reversion,pattern_drift,none,series_a,,C. Vells,Archive Research Division,sparse,0.5,Attempt to erase behavioral_echo using erasure method.,,
ME-0058,Dampening Trial 16,behavioral_echo,TGT-882,collective identity,dampening,weaken,910,257,True,,,,False,0.276,no_effect,immediate_reversion,none,none,,,M. Tall,,sparse,0.86,Attempt to weaken behavioral_echo using dampening method.,,
ME-0059,Dampening Trial 44,form_memory,TGT-995,behavioral routine,dampening,weaken,920,232,False,,,,False,0.109,cascade_effect,fading,"ghost_formation,instability",none,,,R. Voss,Independent,fragmentary,0.67,Attempt to weaken form_memory using dampening method.,,
ME-0060,Transfer Trial 27,ghost_pattern,,form expression,transfer,modify,926,320,False,,,,True,0.615,partial_success,fading,none,none,,,K. Strand,Archive Research Division,adequate,0.76,Attempt to modify ghost_pattern using transfer method.,,
ME-0061,Dampening Trial 37,behavioral_echo,,hunting behavior,dampening,weaken,907,493,True,,,,True,0.703,partial_success,temporary,none,none,combined,,Quarry Guild Records,,fragmentary,0.56,Attempt to weaken behavioral_echo using dampening method.,,
ME-0062,Transfer Trial 5,behavioral_echo,,behavioral routine,transfer,combine,921,406,True,,,,False,0.151,cascade_effect,fading,"ghost_formation,instability",none,,,K. Strand,Independent,thorough,0.64,Attempt to combine behavioral_echo using transfer method.,,
ME-0063,Surgical Trial 26,spatial_imprint,TGT-360,form expression,surgical,separate,907,26,False,,,,False,0.075,pattern_migration,temporary,none,none,,,K. Strand,Quarry Guild,fragmentary,0.87,Attempt to separate spatial_imprint using surgical method.,,
ME-0064,Collective_Manipulation Trial 48,ghost_pattern,,location memory,collective_manipulation,weaken,911,26,True,,,,True,0.604,partial_success,stable,none,none,series_b,,R. Voss,Archive Research Division,thorough,0.88,Attempt to weaken ghost_pattern using collective_manipulation method.,,
ME-0065,Exposure Trial 20,ghost_pattern,TGT-117,hunting behavior,exposure,strengthen,918,416,True,,similar forms,,False,0.292,cascade_effect,temporary,"ghost_formation,instability",none,,,Independent Observer,Independent,fragmentary,0.71,Attempt to strengthen ghost_pattern using exposure method.,,
ME-0066,Collective_Manipulation Trial 28,collective_memory,TGT-826,behavioral routine,collective_manipulation,combine,906,29,False,,,,False,0.267,unintended_change,immediate_reversion,nearby_pattern_affected,none,combined,,K. Strand,Independent,thorough,0.65,Attempt to combine collective_memory using collective_manipulation method.,,
ME-0067,Surgical Trial 28,behavioral_echo,TGT-682,form expression,surgical,weaken,931,499,False,,,,True,0.962,goal_achieved,stable,none,none,combined,,S. Moll,Quarry Guild,sparse,0.74,Attempt to weaken behavioral_echo using surgical method.,,
ME-0068,Exposure Trial 31,collective_memory,TGT-202,form expression,exposure,modify,915,293,True,,models,,True,0.601,partial_success,temporary,none,none,,,R. Voss,Independent,adequate,0.88,Attempt to modify collective_memory using exposure method.,,
ME-0069,Dampening Trial 32,collective_memory,,ridge-back feature,dampening,weaken,902,27,False,,,,False,0.386,unintended_change,immediate_reversion,unexpected_strengthening,none,series_b,,R. Voss,Archive Research Division,sparse,0.59,Attempt to weaken collective_memory using dampening method.,,
ME-0070,Amplification Trial 4,ghost_pattern,TGT-736,behavioral routine,amplification,strengthen,928,299,True,,,,False,0.265,no_effect,temporary,,none,novel,,C. Vells,Capital Taxonomy Bureau,fragmentary,0.59,Attempt to strengthen ghost_pattern using amplification method.,,
ME-0071,Overlay Trial 30,form_memory,TGT-559,location memory,overlay,modify,919,312,False,,,,True,0.718,partial_success,fading,none,none,,,S. Moll,Quarry Guild,sparse,0.69,Attempt to modify form_memory using overlay method.,,
ME-0072,Collective_Manipulation Trial 27,ghost_pattern,,collective identity,collective_manipulation,modify,915,165,False,,,,True,0.987,goal_achieved,permanent,none,none,,,M. Tall,,exhaustive,0.85,Attempt to modify ghost_pattern using collective_manipulation method.,,
ME-0073,Collective_Manipulation Trial 50,collective_memory,TGT-460,collective identity,collective_manipulation,weaken,908,498,False,,,,True,0.863,goal_achieved,stable,none,none,,,Boundary Commission,Capital Taxonomy Bureau,fragmentary,0.87,Attempt to weaken collective_memory using collective_manipulation method.,,
ME-0074,Amplification Trial 33,form_memory,TGT-835,form expression,amplification,strengthen,914,343,False,,,,False,0.292,no_effect,immediate_reversion,none,none,,,Independent Observer,Independent,fragmentary,0.8,Attempt to strengthen form_memory using amplification method.,,
ME-0075,Isolation Trial 42,behavioral_echo,,location memory,isolation,weaken,930,160,True,partial,,9,True,0.698,partial_success,stable,none,none,,,Boundary Commission,Capital Taxonomy Bureau,thorough,0.77,Attempt to weaken behavioral_echo using isolation method.,,
ME-0076,Collective_Manipulation Trial 10,ghost_pattern,TGT-264,behavioral routine,collective_manipulation,weaken,925,21,False,,,,True,0.684,partial_success,fading,none,none,,,Archive Survey Team,,adequate,0.91,Attempt to weaken ghost_pattern using collective_manipulation method.,,
ME-0077,Transfer Trial 44,collective_memory,,location memory,transfer,strengthen,904,498,False,,,,False,0.005,pattern_migration,immediate_reversion,minor_instability,none,,,Quarry Guild Records,Quarry Guild,sparse,0.82,Attempt to strengthen collective_memory using transfer method.,,
ME-0078,Overlay Trial 22,behavioral_echo,,form expression,overlay,erase,931,260,True,,,,False,0.242,pattern_migration,immediate_reversion,none,none,series_b,,S. Moll,Archive Research Division,sparse,0.52,Attempt to erase behavioral_echo using overlay method.,,
ME-0079,Collective_Manipulation Trial 31,form_memory,,ridge-back feature,collective_manipulation,erase,904,103,True,,,,False,0.047,cascade_effect,temporary,unexpected_strengthening,none,,,T. Vells,Archive Research Division,sparse,0.55,Attempt to erase form_memory using collective_manipulation method.,,
ME-0080,Dampening Trial 36,collective_memory,,ridge-back feature,dampening,weaken,911,233,False,,,,False,0.096,no_effect,temporary,,none,,,T. Vells,Independent,exhaustive,0.64,Attempt to weaken collective_memory using dampening method.,,
ME-0081,Surgical Trial 44,form_memory,,ridge-back feature,surgical,separate,929,273,False,,,,True,0.884,goal_achieved,stable,none,none,,,T. Vells,Independent,exhaustive,0.7,Attempt to separate form_memory using surgical method.,,
ME-0082,Exposure Trial 40,spatial_imprint,,hunting behavior,exposure,transfer,929,209,True,,living specimens,,False,0.231,pattern_migration,immediate_reversion,none,none,novel,,Archive Survey Team,Quarry Guild,fragmentary,0.67,Attempt to transfer spatial_imprint using exposure method.,,
ME-0083,Isolation Trial 9,behavioral_echo,TGT-497,form expression,isolation,stabilize,914,25,True,complete,,1,False,0.325,pattern_migration,temporary,none,none,series_b,,Quarry Guild Records,Independent,exhaustive,0.68,Attempt to stabilize behavioral_echo using isolation method.,,
ME-0084,Amplification Trial 3,ghost_pattern,TGT-321,form expression,amplification,strengthen,903,304,False,,,,False,0.335,cascade_effect,fading,nearby_pattern_affected,none,series_a,,M. Tall,Independent,exhaustive,0.86,Attempt to strengthen ghost_pattern using amplification method.,,
ME-0085,Erasure Trial 24,ghost_pattern,TGT-711,location memory,erasure,erase,909,440,False,,,,False,0.275,pattern_migration,immediate_reversion,,none,series_a,,M. Tall,,thorough,0.94,Attempt to erase ghost_pattern using erasure method.,,
ME-0086,Collective_Manipulation Trial 28,form_memory,,location memory,collective_manipulation,erase,927,140,False,,,,False,0.367,pattern_migration,immediate_reversion,none,none,combined,,C. Vells,Independent,exhaustive,0.64,Attempt to erase form_memory using collective_manipulation method.,,
ME-0087,Dampening Trial 45,collective_memory,,form expression,dampening,weaken,914,179,True,,,,True,0.823,goal_achieved,permanent,none,none,,,Independent Observer,,thorough,0.63,Attempt to weaken collective_memory using dampening method.,,
ME-0088,Dampening Trial 49,collective_memory,TGT-226,collective identity,dampening,weaken,921,254,False,,,,True,0.667,partial_success,temporary,none,none,,,S. Moll,Quarry Guild,sparse,0.67,Attempt to weaken collective_memory using dampening method.,,
ME-0089,Exposure Trial 27,ghost_pattern,TGT-984,behavioral routine,exposure,stabilize,906,388,True,,similar forms,,True,0.612,partial_success,stable,none,none,novel,,Quarry Guild Records,Capital Taxonomy Bureau,thorough,0.59,Attempt to stabilize ghost_pattern using exposure method.,,
ME-0090,Exposure Trial 24,spatial_imprint,,ridge-back feature,exposure,transfer,916,118,True,,visual patterns,,True,0.75,partial_success,stable,none,none,,,Quarry Guild Records,Archive Research Division,exhaustive,0.64,Attempt to transfer spatial_imprint using exposure method.,,
ME-0091,Surgical Trial 37,form_memory,TGT-680,location memory,surgical,transfer,903,364,True,,,,True,0.63,partial_success,stable,none,collective_disruption,combined,,Quarry Guild Records,Quarry Guild,adequate,0.6,Attempt to transfer form_memory using surgical method.,,
ME-0092,Amplification Trial 45,behavioral_echo,,form expression,amplification,strengthen,914,223,False,,,,False,0.229,no_effect,fading,,none,,,Boundary Commission,Archive Research Division,fragmentary,0.6,Attempt to strengthen behavioral_echo using amplification method.,,
ME-0093,Exposure Trial 36,ghost_pattern,,collective identity,exposure,modify,914,281,True,,visual patterns,,False,0.285,pattern_migration,immediate_reversion,,none,,,Independent Observer,Archive Research Division,exhaustive,0.85,Attempt to modify ghost_pattern using exposure method.,,
ME-0094,Surgical Trial 31,form_memory,TGT-468,collective identity,surgical,stabilize,917,124,True,,,,True,0.857,goal_achieved,permanent,none,consent_issues,,,Archive Survey Team,Independent,thorough,0.81,Attempt to stabilize form_memory using surgical method.,,
ME-0095,Surgical Trial 14,ghost_pattern,,location memory,surgical,modify,909,391,False,,,,False,0.116,no_effect,temporary,,none,,,T. Vells,Archive Research Division,sparse,0.67,Attempt to modify ghost_pattern using surgical method.,,
ME-0096,Erasure Trial 17,ghost_pattern,,ridge-back feature,erasure,erase,906,123,False,,,,False,0.373,unintended_change,temporary,unexpected_strengthening,none,,,T. Vells,Capital Taxonomy Bureau,fragmentary,0.54,Attempt to erase ghost_pattern using erasure method.,,
ME-0097,Isolation Trial 5,behavioral_echo,TGT-404,collective identity,isolation,weaken,923,37,False,extreme,,10,True,0.712,partial_success,stable,none,none,,,K. Strand,Independent,fragmentary,0.5,Attempt to weaken behavioral_echo using isolation method.,,
ME-0098,Amplification Trial 21,form_memory,TGT-682,behavioral routine,amplification,strengthen,921,319,False,,,,False,0.051,pattern_migration,temporary,none,none,,,M. Tall,Independent,fragmentary,0.93,Attempt to strengthen form_memory using amplification method.,,
ME-0099,Transfer Trial 19,ghost_pattern,,collective identity,transfer,modify,916,240,False,,,,True,0.903,goal_achieved,permanent,none,none,series_a,,R. Voss,Independent,thorough,0.92,Attempt to modify ghost_pattern using transfer method.,,
ME-0100,Collective_Manipulation Trial 45,form_memory,TGT-671,location memory,collective_manipulation,combine,903,122,False,,,,True,0.791,partial_success,fading,none,none,,,Quarry Guild Records,Capital Taxonomy Bureau,adequate,0.78,Attempt to combine form_memory using collective_manipulation method.,,
ME-0101,Dampening Trial 9,collective_memory,TGT-154,hunting behavior,dampening,weaken,930,254,False,,,,True,0.789,partial_success,temporary,none,none,combined,,Boundary Commission,Capital Taxonomy Bureau,sparse,0.71,Attempt to weaken collective_memory using dampening method.,,
ME-0102,Collective_Manipulation Trial 11,behavioral_echo,TGT-140,hunting behavior,collective_manipulation,separate,924,208,False,,,,False,0.37,pattern_migration,temporary,none,none,,,Archive Survey Team,,adequate,0.79,Attempt to separate behavioral_echo using collective_manipulation method.,,
ME-0103,Transfer Trial 17,behavioral_echo,TGT-635,hunting behavior,transfer,weaken,920,358,False,,,,False,0.126,pattern_migration,fading,,none,,,C. Vells,Archive Research Division,fragmentary,0.88,Attempt to weaken behavioral_echo using transfer method.,,
ME-0104,Exposure Trial 17,spatial_imprint,,ridge-back feature,exposure,combine,929,145,True,,living specimens,,True,0.896,goal_achieved,stable,none,none,,,T. Vells,Archive Research Division,sparse,0.63,Attempt to combine spatial_imprint using exposure method.,,
ME-0105,Dampening Trial 25,form_memory,,ridge-back feature,dampening,weaken,912,316,True,,,,False,0.234,cascade_effect,fading,nearby_pattern_affected,none,series_b,,Boundary Commission,,adequate,0.6,Attempt to weaken form_memory using dampening method.,,
ME-0106,Erasure Trial 44,behavioral_echo,,location memory,erasure,erase,907,424,False,,,,False,0.35,unintended_change,temporary,unexpected_strengthening,none,series_a,,T. Vells,Quarry Guild,sparse,0.82,Attempt to erase behavioral_echo using erasure method.,,
ME-0107,Surgical Trial 5,spatial_imprint,,collective identity,surgical,erase,903,169,False,,,,True,0.78,partial_success,temporary,none,none,,,K. Strand,Quarry Guild,exhaustive,0.67,Attempt to erase spatial_imprint using surgical method.,,
ME-0108,Overlay Trial 45,collective_memory,TGT-871,behavioral routine,overlay,transfer,912,264,False,,,,False,0.392,cascade_effect,fading,unexpected_strengthening,none,series_a,,Quarry Guild Records,Archive Research Division,fragmentary,0.62,Attempt to transfer collective_memory using overlay method.,,
ME-0109,Transfer Trial 13,spatial_imprint,TGT-923,ridge-back feature,transfer,modify,903,430,False,,,,False,0.343,pattern_migration,temporary,none,none,,,K. Strand,Capital Taxonomy Bureau,fragmentary,0.9,Attempt to modify spatial_imprint using transfer method.,,
ME-0110,Transfer Trial 26,ghost_pattern,,collective identity,transfer,strengthen,932,143,True,,,,True,0.96,goal_achieved,stable,none,none,,,Independent Observer,Archive Research Division,fragmentary,0.93,Attempt to strengthen ghost_pattern using transfer method.,,
ME-0111,Amplification Trial 32,collective_memory,TGT-153,collective identity,amplification,strengthen,918,229,False,,,,True,0.788,partial_success,fading,none,none,,,Independent Observer,,sparse,0.86,Attempt to strengthen collective_memory using amplification method.,,
