case_id,case_name,federation_type,federation_scale,component_count,federation_age_years,cancer_type,cancer_origin,initiating_component,spread_pattern,spread_rate,components_affected_percent,primary_cause,jackson_type,horizon_factor,earliest_symptom,symptom_progression,duration_to_crisis_days,outcome,federation_survived,component_casualties,intervention_attempted,intervention_type,intervention_success,mord_analysis,preventability,key_lesson,location,region,observation_year,observer,confidence,cross_reference,notes
FC-0013,Expedition 271 Breakdown,work_crew,medium,234,8,trust_cascade,unknown,,cascading,rapid,71.7,horizon_mismatch,False,True,trust_decline,sudden_cascade,29,partial_dissolution,True,111,False,none,not_attempted,Horizon mismatch created goal conflict,probably_preventable,Communication maintenance is prevention,Sector NE-4,Dens boundary,908,Archive Commission,0.81,HS-0017,
FC-0014,Extraction Pattern Case 420,community,medium,3382,87,defection,higher_level,,spreading,slow,40.4,level_transcendence,True,False,defection_events,sudden_cascade,16,partial_dissolution,True,814,True,external_mediation,harmful,Trust cascade caught too late,uncertain,Level mismatches are dangerous,Trapper territory,Yeller Quarry,904,Archive Commission,0.51,,
FC-0015,Digger Colony 800 Defection,network,medium,863,63,micromanagement,single_component,Component-17,cascading,intermittent,53.0,level_transcendence,True,False,autonomy_loss,oscillating,1591,reorganization,True,8,False,none,not_attempted,Reciprocity failure predicted defection,probably_preventable,Communication maintenance is prevention,Scholar's Quarter,Capital,915,P. Anster,0.73,,
FC-0016,Network 368 Failure,network,large,962,78,trust_cascade,multiple_components,,cascading,rapid,89.0,communication_failure,False,False,trust_decline,sudden_cascade,28,full_dissolution,False,223,True,goal_realignment,harmful,Trust not reciprocal,preventable,Level mismatches are dangerous,Northern workings,Yeller Quarry,937,K. Vorn,0.66,,
FC-0017,Institution 62 Reorganization,organism,small,30,30,defection,external,,spreading,moderate,59.9,external_stress,False,True,defection_events,oscillating,2555,reorganization,True,1,True,expulsion,successful,Trust not reciprocal,not_preventable,Level mismatches are dangerous,Sector NE-4,Dens boundary,910,Institutional Review Board,0.72,HS-0135,
FC-0018,Expedition 442 Breakdown,class,medium,50,1,defection,unknown,,localized,slow,19.4,reciprocity_failure,False,False,defection_events,sudden_cascade,10,recovery,True,1,False,none,not_attempted,Trust cascade caught too late,preventable,Level mismatches are dangerous,Siege fields,Tower of Mirado,929,Archive Commission,0.63,,
FC-0019,Network 186 Failure,organism,small,75,1,delegation_failure,external,,contained,rapid,21.7,horizon_mismatch,False,True,delegation_failures,plateau,52,partial_dissolution,True,19,False,none,not_attempted,Reciprocity failure predicted defection,probably_preventable,External stress reveals latent dysfunction,Capital outskirts,Capital,915,Mord-Anster Group,0.72,HS-0158,
FC-0020,Digger Colony 54 Defection,community,very_large,4403,91,goal_conflict,lower_level,,localized,rapid,7.1,horizon_mismatch,False,True,goal_divergence,sudden_cascade,21,component_expulsion,True,83,False,none,not_attempted,Reciprocity failure predicted defection,uncertain,Communication maintenance is prevention,Quarry Sector 7,Yeller Quarry,908,T. Mord,0.58,HS-0193,
FC-0021,Digger Colony 892 Defection,organism,small,74,98,trust_cascade,lower_level,,cascading,rapid,63.4,trust_erosion,False,False,trust_decline,sudden_cascade,23,chronic_dysfunction,True,3,True,trust_rebuilding,failed,Level 4 component in Level 3 collective,preventable,Monitor for reciprocity breach,Southern perimeter,Dens boundary,891,T. Mord,0.92,,
FC-0022,Expedition 951 Breakdown,institution,medium,1992,283,defection,higher_level,,localized,moderate,15.4,trust_erosion,False,False,defection_events,recovery,1443,component_expulsion,True,187,True,external_mediation,partial,Extraction pattern established early,preventable,Goal alignment requires ongoing work,Camp settlements,Yeller Quarry,925,T. Mord,0.65,,
FC-0023,Archive Annex 927 Collapse,community,very_large,2412,39,defection,multiple_components,,localized,slow,1.0,extraction_pattern,True,False,defection_events,sudden_cascade,15,component_expulsion,True,171,True,trust_rebuilding,partial,Reciprocity failure predicted defection,preventable,External stress reveals latent dysfunction,Sector SW-6,Dens boundary,933,T. Mord,0.8,,
FC-0024,Community 58 Split,institution,very_large,2609,89,communication_collapse,multiple_components,,localized,intermittent,8.8,reciprocity_failure,False,False,communication_breakdown,plateau,2440,reorganization,True,7,True,trust_rebuilding,partial,Level 4 component in Level 3 collective,preventable,Expulsion is sometimes necessary,Capital proper,Capital,901,K. Vorn,0.89,,
FC-0025,Network 567 Failure,network,medium,869,80,goal_conflict,single_component,,simultaneous,intermittent,84.1,level_transcendence,True,False,goal_divergence,oscillating,1267,component_expulsion,True,40,True,expulsion,partial,Level 4 component in Level 3 collective,probably_preventable,External stress reveals latent dysfunction,Tower base,Tower of Mirado,897,Archive Commission,0.52,,
FC-0026,Expedition 23 Breakdown,institution,medium,3108,145,free_riding,higher_level,,contained,slow,52.2,external_stress,False,True,performance_decline,gradual_worsening,472,component_expulsion,True,304,False,none,not_attempted,Trust cascade caught too late,not_preventable,Expulsion is sometimes necessary,Archive vicinity,Capital,902,Archive Commission,0.56,HS-0162,
FC-0027,Archive Annex 929 Collapse,institution,medium,4260,140,delegation_failure,lower_level,,contained,rapid,57.9,goal_drift,False,True,delegation_failures,oscillating,869,partial_dissolution,True,1349,False,none,not_attempted,Level 4 component in Level 3 collective,probably_preventable,Level mismatches are dangerous,Trapper territory,Yeller Quarry,910,K. Vorn,0.77,HS-0031,
FC-0028,Network 777 Failure,institution,very_large,1622,71,goal_conflict,lower_level,,localized,rapid,2.8,communication_failure,False,False,goal_divergence,oscillating,110,full_dissolution,False,547,True,trust_rebuilding,failed,External stress exceeded federation capacity,probably_preventable,External stress reveals latent dysfunction,Sector SW-6,Dens boundary,911,K. Vorn,1.0,,
FC-0029,Expedition 135 Breakdown,institution,very_large,3006,52,goal_conflict,multiple_components,,contained,intermittent,16.6,external_stress,False,False,goal_divergence,sudden_cascade,20,full_dissolution,False,323,True,expulsion,failed,Trust cascade caught too late,probably_not,External stress reveals latent dysfunction,Archive vicinity,Capital,920,Institutional Review Board,0.7,,
FC-0030,Work Crew 357 Dissolution,institution,large,2831,177,defection,higher_level,,spreading,moderate,28.9,external_stress,False,True,defection_events,sudden_cascade,5,reorganization,True,4,True,expulsion,partial,Horizon mismatch created goal conflict,not_preventable,External stress reveals latent dysfunction,Capital proper,Capital,920,Colony Study Team,0.78,HS-0069,
FC-0031,Archive Annex 20 Collapse,class,small,14,5,exploitation,single_component,Component-3,spreading,none,48.6,trust_erosion,False,False,resource_drain,sudden_cascade,30,partial_dissolution,True,2,True,expulsion,harmful,Level 4 component in Level 3 collective,probably_preventable,Expulsion is sometimes necessary,Trapper territory,Yeller Quarry,919,T. Mord,0.84,,
FC-0032,Digger Colony 892 Defection,work_crew,small,235,11,defection,unknown,,localized,moderate,16.1,goal_drift,False,True,defection_events,recovery,2423,chronic_dysfunction,True,2,True,communication_repair,failed,Extraction pattern established early,preventable,Monitor for reciprocity breach,Archive vicinity,Capital,897,T. Mord,0.56,HS-0130,
FC-0033,Work Crew 59 Dissolution,colony,medium,401,5,defection,external,,localized,moderate,7.1,communication_failure,False,True,defection_events,oscillating,2565,reorganization,True,1,False,none,not_attempted,Level 4 component in Level 3 collective,preventable,External stress reveals latent dysfunction,Mill vicinity,Yeller Quarry,911,Archive Commission,0.57,HS-0021,
FC-0034,Trust Cascade 4,institution,large,1037,63,trust_cascade,multiple_components,,cascading,rapid,67.7,goal_drift,False,False,trust_decline,sudden_cascade,18,reorganization,True,5,False,none,not_attempted,Trust not reciprocal,uncertain,Expulsion is sometimes necessary,Ascetic village,Northo,896,P. Anster,0.53,,
FC-0035,Extraction Pattern Case 411,organism,small,75,6,exploitation,unknown,,localized,none,1.8,horizon_mismatch,False,True,resource_drain,oscillating,525,component_expulsion,True,5,True,goal_realignment,partial,Horizon mismatch created goal conflict,preventable,Level mismatches are dangerous,Scholar's Quarter,Capital,914,Archive Commission,0.67,HS-0051,
FC-0036,Work Crew 367 Dissolution,expedition,medium,53,4,defection,external,,localized,slow,10.8,trust_erosion,False,False,defection_events,plateau,2358,reorganization,True,1,True,reorganization,successful,Trust not reciprocal,probably_preventable,Expulsion is sometimes necessary,Northern monastery,Northo,896,Colony Study Team,0.89,,
FC-0037,Community 839 Split,institution,very_large,972,168,goal_conflict,higher_level,,contained,intermittent,21.8,horizon_mismatch,False,True,goal_divergence,oscillating,2624,recovery,True,5,True,expulsion,partial,Reciprocity failure predicted defection,probably_preventable,Level mismatches are dangerous,Ascetic village,Northo,906,Archive Commission,0.6,HS-0135,
FC-0038,Institution 375 Reorganization,institution,medium,154,259,free_riding,external,,localized,moderate,2.4,external_stress,False,True,performance_decline,plateau,151,partial_dissolution,True,37,False,none,not_attempted,Horizon mismatch created goal conflict,probably_not,Expulsion is sometimes necessary,Healing Institute,Capital,923,Colony Study Team,0.6,HS-0155,
FC-0039,Network 238 Failure,work_crew,small,380,7,delegation_failure,higher_level,,simultaneous,moderate,96.7,horizon_mismatch,False,True,delegation_failures,recovery,2105,partial_dissolution,True,78,True,trust_rebuilding,harmful,Extraction pattern established early,probably_preventable,Trust cascades must be caught early,Capital outskirts,Capital,908,P. Anster,0.58,HS-0006,
FC-0040,Network 956 Failure,institution,medium,2836,59,exploitation,unknown,,localized,none,17.8,horizon_mismatch,False,True,resource_drain,oscillating,2287,reorganization,True,7,True,external_mediation,successful,Extraction pattern established early,probably_preventable,Communication maintenance is prevention,Scholar's Quarter,Capital,899,P. Anster,0.71,HS-0124,
FC-0041,Community 474 Split,class,medium,90,3,exploitation,lower_level,,cascading,rapid,85.0,reciprocity_failure,False,False,resource_drain,recovery,55,chronic_dysfunction,True,8,True,reorganization,partial,Extraction pattern established early,probably_preventable,Monitor for reciprocity breach,Camp settlements,Yeller Quarry,904,Institutional Review Board,0.83,,
FC-0042,Expedition 127 Breakdown,institution,medium,1508,14,delegation_failure,unknown,,contained,rapid,27.7,horizon_mismatch,False,True,delegation_failures,plateau,1432,recovery,True,2,True,reorganization,partial,External stress exceeded federation capacity,preventable,Expulsion is sometimes necessary,Capital proper,Capital,930,Mord-Anster Group,0.83,HS-0054,
FC-0043,Extraction Pattern Case 341,institution,large,1719,152,defection,multiple_components,,localized,moderate,15.6,reciprocity_failure,False,False,defection_events,sudden_cascade,15,reorganization,True,4,True,reorganization,successful,Horizon mismatch created goal conflict,probably_preventable,Goal alignment requires ongoing work,Northern workings,Yeller Quarry,939,Colony Study Team,0.79,,
FC-0044,Network 644 Failure,colony,small,200,8,micromanagement,external,,cascading,slow,80.4,reciprocity_failure,False,False,autonomy_loss,recovery,2570,reorganization,True,3,True,external_mediation,successful,Horizon mismatch created goal conflict,probably_preventable,External stress reveals latent dysfunction,Western approach,Dens boundary,899,T. Mord,0.91,,
FC-0045,Digger Colony 529 Defection,expedition,small,67,17,defection,higher_level,,localized,slow,7.2,trust_erosion,False,False,defection_events,recovery,441,full_dissolution,False,15,False,none,not_attempted,Trust not reciprocal,preventable,Monitor for reciprocity breach,Eastern fluctuation zone,Dens boundary,937,Colony Study Team,0.69,,
FC-0046,Expedition 665 Breakdown,organism,small,35,42,micromanagement,unknown,,cascading,intermittent,90.7,reciprocity_failure,False,False,autonomy_loss,sudden_cascade,16,reorganization,True,1,True,trust_rebuilding,successful,Extraction pattern established early,preventable,Level mismatches are dangerous,Quarry interior,Yeller Quarry,937,P. Anster,0.73,,
FC-0047,Archive Annex 979 Collapse,colony,medium,133,45,micromanagement,unknown,,cascading,intermittent,85.3,reciprocity_failure,False,True,autonomy_loss,oscillating,2871,partial_dissolution,True,45,False,none,not_attempted,Level 4 component in Level 3 collective,preventable,Goal alignment requires ongoing work,Western districts,Capital,912,Colony Study Team,0.86,HS-0083,
FC-0048,Class of 279 Fragmentation,organism,small,19,5,micromanagement,unknown,,contained,moderate,14.7,trust_erosion,False,False,autonomy_loss,recovery,2235,full_dissolution,False,4,True,external_mediation,harmful,External stress exceeded federation capacity,probably_preventable,Level mismatches are dangerous,Eastern fluctuation zone,Dens boundary,925,Archive Commission,0.65,,
FC-0049,Expedition 237 Breakdown,organism,small,32,37,defection,lower_level,,spreading,moderate,24.6,goal_drift,True,False,defection_events,oscillating,386,reorganization,True,3,True,external_mediation,partial,Extraction pattern established early,probably_preventable,Monitor for reciprocity breach,Northern workings,Yeller Quarry,899,Institutional Review Board,0.89,,
FC-0050,Trust Cascade 885,class,small,89,3,trust_cascade,multiple_components,,cascading,rapid,72.6,level_transcendence,True,False,trust_decline,sudden_cascade,28,partial_dissolution,True,44,True,reorganization,failed,Trust not reciprocal,uncertain,Expulsion is sometimes necessary,Western districts,Capital,925,P. Anster,0.61,,
FC-0051,Community 143 Split,organism,small,13,78,trust_cascade,higher_level,,cascading,rapid,95.3,communication_failure,False,True,trust_decline,sudden_cascade,2,component_expulsion,True,1,True,communication_repair,partial,Extraction pattern established early,preventable,Expulsion is sometimes necessary,Scholar's Quarter,Capital,893,P. Anster,0.7,HS-0028,
FC-0052,Class of 663 Fragmentation,work_crew,small,353,1,defection,multiple_components,,localized,slow,15.1,horizon_mismatch,True,True,defection_events,oscillating,746,transformation,True,3,True,reorganization,harmful,Horizon mismatch created goal conflict,preventable,External stress reveals latent dysfunction,Capital proper,Capital,932,K. Vorn,0.6,HS-0162,
FC-0053,Institution 689 Reorganization,class,medium,62,5,exploitation,lower_level,,cascading,intermittent,82.5,horizon_mismatch,False,True,resource_drain,gradual_worsening,2753,reorganization,True,5,True,reorganization,partial,External stress exceeded federation capacity,uncertain,Trust cascades must be caught early,Western districts,Capital,935,Colony Study Team,0.58,HS-0128,
FC-0054,Extraction Pattern Case 992,organism,small,20,92,exploitation,higher_level,,spreading,none,30.4,trust_erosion,False,False,resource_drain,gradual_worsening,550,component_expulsion,True,0,True,goal_realignment,partial,Trust cascade caught too late,probably_preventable,Monitor for reciprocity breach,Western districts,Capital,902,Mord-Anster Group,0.78,,
FC-0055,Institution 373 Reorganization,community,large,2027,86,trust_cascade,higher_level,,cascading,rapid,73.9,trust_erosion,False,False,trust_decline,sudden_cascade,8,partial_dissolution,True,508,False,none,not_attempted,Communication channels degraded before crisis,uncertain,Communication maintenance is prevention,Recovery settlement,Northo,911,P. Anster,0.87,,
FC-0056,Archive Annex 359 Collapse,class,medium,40,1,trust_cascade,external,,cascading,rapid,79.7,communication_failure,False,False,trust_decline,sudden_cascade,5,chronic_dysfunction,True,10,True,trust_rebuilding,failed,Communication channels degraded before crisis,probably_preventable,Level mismatches are dangerous,Northern monastery,Northo,917,Colony Study Team,0.92,,
FC-0057,Institution 505 Reorganization,expedition,small,48,9,trust_cascade,single_component,,cascading,rapid,97.6,trust_erosion,False,False,trust_decline,sudden_cascade,17,reorganization,True,9,True,expulsion,partial,Communication channels degraded before crisis,uncertain,Monitor for reciprocity breach,Northern approach,Tower of Mirado,924,T. Mord,0.69,,
FC-0058,Work Crew 213 Dissolution,colony,medium,363,12,goal_conflict,higher_level,,simultaneous,intermittent,96.6,trust_erosion,False,False,goal_divergence,plateau,909,reorganization,True,10,True,external_mediation,partial,Horizon mismatch created goal conflict,probably_preventable,Goal alignment requires ongoing work,Western districts,Capital,896,K. Vorn,0.8,,
FC-0059,Trust Cascade 279,work_crew,medium,80,13,defection,lower_level,,spreading,slow,19.2,horizon_mismatch,False,True,defection_events,recovery,1882,chronic_dysfunction,True,5,True,expulsion,partial,Level 4 component in Level 3 collective,probably_preventable,Monitor for reciprocity breach,Veteran settlement,Tower of Mirado,933,Archive Commission,1.0,HS-0157,
FC-0060,Digger Colony 504 Defection,colony,medium,194,72,free_riding,single_component,,spreading,slow,34.1,level_transcendence,True,False,performance_decline,recovery,1254,reorganization,True,1,False,none,not_attempted,External stress exceeded federation capacity,probably_preventable,Expulsion is sometimes necessary,Educational district,Densmok,913,P. Anster,0.59,,
FC-0061,Network 645 Failure,organism,small,25,34,goal_conflict,single_component,,cascading,moderate,67.4,trust_erosion,False,True,goal_divergence,plateau,769,reorganization,True,1,False,none,not_attempted,Horizon mismatch created goal conflict,probably_preventable,Communication maintenance is prevention,Dens interior,Dens,922,Colony Study Team,0.57,HS-0036,
FC-0062,Extraction Pattern Case 175,institution,medium,2576,71,trust_cascade,unknown,,cascading,rapid,60.9,trust_erosion,False,False,trust_decline,sudden_cascade,4,chronic_dysfunction,True,7,False,none,not_attempted,Level 4 component in Level 3 collective,uncertain,Level mismatches are dangerous,Northern monastery,Northo,936,Institutional Review Board,0.61,,
FC-0063,Trust Cascade 337,network,medium,876,51,exploitation,multiple_components,,cascading,intermittent,80.5,reciprocity_failure,False,True,resource_drain,plateau,269,full_dissolution,False,336,True,expulsion,harmful,Communication channels degraded before crisis,preventable,Expulsion is sometimes necessary,Suburban zone,Densmok,915,T. Mord,0.66,HS-0035,
FC-0064,Community 818 Split,institution,large,2586,232,delegation_failure,higher_level,,cascading,rapid,91.0,trust_erosion,False,False,delegation_failures,plateau,2862,chronic_dysfunction,True,9,True,reorganization,partial,Trust not reciprocal,probably_preventable,Goal alignment requires ongoing work,Sector SW-6,Dens boundary,903,Institutional Review Board,0.89,,
FC-0065,Digger Colony 746 Defection,work_crew,medium,362,5,trust_cascade,higher_level,,cascading,rapid,88.8,horizon_mismatch,False,True,trust_decline,sudden_cascade,18,component_expulsion,True,6,True,communication_repair,partial,Communication channels degraded before crisis,preventable,Level mismatches are dangerous,Scholar's Quarter,Capital,933,Colony Study Team,0.51,HS-0105,
FC-0066,Expedition 592 Breakdown,institution,large,2258,117,exploitation,higher_level,,simultaneous,intermittent,86.5,external_stress,False,True,resource_drain,plateau,2258,recovery,True,0,True,expulsion,partial,External stress exceeded federation capacity,probably_preventable,Monitor for reciprocity breach,Sector NE-4,Dens boundary,920,Mord-Anster Group,0.58,HS-0145,
FC-0067,Archive Annex 429 Collapse,work_crew,small,255,20,delegation_failure,single_component,,simultaneous,slow,77.3,horizon_mismatch,False,True,delegation_failures,sudden_cascade,30,partial_dissolution,True,55,True,expulsion,harmful,Communication channels degraded before crisis,uncertain,Communication maintenance is prevention,Northern workings,Yeller Quarry,903,Colony Study Team,0.73,HS-0036,
FC-0068,Network 120 Failure,institution,large,224,201,defection,single_component,Component-45,spreading,slow,13.5,trust_erosion,False,False,defection_events,oscillating,719,chronic_dysfunction,True,3,True,communication_repair,partial,Horizon mismatch created goal conflict,preventable,Level mismatches are dangerous,Klutch CC,Densmok,921,K. Vorn,0.81,,
FC-0069,Trust Cascade 549,colony,medium,422,100,defection,external,,localized,moderate,15.5,trust_erosion,False,False,defection_events,sudden_cascade,21,reorganization,True,7,True,trust_rebuilding,partial,Communication channels degraded before crisis,preventable,Communication maintenance is prevention,Western districts,Capital,892,T. Mord,0.93,,
FC-0070,Work Crew 641 Dissolution,colony,medium,185,100,goal_conflict,higher_level,,localized,intermittent,13.4,external_stress,False,False,goal_divergence,sudden_cascade,3,component_expulsion,True,6,True,external_mediation,partial,Communication channels degraded before crisis,probably_not,External stress reveals latent dysfunction,Capital outskirts,Capital,920,Colony Study Team,0.57,,
FC-0071,Archive Annex 543 Collapse,community,very_large,2299,84,communication_collapse,lower_level,,cascading,slow,81.1,trust_erosion,False,False,communication_breakdown,oscillating,686,partial_dissolution,True,737,True,expulsion,failed,Trust cascade caught too late,probably_preventable,Monitor for reciprocity breach,Trapper territory,Yeller Quarry,919,T. Mord,0.8,,
FC-0072,Institution 621 Reorganization,institution,large,1557,70,trust_cascade,lower_level,,cascading,rapid,91.7,reciprocity_failure,False,False,trust_decline,sudden_cascade,8,transformation,True,6,True,communication_repair,failed,Trust not reciprocal,probably_preventable,Goal alignment requires ongoing work,Tower base,Tower of Mirado,892,K. Vorn,0.64,,
FC-0073,Institution 166 Reorganization,institution,very_large,3399,208,defection,unknown,,spreading,slow,22.7,horizon_mismatch,False,True,defection_events,sudden_cascade,16,partial_dissolution,True,1309,True,goal_realignment,harmful,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Scholar's Quarter,Capital,913,Colony Study Team,0.56,HS-0024,
FC-0074,Expedition 126 Breakdown,colony,small,202,99,delegation_failure,higher_level,,spreading,slow,21.8,trust_erosion,False,True,delegation_failures,sudden_cascade,17,partial_dissolution,True,96,True,goal_realignment,harmful,Trust not reciprocal,preventable,Expulsion is sometimes necessary,Scholar's Quarter,Capital,914,Colony Study Team,0.95,HS-0150,
FC-0075,Community 222 Split,institution,medium,1123,64,trust_cascade,external,,cascading,rapid,92.5,horizon_mismatch,False,True,trust_decline,sudden_cascade,12,reorganization,True,10,True,reorganization,successful,Reciprocity failure predicted defection,probably_preventable,Goal alignment requires ongoing work,Capital outskirts,Capital,915,Archive Commission,0.63,HS-0199,
FC-0076,Archive Annex 153 Collapse,colony,small,476,95,trust_cascade,external,,cascading,rapid,62.5,level_transcendence,True,False,trust_decline,sudden_cascade,26,full_dissolution,False,131,True,trust_rebuilding,failed,Trust not reciprocal,probably_preventable,External stress reveals latent dysfunction,Scholar's Quarter,Capital,902,K. Vorn,0.73,,
FC-0077,Digger Colony 698 Defection,class,small,47,4,defection,higher_level,,localized,slow,5.2,external_stress,False,False,defection_events,gradual_worsening,2008,reorganization,True,6,False,none,not_attempted,Trust cascade caught too late,probably_not,Monitor for reciprocity breach,Dens interior,Dens,897,P. Anster,0.94,,
FC-0078,Network 334 Failure,colony,medium,99,52,defection,unknown,,spreading,slow,16.0,external_stress,False,False,defection_events,sudden_cascade,13,reorganization,True,6,True,goal_realignment,successful,External stress exceeded federation capacity,not_preventable,Goal alignment requires ongoing work,Western districts,Capital,912,Archive Commission,0.88,,
FC-0079,Digger Colony 665 Defection,institution,very_large,3021,114,exploitation,multiple_components,,cascading,moderate,83.6,reciprocity_failure,False,False,resource_drain,recovery,1004,recovery,True,3,True,trust_rebuilding,successful,Communication channels degraded before crisis,preventable,Trust cascades must be caught early,Coder quarter,Densmok,927,Institutional Review Board,0.83,,
FC-0080,Archive Annex 422 Collapse,class,small,43,1,reciprocity_breach,single_component,,simultaneous,none,75.7,communication_failure,False,False,extraction_pattern,recovery,667,chronic_dysfunction,True,4,True,reorganization,failed,Level 4 component in Level 3 collective,probably_preventable,Goal alignment requires ongoing work,Sector NE-4,Dens boundary,928,Colony Study Team,0.82,,
FC-0081,Archive Annex 620 Collapse,institution,large,2117,89,delegation_failure,multiple_components,,simultaneous,slow,75.6,external_stress,False,False,delegation_failures,oscillating,2853,component_expulsion,True,129,False,none,not_attempted,Communication channels degraded before crisis,probably_not,Trust cascades must be caught early,Quarry Sector 7,Yeller Quarry,924,Institutional Review Board,0.71,,
FC-0082,Expedition 135 Breakdown,expedition,small,79,11,communication_collapse,single_component,Component-95,contained,rapid,17.4,communication_failure,False,True,communication_breakdown,plateau,926,recovery,True,5,True,trust_rebuilding,partial,Communication channels degraded before crisis,probably_preventable,Goal alignment requires ongoing work,Mill vicinity,Yeller Quarry,936,K. Vorn,0.51,HS-0041,
FC-0083,Network 445 Failure,work_crew,medium,327,12,goal_conflict,multiple_components,,localized,moderate,16.0,reciprocity_failure,False,False,goal_divergence,gradual_worsening,2151,full_dissolution,False,75,True,expulsion,failed,Horizon mismatch created goal conflict,probably_preventable,External stress reveals latent dysfunction,Western approach,Dens boundary,919,Institutional Review Board,0.73,,
FC-0084,Community 703 Split,community,large,4149,74,trust_cascade,higher_level,,cascading,rapid,60.5,reciprocity_failure,False,False,trust_decline,sudden_cascade,26,recovery,True,6,True,reorganization,successful,Trust cascade caught too late,probably_preventable,Goal alignment requires ongoing work,Capital outskirts,Capital,907,Mord-Anster Group,0.61,,
FC-0085,Extraction Pattern Case 538,expedition,small,60,13,delegation_failure,external,,spreading,slow,34.1,level_transcendence,True,False,delegation_failures,plateau,2100,partial_dissolution,True,25,True,expulsion,harmful,Level 4 component in Level 3 collective,preventable,External stress reveals latent dysfunction,Healing Institute,Capital,897,Archive Commission,0.71,,
