form_id,form_name,fl_catalog_id,coord_x,coord_y,coord_z,curvature_local,basin_id,basin_position,stability_score,perturbation_resistance,form_category,prime_association,domain,first_measured,measurement_method,confidence,surveyor,description,notes
MS-0027,The Five-Body Form,FL-027,0.71,0.65,0.89,0.867,BA-005,inner,0.88,0.77,major_attractor,5,entity,918,direct_triangulation,0.86,C. Vells,Single identity across multiple bodies. Unique manifestation: Yeller. Isolated basin.,
MS-0028,The Orbital Configuration,,0.3661,0.509,0.4063,-1.285,BA-001,outer,0.66,0.58,minor_attractor,7,behavior,921,similarity_inference,0.73,Senate Survey,Local minimum in the morphospace landscape. Near saddle point SP-001.,
MS-0029,The Convergent Passage,,1,0.1978,0.331,-2.0,BA-001,ridge_adjacent,0.35,0.31,transitional,,creature,919,direct_triangulation,0.76,Senate Survey,Passage form connecting distinct regions of morphospace. Adjacent to documented geodesic path.,
MS-0030,The Western Bridge,,-0.2779,-0.3175,-0.016,-1.146,BA-048,ridge_adjacent,0.39,0.39,transitional,,behavior,918,similarity_inference,0.84,P. Brent (historical),Transitional state with limited persistence. Archive Survey Team documentation.,
MS-0031,The Western Mode,FL-031,-0.2971,0.2034,0.2457,0.013,BA-029,inner,0.96,0.95,major_attractor,7,creature,919,similarity_inference,0.8,P. Brent (historical),Deep attractor drawing systems from a wide catchment. Possibly connected to Keth's spatial observations.,
MS-0032,Deep Minor,,-0.4694,-0.4331,-0.7316,-2.0,BA-047,outer,0.52,0.54,minor_attractor,2,behavior,932,boundary_extrapolation,0.67,Independent Scholar,Sheltered form in the lee of the major attractors. Prime association uncertain.,
MS-0033,The Flat Bridge,,-0.0101,-0.4866,-0.1716,0.48,BA-050,outer,0.4,0.41,transitional,3,behavior,923,similarity_inference,0.69,K. Strand,Transitional state with limited persistence. Curvature measurements indicate hyperbolic local geometry.,
MS-0034,Tertiary Minor,FL-034,0.4777,-0.3964,-0.5892,-1.705,BA-019,outer,0.72,0.79,minor_attractor,,behavior,929,boundary_extrapolation,0.63,T. Vells,Local minimum in the morphospace landscape. First documented by Vells in Year 918.,
MS-0035,The Wide Passage,FL-035,0.6429,0.3492,0.3627,-0.116,BA-007,outer,0.33,0.36,transitional,,phenomenon,932,similarity_inference,0.78,E. Pol (historical),Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0036,Flat Fluctuation,,0.415,-0.144,-0.5372,-1.67,BA-032,outer,0.33,0.27,unstable,,creature,918,direct_triangulation,0.88,K. Strand,Dissolution state where form coherence breaks down. Identified through transformation trajectory analysis.,
MS-0037,Curved Transition,FL-037,0.1763,-0.4515,0.6314,-1.325,BA-018,outer,0.42,0.3,transitional,2,creature,919,direct_triangulation,0.68,Independent Scholar,Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0038,Curved Attractor,,-0.9524,0.6394,0.1506,-2.0,BA-024,outer,0.66,0.64,minor_attractor,3,structure,918,direct_triangulation,0.65,P. Brent (historical),Local minimum in the morphospace landscape. Coordinates refined in Year 925 survey.,
MS-0039,The Resonant Attractor,,-0.6581,-0.5192,0.6549,-0.671,BA-038,inner,0.92,0.86,major_attractor,5,behavior,921,historical_reconstruction,0.88,K. Strand,Strong attractor with high escape velocity. Position confirmed by multiple observers.,
MS-0040,Deep State,,-0.1578,0.8178,0.3855,-0.928,BA-049,outer,0.57,0.44,minor_attractor,,entity,926,similarity_inference,0.64,Archive Survey Team,Local minimum in the morphospace landscape. Near saddle point SP-001.,
MS-0041,Spiral State,,0.0796,0.1804,-0.5855,-2.0,BA-032,outer,0.58,0.47,minor_attractor,,phenomenon,922,boundary_extrapolation,0.8,C. Vells,Stable resting form on the slopes of Basin Basin 032. Position confirmed by multiple observers.,
MS-0042,Secondary Resonant Pattern,FL-042,-0.5891,-0.074,-0.1355,-1.84,BA-008,outer,0.67,0.58,minor_attractor,,creature,920,boundary_extrapolation,0.9,E. Pol (historical),Stable resting form on the slopes of Basin Basin 008. Coordinates refined in Year 925 survey.,
MS-0043,Convergent Drift,,0.6356,-0.238,-0.4906,-1.625,BA-019,outer,0.2,0.13,unstable,,place,932,similarity_inference,0.92,Western Archive Team,Near-chaos configuration in Dens-correlated territory. Possibly connected to Keth's spatial observations.,
MS-0044,Convergent Transition,,-0.0194,0.5461,-1,-2.0,BA-035,ridge_adjacent,0.34,0.3,transitional,2,place,919,boundary_extrapolation,0.8,C. Vells,Passage form connecting distinct regions of morphospace. Coordinates refined in Year 925 survey.,
MS-0045,Divergent State,,-0.0426,-0.0741,0.5526,-1.886,BA-034,outer,0.73,0.55,minor_attractor,2,creature,927,similarity_inference,0.8,P. Brent (historical),Local minimum in the morphospace landscape. Adjacent to documented geodesic path.,
MS-0046,The Outer State,,-0.4576,-0.5188,0.6393,0.359,BA-038,center,0.97,0.86,major_attractor,5,place,924,similarity_inference,0.89,K. Strand,Deep attractor drawing systems from a wide catchment. Near saddle point SP-001.,
MS-0047,The Flat Attractor,,0.229,0.0838,-0.0826,0.556,BA-028,center,0.99,0.85,major_attractor,11,structure,931,historical_reconstruction,0.66,Independent Scholar,One of the foundational forms in morphospace. Position confirmed by multiple observers.,
MS-0048,The Secondary Resting Form,,-0.6777,0.8881,0.0843,-1.212,BA-039,outer,0.59,0.5,minor_attractor,5,structure,925,historical_reconstruction,0.9,T. Vells,Stable resting form on the slopes of Basin Basin 039. Curvature measurements indicate hyperbolic local geometry.,
MS-0049,Inner Dissolution,,-0.358,0.2684,0.4744,-2.0,BA-040,outer,0.12,0.1,unstable,,structure,930,similarity_inference,0.93,Boundary Commission,Highly unstable form in a region of negative curvature. First documented by Vells in Year 918.,
MS-0050,The Tertiary Configuration,FL-050,-0.929,0.2051,-0.0084,-1.632,BA-008,outer,0.59,0.53,minor_attractor,,entity,932,similarity_inference,0.78,Senate Survey,Local minimum in the morphospace landscape. First documented by Vells in Year 918.,
MS-0051,The Narrow Instability,FL-051,0.3517,-0.2573,-0.784,-2.0,BA-010,ridge_adjacent,0.14,0.16,unstable,3,creature,922,boundary_extrapolation,0.8,T. Vells,Highly unstable form in a region of negative curvature. Manifestation observed in Yeller Quarry.,
MS-0052,Secondary Northern Pattern,,0.1682,-0.5718,-0.0321,-2.0,BA-006,outer,0.76,0.72,minor_attractor,,creature,928,historical_reconstruction,0.71,C. Vells,Stable resting form on the slopes of Basin Septenary Basin. Near saddle point SP-001.,
MS-0053,Secondary Minor,FL-053,-0.2901,0.4902,-0.2634,0.311,BA-015,outer,0.54,0.44,minor_attractor,11,behavior,929,historical_reconstruction,0.65,K. Strand,Stable resting form on the slopes of Basin Breathing Hollow. Adjacent to documented geodesic path.,
MS-0054,The Resonant Form,,-0.3711,-0.2627,-0.5435,0.151,BA-031,inner,0.87,0.78,major_attractor,3,phenomenon,928,similarity_inference,0.58,E. Pol (historical),Deep attractor drawing systems from a wide catchment. Adjacent to documented geodesic path.,
MS-0055,Eastern Waypoint,FL-055,-0.5202,-0.2558,-0.8633,-2.0,BA-026,outer,0.32,0.24,transitional,,behavior,921,similarity_inference,0.71,Western Archive Team,Passage form connecting distinct regions of morphospace. Archive Survey Team documentation.,
MS-0056,The Linear Configuration,,-0.7765,0.2829,-0.7383,-1.248,BA-042,inner,0.66,0.59,minor_attractor,11,phenomenon,930,similarity_inference,0.64,T. Vells,Stable resting form on the slopes of Basin Basin 042. Possibly connected to Keth's spatial observations.,
MS-0057,The Orbital Bridge,FL-057,-0.2341,-0.0771,-0.13,-0.517,BA-021,ridge_adjacent,0.26,0.26,transitional,,entity,920,historical_reconstruction,0.87,Independent Scholar,Waypoint between Basin Basin 021 and adjacent territory. Coordinates refined in Year 925 survey.,
MS-0058,Eastern Minor,,0.6034,0.1202,-0.958,-0.869,BA-010,inner,0.66,0.6,minor_attractor,7,creature,925,similarity_inference,0.77,E. Pol (historical),Local minimum in the morphospace landscape. First documented by Vells in Year 918.,
MS-0059,The Deep Configuration,,-0.1466,-0.2832,-0.2012,-0.952,BA-021,outer,0.59,0.59,minor_attractor,,behavior,922,direct_triangulation,0.76,C. Vells,Secondary attractor providing intermediate stability. Boundary Commission survey site.,
MS-0060,Spiral Transition,,-0.5244,-0.0735,0.8761,-2.0,BA-020,ridge_adjacent,0.39,0.42,transitional,,behavior,929,direct_triangulation,0.65,K. Strand,Transitional state with limited persistence. Basin assignment contested until Year 920.,
MS-0061,Western Attractor,,-0.2998,1,0.6089,-0.471,BA-014,outer,0.7,0.59,minor_attractor,,behavior,926,historical_reconstruction,0.85,Independent Scholar,Local minimum in the morphospace landscape. Manifestation observed in Yeller Quarry.,
MS-0062,Transitional Axial,FL-062,-0.2241,0.1687,-0.3759,-2.0,BA-015,ridge_adjacent,0.39,0.46,transitional,3,place,927,direct_triangulation,0.64,Independent Scholar,Transitional state with limited persistence. Archive Survey Team documentation.,
MS-0063,The Tertiary Chaos,,-0.7405,0.3322,0.0729,-2.0,BA-008,ridge_adjacent,0.19,0.14,unstable,2,creature,931,similarity_inference,0.78,Boundary Commission,Dissolution state where form coherence breaks down. Identified through transformation trajectory analysis.,
MS-0064,Unstable Western,,0.1398,-0.8989,-0.2611,-0.517,BA-012,ridge_adjacent,0.16,0.15,unstable,2,structure,929,direct_triangulation,0.55,C. Vells,Highly unstable form in a region of negative curvature. Coordinates refined in Year 925 survey.,
MS-0065,Recent Minor,,-0.7845,-0.247,-0.5747,-0.398,BA-045,inner,0.66,0.56,minor_attractor,,creature,927,direct_triangulation,0.86,C. Vells,Sheltered form in the lee of the major attractors. Manifestation observed in Yeller Quarry.,
MS-0066,Shallow Transition,,0.7881,-0.1139,-0.7162,-2.0,BA-019,outer,0.39,0.36,transitional,,creature,921,direct_triangulation,0.67,T. Vells,Passage form connecting distinct regions of morphospace. Identified through transformation trajectory analysis.,
MS-0067,Recent Drift,,-0.9828,-0.7308,0.7855,-2.0,BA-038,ridge_adjacent,0.05,0.05,unstable,2,entity,926,similarity_inference,0.69,C. Vells,Fluctuating form with minimal persistence time. Prime association uncertain.,
MS-0068,Spiral Flow,FL-068,-0.4288,-0.0126,-0.4144,-2.0,BA-031,ridge_adjacent,0.35,0.36,transitional,,structure,923,direct_triangulation,0.67,E. Pol (historical),Ridge-adjacent form where systems pause briefly. First documented by Vells in Year 918.,
MS-0069,Shallow State,,-0.6763,0.8353,0.4447,-2.0,BA-039,outer,0.58,0.56,minor_attractor,3,entity,929,historical_reconstruction,0.91,E. Pol (historical),Secondary attractor providing intermediate stability. Coordinates refined in Year 925 survey.,
MS-0070,Linear Dissolution,,-0.2396,-0.4535,0.1005,-2.0,BA-048,outer,0.22,0.25,unstable,3,behavior,922,direct_triangulation,0.84,Boundary Commission,Highly unstable form in a region of negative curvature. Identified through transformation trajectory analysis.,
MS-0071,The Radial State,FL-071,-0.5122,0.5137,-0.343,-0.013,BA-037,inner,0.98,0.81,major_attractor,,behavior,929,similarity_inference,0.68,Independent Scholar,One of the foundational forms in morphospace. Archive Survey Team documentation.,
MS-0072,Wide Transition,FL-072,-0.8693,0.0181,-0.8203,-1.618,BA-042,ridge_adjacent,0.32,0.3,transitional,,phenomenon,924,direct_triangulation,0.64,C. Vells,Transitional state with limited persistence. Boundary Commission survey site.,
MS-0073,Orbital Flow,,-0.0744,-0.5488,0.3526,-0.619,BA-006,ridge_adjacent,0.28,0.28,transitional,5,structure,921,similarity_inference,0.83,Independent Scholar,Transitional state with limited persistence. Shows oscillation similar to FL-003.,
MS-0074,Transitional Dissonant,,0.4581,0.6917,0.9538,-2.0,BA-013,ridge_adjacent,0.33,0.32,transitional,,entity,922,historical_reconstruction,0.61,C. Vells,Ridge-adjacent form where systems pause briefly. First documented by Vells in Year 918.,
MS-0075,Transitional Secondary,,-0.6463,-0.2989,-0.2466,-0.781,BA-002,ridge_adjacent,0.39,0.36,transitional,,behavior,932,similarity_inference,0.6,Western Archive Team,Passage form connecting distinct regions of morphospace. First documented by Vells in Year 918.,
MS-0076,Secondary Secondary Pattern,FL-076,-0.2124,0.8031,0.0789,-0.602,BA-049,inner,0.78,0.74,minor_attractor,7,behavior,929,boundary_extrapolation,0.82,E. Pol (historical),Local minimum in the morphospace landscape. Shows oscillation similar to FL-003.,
MS-0077,The Spiral Configuration,FL-077,-0.5164,0.7922,-0.15,-2.0,BA-009,outer,0.71,0.64,minor_attractor,5,behavior,921,similarity_inference,0.8,Senate Survey,Secondary attractor providing intermediate stability. Basin assignment contested until Year 920.,
MS-0078,Eastern Transition,,-0.38,0.3749,0.2364,0.061,BA-029,ridge_adjacent,0.25,0.19,transitional,,entity,923,similarity_inference,0.86,E. Pol (historical),Transitional state with limited persistence. Identified through transformation trajectory analysis.,
MS-0079,Secondary Fluctuation,,-0.7193,-0.5745,-0.3812,-2.0,BA-026,ridge_adjacent,0.19,0.2,unstable,,entity,919,similarity_inference,0.88,P. Brent (historical),Near-chaos configuration in Dens-correlated territory. Coordinates refined in Year 925 survey.,
MS-0080,Transitional Harmonic,,0.263,-0.6055,0.5582,-1.603,BA-006,outer,0.32,0.22,transitional,,creature,920,similarity_inference,0.59,P. Brent (historical),Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0081,Dissonant Flow,,0.0888,-0.2235,0.5374,-2.0,BA-034,ridge_adjacent,0.32,0.28,transitional,,creature,928,similarity_inference,0.66,Boundary Commission,Waypoint between Basin Basin 034 and adjacent territory. Adjacent to documented geodesic path.,
MS-0082,Orbital Transition,FL-082,0.605,0.9701,0.339,-2.0,BA-013,ridge_adjacent,0.43,0.44,transitional,3,behavior,932,direct_triangulation,0.83,P. Brent (historical),Transitional state with limited persistence. Basin assignment contested until Year 920.,
MS-0083,The Primary Configuration,FL-083,-0.2295,1,0.4229,-1.334,BA-049,outer,0.68,0.55,minor_attractor,5,creature,929,historical_reconstruction,0.83,P. Brent (historical),Local minimum in the morphospace landscape. Shows oscillation similar to FL-003.,
MS-0084,Unstable Radial,FL-084,-0.1746,0.772,0.3783,-1.513,BA-049,outer,0.17,0.17,unstable,,creature,921,similarity_inference,0.59,Boundary Commission,Near-chaos configuration in Dens-correlated territory. Possibly connected to Keth's spatial observations.,
MS-0085,Western Transition,FL-085,-0.0732,-0.1743,0.8631,-2.0,BA-034,ridge_adjacent,0.34,0.27,transitional,,entity,930,historical_reconstruction,0.67,Independent Scholar,Ridge-adjacent form where systems pause briefly. Boundary Commission survey site.,
MS-0086,Divergent Attractor,,-0.2708,-0.4439,-0.0179,-1.541,BA-048,outer,0.71,0.62,minor_attractor,11,entity,919,similarity_inference,0.88,Western Archive Team,Local minimum in the morphospace landscape. Identified through transformation trajectory analysis.,
MS-0087,Secondary Transition,,0.8904,-0.453,0.474,-1.135,BA-011,outer,0.31,0.31,transitional,,creature,923,similarity_inference,0.56,K. Strand,Waypoint between Basin Basin 011 and adjacent territory. Possibly connected to Keth's spatial observations.,
MS-0088,Southern Transition,,-0.359,0.1955,0.5735,-2.0,BA-040,ridge_adjacent,0.43,0.29,transitional,,behavior,918,direct_triangulation,0.57,Independent Scholar,Waypoint between Basin Basin 040 and adjacent territory. Archive Survey Team documentation.,
MS-0089,The Axial Bridge,FL-089,0.2484,0.8099,-0.5396,-0.403,BA-041,outer,0.28,0.21,transitional,,place,926,direct_triangulation,0.88,E. Pol (historical),Ridge-adjacent form where systems pause briefly. Basin assignment contested until Year 920.,
MS-0090,The Linear Form,,-0.6547,0.5266,-0.3876,0.253,BA-016,center,0.98,0.87,major_attractor,7,behavior,929,similarity_inference,0.69,E. Pol (historical),Deep attractor drawing systems from a wide catchment. Shows oscillation similar to FL-003.,
MS-0091,Inner Fluctuation,,0.5234,-0.0575,-0.5731,-0.919,BA-010,ridge_adjacent,0.05,0.08,unstable,,creature,930,direct_triangulation,0.64,Archive Survey Team,Near-chaos configuration in Dens-correlated territory. Boundary Commission survey site.,
MS-0092,Western Flow,,-0.3936,0.7046,0.2192,-1.991,BA-039,ridge_adjacent,0.41,0.34,transitional,3,creature,927,direct_triangulation,0.69,Independent Scholar,Ridge-adjacent form where systems pause briefly. Archive Survey Team documentation.,
MS-0093,Narrow Waypoint,,0.4328,0.4377,0.4455,-1.403,BA-003,outer,0.42,0.37,transitional,,entity,919,historical_reconstruction,0.62,E. Pol (historical),Transitional state with limited persistence. Manifestation observed in Yeller Quarry.,
MS-0094,The Flat Passage,,0.6836,0.7733,0.4454,-2.0,BA-007,ridge_adjacent,0.26,0.22,transitional,2,creature,929,historical_reconstruction,0.59,E. Pol (historical),Passage form connecting distinct regions of morphospace. Curvature measurements indicate hyperbolic local geometry.,
MS-0095,Orbital Attractor,,-0.8425,0.1833,-0.1536,-1.277,BA-008,outer,0.68,0.65,minor_attractor,2,phenomenon,926,similarity_inference,0.68,Western Archive Team,Secondary attractor providing intermediate stability. Archive Survey Team documentation.,
MS-0096,Shallow Dissolution,,-0.6665,-0.2356,0.7837,-2.0,BA-020,outer,0.28,0.18,unstable,,creature,927,similarity_inference,0.67,C. Vells,Near-chaos configuration in Dens-correlated territory. Adjacent to documented geodesic path.,
MS-0097,Southern Fluctuation,FL-097,-0.4623,0.9523,0.1649,-0.333,BA-039,outer,0.07,0.07,unstable,3,creature,921,similarity_inference,0.6,Independent Scholar,Dissolution state where form coherence breaks down. Near saddle point SP-001.,
MS-0098,The Ancient Passage,,0.4581,0.3072,-1,-2.0,BA-010,ridge_adjacent,0.34,0.35,transitional,,place,925,similarity_inference,0.76,Western Archive Team,Waypoint between Basin Basin 010 and adjacent territory. Manifestation observed in Yeller Quarry.,
MS-0099,The Primary Bridge,FL-099,0.6787,0.443,1,-2.0,BA-005,ridge_adjacent,0.42,0.37,transitional,,behavior,930,similarity_inference,0.87,C. Vells,Passage form connecting distinct regions of morphospace. Boundary Commission survey site.,
MS-0100,The Divergent Pattern,FL-100,-0.1342,0.5911,0.3655,0.27,BA-004,center,0.99,0.88,major_attractor,2,creature,924,boundary_extrapolation,0.75,Western Archive Team,Highly stable form at the center of Basin Triad Basin. Identified through transformation trajectory analysis.,
MS-0101,The Spiral Instability,FL-101,-0.439,-0.4228,-0.6926,-0.764,BA-026,ridge_adjacent,0.29,0.24,unstable,,phenomenon,923,similarity_inference,0.88,Independent Scholar,Dissolution state where form coherence breaks down. First documented by Vells in Year 918.,
MS-0102,Wide Attractor,,0.2039,0.929,-0.9013,-1.106,BA-035,outer,0.6,0.48,minor_attractor,,creature,923,direct_triangulation,0.68,T. Vells,Stable resting form on the slopes of Basin Basin 035. Position confirmed by multiple observers.,
MS-0103,The Wide Pattern,,-0.6419,0.3431,0.0651,0.059,BA-024,inner,0.96,0.83,major_attractor,11,creature,928,direct_triangulation,0.9,Senate Survey,Strong attractor with high escape velocity. Manifestation observed in Yeller Quarry.,
MS-0104,Curved Flow,,-0.534,0.1024,0.1995,-1.729,BA-029,outer,0.46,0.44,transitional,,creature,919,similarity_inference,0.92,Boundary Commission,Ridge-adjacent form where systems pause briefly. Position confirmed by multiple observers.,
MS-0105,Dissonant Attractor,,-0.7459,-0.2707,-0.653,0.38,BA-045,inner,0.74,0.77,minor_attractor,,creature,931,direct_triangulation,0.7,K. Strand,Local minimum in the morphospace landscape. Position confirmed by multiple observers.,
MS-0106,Convergent Fluctuation,,-0.1953,-0.5779,-0.6433,-1.451,BA-025,outer,0.16,0.13,unstable,5,behavior,921,historical_reconstruction,0.57,C. Vells,Near-chaos configuration in Dens-correlated territory. First documented by Vells in Year 918.,
MS-0107,The Curved State,,-0.6978,0.3144,0.2115,0.897,BA-024,center,0.97,0.87,major_attractor,7,creature,925,similarity_inference,0.72,Archive Survey Team,Highly stable form at the center of Basin Basin 024. Coordinates refined in Year 925 survey.,
MS-0108,Unstable Flat,,0.2676,-0.0302,-0.2516,-0.94,BA-033,outer,0.12,0.05,unstable,5,creature,923,direct_triangulation,0.68,E. Pol (historical),Fluctuating form with minimal persistence time. Identified through transformation trajectory analysis.,
MS-0109,Transitional Convergent,,0.1339,0.068,-0.0523,-2.0,BA-001,ridge_adjacent,0.36,0.31,transitional,,creature,919,similarity_inference,0.87,Senate Survey,Ridge-adjacent form where systems pause briefly. Identified through transformation trajectory analysis.,
MS-0110,Transitional Northern,,-0.0218,0.9164,0.4122,-2.0,BA-049,outer,0.31,0.28,transitional,2,place,932,similarity_inference,0.76,Independent Scholar,Ridge-adjacent form where systems pause briefly. Possibly connected to Keth's spatial observations.,
MS-0111,The Harmonic Passage,,-0.6737,0.4306,-0.2142,-2.0,BA-016,ridge_adjacent,0.32,0.22,transitional,,creature,932,similarity_inference,0.77,T. Vells,Passage form connecting distinct regions of morphospace. Position confirmed by multiple observers.,
MS-0112,The Convergent Resting Form,,-0.6781,0.4411,-0.1624,-0.016,BA-036,inner,0.76,0.71,minor_attractor,11,place,928,direct_triangulation,0.63,K. Strand,Sheltered form in the lee of the major attractors. Coordinates refined in Year 925 survey.,
MS-0113,The Spiral Attractor,,-0.5558,-0.6369,-0.0572,0.383,BA-027,center,0.95,0.85,major_attractor,5,behavior,919,direct_triangulation,0.88,Independent Scholar,Deep attractor drawing systems from a wide catchment. Archive Survey Team documentation.,
MS-0114,The Narrow Mode,,0.1238,-0.4588,0.7982,0.138,BA-030,center,0.92,0.82,major_attractor,,creature,918,similarity_inference,0.59,K. Strand,Highly stable form at the center of Basin Basin 030. Basin assignment contested until Year 920.,
MS-0115,The Flat Chaos,FL-115,0.6401,0.1504,-0.7439,-0.079,BA-010,outer,0.17,0.19,unstable,,creature,918,direct_triangulation,0.65,E. Pol (historical),Highly unstable form in a region of negative curvature. Shows oscillation similar to FL-003.,
MS-0116,Transitional Tertiary,FL-116,-0.6888,-0.1237,0.0044,-2.0,BA-008,outer,0.37,0.39,transitional,3,behavior,932,similarity_inference,0.73,Senate Survey,Ridge-adjacent form where systems pause briefly. Position confirmed by multiple observers.,
MS-0117,The Dissonant Passage,,0.219,0.1168,0.1034,-2.0,BA-028,ridge_adjacent,0.36,0.31,transitional,3,creature,920,similarity_inference,0.8,Senate Survey,Waypoint between Basin Basin 028 and adjacent territory. Prime association uncertain.,
MS-0118,The Outer Attractor,,-0.0605,0.2437,-0.1423,-0.299,BA-022,inner,0.99,0.85,major_attractor,2,behavior,932,historical_reconstruction,0.63,Senate Survey,Strong attractor with high escape velocity. Position confirmed by multiple observers.,
MS-0119,The Outer Bridge,,0.2067,0.4059,0.1734,-1.309,BA-022,ridge_adjacent,0.39,0.42,transitional,5,creature,927,similarity_inference,0.93,Boundary Commission,Ridge-adjacent form where systems pause briefly. Position confirmed by multiple observers.,
MS-0120,The Convergent Form,,0.7735,0.696,0.9365,-0.918,BA-005,inner,0.95,0.89,major_attractor,11,creature,920,boundary_extrapolation,0.69,Archive Survey Team,One of the foundational forms in morphospace. Coordinates refined in Year 925 survey.,
MS-0121,The Deep Attractor,,-0.5524,-0.6107,-0.0398,0.731,BA-027,center,0.99,0.89,major_attractor,,behavior,921,direct_triangulation,0.66,Independent Scholar,One of the foundational forms in morphospace. Near saddle point SP-001.,
MS-0122,The Inner Pattern,,-0.1943,-0.3888,-0.0624,0.349,BA-048,inner,0.87,0.72,major_attractor,11,creature,927,similarity_inference,0.72,T. Vells,Strong attractor with high escape velocity. Near saddle point SP-001.,
MS-0123,Primary Minor,,-0.65,0.5135,-0.1053,0.271,BA-036,inner,0.76,0.63,minor_attractor,,behavior,922,similarity_inference,0.55,T. Vells,Local minimum in the morphospace landscape. First documented by Vells in Year 918.,
MS-0124,Inner Flow,,-0.8182,-0.386,-0.0558,-0.568,BA-002,outer,0.51,0.52,transitional,,behavior,918,boundary_extrapolation,0.79,Archive Survey Team,Ridge-adjacent form where systems pause briefly. Archive Survey Team documentation.,
MS-0125,The Convergent Bridge,,0.3193,-0.6063,0.0631,-2.0,BA-043,ridge_adjacent,0.38,0.3,transitional,,creature,926,boundary_extrapolation,0.88,K. Strand,Transitional state with limited persistence. Adjacent to documented geodesic path.,
MS-0126,Axial Waypoint,,-0.3366,0.0912,-0.1146,-2.0,BA-021,ridge_adjacent,0.27,0.18,transitional,,entity,930,similarity_inference,0.61,Boundary Commission,Waypoint between Basin Basin 021 and adjacent territory. Prime association uncertain.,
MS-0127,The Tertiary Resting Form,,0.4209,-0.12,-0.9537,-2.0,BA-019,outer,0.54,0.49,minor_attractor,,structure,927,boundary_extrapolation,0.6,Senate Survey,Local minimum in the morphospace landscape. Boundary Commission survey site.,
MS-0128,The Inner Form,,0.221,-0.2336,0.6403,0.924,BA-018,center,0.95,0.87,major_attractor,5,creature,928,historical_reconstruction,0.91,Boundary Commission,Highly stable form at the center of Basin Basin 018. Shows oscillation similar to FL-003.,
MS-0129,Transitional Inner,,-0.6976,0.3302,0.0095,-2.0,BA-036,outer,0.39,0.38,transitional,,creature,921,direct_triangulation,0.9,C. Vells,Waypoint between Basin Basin 036 and adjacent territory. Curvature measurements indicate hyperbolic local geometry.,
MS-0130,The Deep Passage,,-0.3679,-0.361,-0.5493,-0.815,BA-031,ridge_adjacent,0.42,0.39,transitional,3,behavior,925,similarity_inference,0.83,Senate Survey,Transitional state with limited persistence. Archive Survey Team documentation.,
MS-0131,Flat Attractor,,-0.6233,0.4425,-0.3197,-1.022,BA-016,outer,0.6,0.48,minor_attractor,5,entity,926,direct_triangulation,0.85,Boundary Commission,Stable resting form on the slopes of Basin Basin 016. Near saddle point SP-001.,
