claim_id,system_name,claim_text,claim_type,claim_strength,source,date,assessment_verdict
CL-024,Pattern Book,Prime number patterns predict creature cycles,capability,modest,Yeller Quarry Research Institute,914,qualified
CL-027,Pattern Book,Model generalizes across Quarry regions,scope,strong,Yeller Quarry Research Institute,914,overstated
CL-028,Pattern Book,Temperature correlates with emergence patterns,capability,modest,Yeller Quarry Research Institute,914,qualified
CL-033,Pattern Book,Seasonal patterns are stable year over year,accuracy,modest,Yeller Quarry Research Institute,914,qualified
CL-023,Pattern Book,Environmental sequences form predictive sentences,capability,strong,Yeller Quarry Research Institute,915,validated
CL-025,Pattern Book,Folk rules can be systematically validated,capability,modest,Yeller Quarry Research Institute,915,validated
CL-032,Pattern Book,Experienced trappers' knowledge now teachable,capability,strong,Yeller Quarry Research Institute,915,validated
CL-035,Pattern Book,3000 observation records provide sufficient basis,scope,modest,Yeller Quarry Research Institute,915,validated
CL-037,Predictive Cartography,Method can predict spatial instability decades in advance,capability,revolutionary,Cartographer's Guild,918,qualified
CL-039,Predictive Cartography,Capital may enter unstable zone by Year 1000,scope,revolutionary,Cartographer's Guild,918,overstated
CL-041,Predictive Cartography,Method accounts for observer effects,capability,modest,Cartographer's Guild,918,validated
CL-042,Predictive Cartography,Boundary drift acceleration is measurable,capability,modest,Cartographer's Guild,918,validated
CL-043,Predictive Cartography,Historical fit exceeds alternative models,accuracy,strong,Cartographer's Guild,918,overstated
CL-044,Predictive Cartography,Simple extrapolation achieves only 78% accuracy,accuracy,modest,Cartographer's Guild,918,qualified
CL-045,Predictive Cartography,Method identifies territories at risk of dissolution,capability,strong,Cartographer's Guild,918,validated
CL-049,Predictive Cartography,Boundary surveys validate prediction framework,accuracy,modest,Cartographer's Guild,918,validated
CL-055,Simulated Citizens,Observation data informs intervention timing,capability,modest,Klutch Community College,918,validated
CL-057,Simulated Citizens,System can model individual student trajectories,capability,strong,Klutch Community College,918,validated
CL-038,Predictive Cartography,Western Dens will experience accelerating instability,scope,revolutionary,Cartographer's Guild,919,overstated
CL-050,Simulated Citizens,Predictive models can identify at-risk students,capability,strong,Klutch Community College,919,validated
CL-056,Simulated Citizens,Behavioral prediction improves with more data,capability,strong,Klutch Community College,919,overstated
CL-058,Simulated Citizens,Early warning prevents academic failure,scope,strong,Klutch Community College,919,qualified
CL-059,Simulated Citizens,Interventions are evidence-based and effective,capability,strong,Klutch Community College,919,qualified
CL-060,Simulated Citizens,Fountain group patterns demonstrate social effects,capability,modest,Klutch Community College,919,validated
CL-062,Simulated Citizens,Student specialists can apply model recommendations,capability,modest,Klutch Community College,919,validated
CL-036,Predictive Cartography,Historical validation achieves 91% accuracy,accuracy,strong,Cartographer's Guild,920,overstated
CL-040,Predictive Cartography,Keth's mathematics are internally consistent,capability,modest,Cartographer's Guild,921,validated
CL-046,Predictive Cartography,Recovered manuscripts reveal lost mathematical tradition,capability,modest,Cartographer's Guild,921,qualified
CL-047,Predictive Cartography,Keth's framework is philosophically coherent,capability,modest,Cartographer's Guild,921,qualified
CL-048,Predictive Cartography,Prebel Effect compatible with Keth method,capability,strong,Cartographer's Guild,921,overstated
CL-051,Simulated Citizens,Early intervention improves outcomes,capability,strong,Klutch Community College,921,overstated
CL-052,Simulated Citizens,Student success can be systematically engineered,capability,revolutionary,Klutch Community College,921,unfalsifiable
CL-053,Simulated Citizens,Model achieves 72% accuracy for standard students,accuracy,modest,Klutch Community College,921,qualified
CL-054,Simulated Citizens,Anomaly detection identifies non-standard trajectories,capability,modest,Klutch Community College,921,qualified
CL-061,Simulated Citizens,Model distinguishes goal-directed behavior,capability,modest,Klutch Community College,921,qualified
