date,author,title,genre,topic,tradition,key_concept,location,notes,event_id
697-05-15,venn_tessik,On Visual Coherence Across Collections,,Methods for ensuring separately created images feel unified as if from same publication or artist,,,capital_archives.Wing-M,Tessik's work on the Archive Standard for multi-century visual coherence.,EV-697-001
762-09-10,kelleth_trove,Visual Branding Through Material Culture,,Application of specification methodology to institutional identity,,,capital_archives.Wing-M,Trove's extension of Alleth Vorn's principle to systematic brand identity creation.,EV-762-001
765-08-22,archivist_kellum_voss,The Oracle's Charter,,,,,capital_archives.Oracle-Chamber,"Voss's foundational document establishing what Oracles may and may not share. Created the paraphrase boundary—the rule that Oracles speak in their own words, never the manuscript's exact text.",EV-765-003
705-07-19,indexer_pell_carten,The Abstraction Ladder,,,,,capital_archives.Catalog-Wing,Carten's theoretical framework for understanding what is lost and gained at each level of abstraction. The ladder metaphor shaped how later scholars thought about data access.,EV-705-002
718-09-12,template_scribe_hesta_mell,The Authenticity Rubric,,,,,capital_archives.Scribe-Hall,Mell's rubric formalized what master scribes knew intuitively. It became the standard for evaluating all generated records.,EV-718-001
747-10-05,archivist_mira_strand,The Access Architecture Design Document,,,,,capital_archives.Philosopher-Wing,Strand and Voss produced the template that all access architects must complete. The document forces explicit articulation of values and tradeoffs.,EV-747-001
880-08-20,bagbu_olt,The Road's Four Feet,travel_philosophy,Meditations on wandering and cartography,,,dead_river,"Bagbu Olt's wandering philosophy, quoted in Tutorial 10. He is 'a wandering mapmaker and sketch-artist who travels in a pickbox cart.'",EV-880-002
838-05-15,pemlik_tross,The Geometry of Affinities,mathematical_philosophy,Constellation method for classification using K-nearest (sympathetic) and K-furthest (antipathetic) neighbors,,,capital.archives,Tross develops classification based on relationships rather than categories. The Archive rejects his work 'because his categories had no names.' This establishes the schism between mathematical traditions.,EV-838-003
843-02-20,vornis_keth,The Breach and the Continuous,spatial_philosophy,Foundation of basin topology and geometric understanding of space,geometric,,dens.boundary_stations,"Keth's foundational work establishing the geometric tradition. First articulation of space having 'underlying geometric structure (basins, valleys) that determines how systems evolve.'",EV-843-005
847-11-08,vornis_keth,On Attractor Basins and the Collapse,spatial_philosophy,Attractor dynamics and prediction through basin topology,geometric,The shape admits no other possibility,dens.boundary_stations,Keth's key work connecting basin topology to prediction. Central text for Semester 1 of the masters program.,EV-847-012
851-06-15,vornis_keth,The Resonance Calculus,mathematical_treatise,Mathematical framework for predicting future states from present observations,geometric,,dens.boundary_stations,Keth develops the full mathematical apparatus of the geometric tradition. Analog to Adaptive Resonance Theory.,EV-851-003
812-04-18,,On Vectors and Their Dual Nature,mathematical_primer,Foundation of linear algebra as used in both traditions,,,capital.university,The mathematical bridge: both traditions use vectors but interpret them differently. Retrieval sees lookup; geometry sees movement.,EV-812-001
815-07-22,,Gradients and the Compass of Change,mathematical_primer,"Derivatives, gradients, and their interpretation as direction in space",,,capital.university,Essential for understanding the geometric tradition's emphasis on movement and navigation through mathematical space.,EV-815-001
720-08-10,,The Cartographer's Eye: Visual Methods in Mathematics,methodology_treatise,How to see mathematical relationships through visual representation,,,capital.cartographers_guild,The visual approach to mathematics that enables understanding of geometric concepts throughout the masters program.,EV-720-003
851-09-30,vornis_keth,Topology as Prophecy,methodological_treatise,The shape of space determines what is possible; prediction follows from geometry,geometric,,dens.boundary_stations,Keth's methodological synthesis. Establishes that understanding geometric structure enables prediction. Central to Semester 1's mathematical foundations.,EV-851-004
915-02-14,tessyn_mord,The Archive Knows,institutional_analysis,How distributed memory emerges from collective archival structure,retrieval,,capital.archives,Mord's first articulation of retrieval mathematics. The Archive as collective mind with distributed memory. Semester 1 reading for understanding retrieval tradition.,EV-915-014
920-06-18,tessyn_mord,On the Archive as Collective Mind,theoretical_treatise,Full theory of distributed cognition in archival institutions,retrieval,Institutional persistence across component turnover,capital.archives,Mord's mature retrieval theory. Explains how knowledge can exist in a system without any individual component possessing it.,EV-920-021
923-04-12,solta_venn,Provenance Engine Technical Report,technical_documentation,Multi-stream verification system for manuscript authenticity,retrieval,,capital.archives.technical_division,Venn's Provenance Engine demonstrates retrieval mathematics in practice. The 'zone of uncertainty' reveals limits of classification.,EV-923-012
918-09-15,carten_vells,Surveyor Field Report: Morphospace Topology,empirical_report,Detailed measurements of form-space structure,geometric,,surveyor_guild.field_station,Vells's empirical foundation for the geometric tradition. Shows that morphospace has measurable Riemannian structure.,EV-918-014
923-03-08,rellen_voss,Navigation Treatise,theoretical_treatise,How systems navigate to Forms they have never experienced,geometric,,unknown,Voss addresses the navigation paradox: how do systems find destinations they've never visited? Analog to gradient descent and optimization.,EV-923-014
923-06-22,sareth_moll,Investigation of Ghosts,phenomenological_study,Study of persistent patterns that remain after original substrate is destroyed,bridge,,unknown,"Moll's ghost persistence research poses problems for both traditions. If memory is storage, how do patterns persist without substrate? If memory is constraint, what constrains after dissolution?",EV-923-015
926-12-01,,On the Limits of Both Maths,thesis_synthesis,Analysis of what neither tradition can explain,,,capital.university,The culminating question of the masters program. Students must develop original arguments about the relationship between mathematical frameworks.,EV-926-009
846-03-15,scholar_tenniv,The Breach and the Continuous: A Disputation,,,,,capital,Imported from SIM-004,EV-846-001
893-02-10,tessery_vold,Patterns of Passage,,relational_philosophy,,,western_archive,Major treatise establishing the Passage Diagrams framework for representing objects and morphisms.,EV-893-001
897-09-20,tessery_vold,On the Coherence of Shifts,,natural_transformations,,,western_archive,Work extending Passage Diagrams to include coherent transformations between passage patterns.,EV-897-001
