observation_id,location_id,location_name,region,pre_observation_stability,observer_count,observation_duration_hours,instruments_used,post_observation_stability,stability_change,prebel_effect_magnitude,confounding_weather,confounding_season,confounding_nearby_activity,observer_names,notes
OBS-0077,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.17,4,5.0,compass;rope_gauge,0.55,0.38,0.93,clear,summer,none,"Tomas Grell, Senna Grell, Gareth Poll, Prebel Cord",Very unstable bridge; dramatic stabilization
OBS-0078,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.85,4,18.0,none,0.97,0.12,0.80,clear,summer,meditation,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells",Near-maximum stability achieved
OBS-0079,CAPIT_DEADRIVER_FE,Deadriver Ferry Office,Capital,0.56,4,6.0,compass,0.72,0.16,0.59,clear,spring,none,"Prebel Cord, Solta Venn, Administrator Venn, Donal Crest",Ferry not running; good conditions
OBS-0080,YELLE_TRAP_FIELDS_,Trap Fields North,Yeller,0.29,5,8.0,compass;trap_meter;barometer,0.71,0.42,0.94,clear,summer,none,"Hesta Vorn, Pollux Dann, Renna Caw, Jara Torval, Wen Torval",Full team; near-maximum effect
OBS-0081,CAPEA_CAPEAST_USED,Capeast Used Car Lots,Capeast,0.57,1,2.0,none,0.58,0.01,0.04,clear,spring,sales,Gareth Poll,Commercial; negligible effect
OBS-0082,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.47,5,8.0,compass;barometer,0.78,0.31,0.91,clear,summer,none,"Prebel Cord, Maren Drusk, Vass Tonner, Gareth Poll, Rella Tarn",Maximum observers; residential area responds
OBS-0083,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.35,4,5.0,compass;scale,0.61,0.26,0.82,overcast,autumn,none,"Prebel Cord, Lurra Venn, Vagabu Olt, Old Murch",Market closed; strong response
OBS-0084,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.75,3,8.0,none,0.88,0.13,0.52,snow,winter,none,"Prebel Cord, Kerith Moll, Captain Vrell",Snow conditions; solid effect
OBS-0085,CAPIT_CAPITAL_TRAI,Capital Train Yard,Capital,0.49,4,6.0,compass;barometer,0.67,0.18,0.64,clear,spring,none,"Solta Venn, Prebel Cord, Administrator Venn, Foreman Hask",No freight; better conditions
OBS-0086,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.2,2,4.0,compass;depth_gauge,0.38,0.18,0.64,rain,autumn,none,"Tomas Grell, Vagabu Olt",Rain reduces effect somewhat
OBS-0087,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.53,3,5.0,compass;telescope,0.68,0.15,0.54,clear,autumn,none,"Prebel Cord, Gareth Poll, Archon Vells",Boundary site; good response
OBS-0088,DENSM_OVERPASS_GRA,Overpass Graffiti Span,Densmok,0.34,3,4.0,compass,0.49,0.15,0.54,overcast,autumn,none,"Maren Drusk, Vass Tonner, Gareth Poll",Urban infrastructure responds to multiple observers
OBS-0089,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.23,3,5.0,depth_gauge,0.47,0.24,0.79,clear,autumn,none,"Rella Tarn, Hesta Vorn, Jara Torval",Unstable structures; good stabilization
OBS-0090,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.8,5,48.0,none,0.98,0.18,0.90,clear,summer,none,"Prebel Cord, Old Murch, Captain Vrell, Kerith Moll, Archon Vells",Maximum effect: five observers; two days; isolated site
OBS-0091,CAPIT_OUTER_ARCHIV,Outer Archive Annex,Capital,0.74,4,8.0,compass;barometer,0.86,0.12,0.46,clear,autumn,cataloging,"Queever, Minor Archivist Trell, Solta Venn, Keeper of Maps",Archive team observation
OBS-0092,YELLE_STALL_TOWN_B,Stall Town Bone Gate,Yeller,0.34,4,5.0,compass,0.58,0.24,0.78,clear,spring,none,"Lurra Venn, Vagabu Olt, Foreman Hask, Meck Drune",Gate stabilizes with guild presence
OBS-0093,CAPEA_RIVERSLAND_S,Riversland Subdivision,Capeast,0.73,3,4.0,compass,0.78,0.05,0.19,clear,autumn,none,"Gareth Poll, Maren Drusk, Vass Tonner",Stable suburb; measurable but small effect
OBS-0094,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.38,4,6.0,barometer,0.59,0.21,0.72,clear,summer,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord",No industrial activity; better response
OBS-0095,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.29,4,6.0,depth_gauge;compass,0.64,0.35,0.91,clear,summer,none,"Prebel Cord, Hesta Vorn, Renna Caw, Jara Torval",Optimal cave conditions; high effect
OBS-0096,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.82,5,24.0,none,0.98,0.16,0.89,clear,autumn,meditation,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells, Old Murch",Maximum observers; meditation; near-perfect stability
OBS-0097,CAPIT_CITY_WALL_QU,City Wall Quarry Gate,Capital,0.53,3,4.0,compass,0.65,0.12,0.45,overcast,summer,traffic,"Prebel Cord, Captain Vrell, Foreman Hask",Traffic confound partially controlled
OBS-0098,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.26,5,10.0,compass;depth_gauge;barometer,0.73,0.47,0.98,clear,spring,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Tomas Grell, Archon Vells",Near-maximum: optimal conditions; maximum observers
OBS-0099,CAPEA_CAPEAST_YOUT,Capeast Youth Church,Capeast,0.67,2,3.0,none,0.71,0.04,0.15,clear,spring,service,Gareth Poll,Service in progress; minimal effect
OBS-0100,DENSM_DENSMOK_BUS_,Densmok Bus Hub,Densmok,0.44,4,5.0,compass,0.61,0.17,0.59,clear,spring,none,"Gareth Poll, Vass Tonner, Maren Drusk, Prebel Cord",No transit; moderate response
OBS-0101,YELLE_TRAP_FIELDS_,Trap Fields South,Yeller,0.32,4,6.0,trap_meter;compass,0.58,0.26,0.81,clear,summer,none,"Wen Torval, Jara Torval, Hesta Vorn, Renna Caw",Full team; southern fields respond well
OBS-0102,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.76,4,12.0,none,0.93,0.17,0.71,clear,summer,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Archon Vells",Stone ritual enhances effect
OBS-0103,CAPIT_SENATE_SQUAR,Senate Square,Capital,0.68,3,5.0,compass,0.77,0.09,0.35,overcast,winter,none,"Donal Crest, Solta Venn, Prebel Cord",No political event; better baseline
OBS-0104,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.2,5,6.0,compass;rope_gauge,0.66,0.46,0.97,clear,autumn,none,"Tomas Grell, Senna Grell, Gareth Poll, Prebel Cord, Kerith Moll",Maximum observers; dramatic bridge stabilization
OBS-0105,CAPEA_MIRADO_STICK,Mirado Sticks Viewpoint,Capeast,0.62,4,6.0,compass;telescope,0.79,0.17,0.61,clear,summer,none,"Prebel Cord, Archon Vells, Gareth Poll, Rella Tarn",Clear conditions; distance observation works
OBS-0106,DENSM_OLD_QUARRY_R,Old Quarry Road Motel,Densmok,0.44,4,16.0,compass,0.68,0.24,0.78,clear,spring,none,"Gareth Poll, Vass Tonner, Maren Drusk, Prebel Cord",Extended team observation
OBS-0107,YELLE_YELLER_GUIDE,Yeller Guide Office,Yeller,0.41,4,6.0,compass,0.67,0.26,0.82,clear,summer,none,"Lurra Venn, Old Murch, Foreman Hask, Meck Drune",Full guild presence; strong stabilization
OBS-0108,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.81,4,32.0,none,0.97,0.16,0.84,clear,autumn,none,"Prebel Cord, Old Murch, Captain Vrell, Archon Vells",Extended observation; high effect
OBS-0109,CAPIT_KACHOT_CARDH,Kachot Cardhouse,Capital,0.45,3,5.0,compass,0.56,0.11,0.40,clear,autumn,none,"Donal Crest, Lurra Venn, Old Murch",Cardhouse closed; moderate effect
OBS-0110,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.33,5,6.0,compass;scale,0.69,0.36,0.92,clear,spring,none,"Prebel Cord, Lurra Venn, Vagabu Olt, Old Murch, Meck Drune",Maximum observers; market closed; high effect
OBS-0111,CAPEA_DUSTY_SOCCER,Dusty Soccer Fields,Capeast,0.62,3,3.0,compass,0.67,0.05,0.18,clear,autumn,none,"Gareth Poll, Maren Drusk, Vass Tonner",No games; small measurable effect
OBS-0112,DENSM_DENSMOK_STRI,Densmok Strip Mall,Densmok,0.43,4,5.0,compass,0.56,0.13,0.47,clear,autumn,none,"Vass Tonner, Maren Drusk, Gareth Poll, Prebel Cord",Commercial area; moderate response
OBS-0113,YELLE_STALL_TOWN_W,Stall Town West Cut,Yeller,0.36,5,6.0,compass,0.71,0.35,0.91,clear,spring,none,"Lurra Venn, Vagabu Olt, Meck Drune, Foreman Hask, Old Murch",Maximum guild presence; high stabilization
OBS-0114,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.86,3,12.0,none,0.95,0.09,0.64,snow,winter,meditation,"Prebel Cord, Kerith Moll, Captain Vrell",Snow and meditation; good effect
OBS-0115,CAPIT_CENTRAL_ARCH,Central Archive,Capital,0.91,5,16.0,compass;barometer,0.97,0.06,0.67,clear,autumn,none,"Queever, Solta Venn, Keeper of Maps, Prebel Cord, Pella Valdun",Maximum at stable site; approaches ceiling
OBS-0116,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.25,5,10.0,depth_gauge;compass;barometer,0.76,0.51,0.98,clear,spring,none,"Prebel Cord, Hesta Vorn, Renna Caw, Pollux Dann, Jara Torval",Maximum effect in caves; near-perfect conditions
OBS-0117,CAPEA_RIVERSLAND_H,Riversland High School,Capeast,0.74,3,4.0,compass,0.79,0.05,0.19,clear,summer,none,"Gareth Poll, Maren Drusk, Vass Tonner",Summer; no classes; small effect
OBS-0118,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.48,4,6.0,compass;barometer,0.71,0.23,0.79,clear,autumn,none,"Prebel Cord, Maren Drusk, Vass Tonner, Gareth Poll",Residential area; good response
OBS-0119,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.21,4,6.0,depth_gauge;compass,0.58,0.37,0.91,clear,spring,none,"Rella Tarn, Hesta Vorn, Pollux Dann, Jara Torval",Unstable structures; strong stabilization
OBS-0120,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.74,5,16.0,none,0.96,0.22,0.85,clear,autumn,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch, Archon Vells",Maximum observers with ritual; near-maximum effect
OBS-0121,CAPIT_DEADRIVER_FE,Deadriver Ferry Office,Capital,0.59,3,5.0,compass,0.71,0.12,0.46,overcast,autumn,none,"Prebel Cord, Solta Venn, Administrator Venn",Bureaucratic site; moderate effect
OBS-0122,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.21,3,5.0,compass;depth_gauge,0.49,0.28,0.82,clear,autumn,none,"Prebel Cord, Vagabu Olt, Kerith Moll",Standard team; good effect
